njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
3xEV,mNTcaaiqyAk,"[5, 81, 108]","[{'text': 'hey there guys and welcome back to', 'start': 7.28, 'duration': 4.93}, {'text': 'another merch Week in Review is spent', 'start': 9.719, 'duration': 4.951}, {'text': 'more like a merch month in review up', 'start': 12.21, 'duration': 5.04}, {'text': ""until recently it's been very slow for"", 'start': 14.67, 'duration': 5.1}, {'text': 'merch news but with x and y being less', 'start': 17.25, 'duration': 4.71}, {'text': 'than a month away now we are starting to', 'start': 19.77, 'duration': 5.16}, {'text': 'get the new generation merge rush so', 'start': 21.96, 'duration': 5.399}, {'text': 'starting off here we have a very first x', 'start': 24.93, 'duration': 5.16}, {'text': 'and y pokemon center promotion with a', 'start': 27.359, 'duration': 5.821}, {'text': 'lineup of new plushies charms stationery', 'start': 30.09, 'duration': 6.78}, {'text': 'and more they are also releasing 11 size', 'start': 33.18, 'duration': 6.51}, {'text': 'plush of all three starters these things', 'start': 36.87, 'duration': 5.369}, {'text': 'are going to be absolutely massive so', 'start': 39.69, 'duration': 4.23}, {'text': 'just remember to keep the shipping costs', 'start': 42.239, 'duration': 5.521}, {'text': 'in mind if you are going to buy one they', 'start': 43.92, 'duration': 5.67}, {'text': 'are also releasing some starter themed', 'start': 47.76, 'duration': 4.38}, {'text': 'clear files and stationery along with', 'start': 49.59, 'duration': 5.07}, {'text': 'some mugs more charms and some die cut', 'start': 52.14, 'duration': 5.309}, {'text': 'stickers this is all coming to Pokemon', 'start': 54.66, 'duration': 5.039}, {'text': 'centers on October twelfth which is of', 'start': 57.449, 'duration': 4.891}, {'text': 'course the same release date as x and y', 'start': 59.699, 'duration': 6.091}, {'text': 'in more Pokemon Center news they are', 'start': 62.34, 'duration': 5.34}, {'text': 'building a new Pokemon Center in the', 'start': 65.79, 'duration': 4.17}, {'text': 'Tokyo Bay that will open in November', 'start': 67.68, 'duration': 4.68}, {'text': ""it's mascots will be Pikachu of course"", 'start': 69.96, 'duration': 5.76}, {'text': 'chespin and inkay now inkay might seem', 'start': 72.36, 'duration': 5.73}, {'text': 'like an odd choice for a mascot but if', 'start': 75.72, 'duration': 4.53}, {'text': 'you noticed on the x and y anime poster', 'start': 78.09, 'duration': 4.23}, {'text': 'you can see meows and wobbuffet with an', 'start': 80.25, 'duration': 4.11}, {'text': 'ink a making it appear that Team Rocket', 'start': 82.32, 'duration': 5.85}, {'text': 'will indeed be catching one speaking of', 'start': 84.36, 'duration': 5.82}, {'text': 'Team Rocket banpresto is giving them', 'start': 88.17, 'duration': 4.739}, {'text': 'their very own series titled we are Team', 'start': 90.18, 'duration': 5.31}, {'text': 'Rocket starting in February there were', 'start': 92.909, 'duration': 4.381}, {'text': 'released several plushies including a', 'start': 95.49, 'duration': 3.78}, {'text': 'Meowth balloon plush along with', 'start': 97.29, 'duration': 5.789}, {'text': 'wobbuffet and in KDX plush banpresto is', 'start': 99.27, 'duration': 6.029}, {'text': 'also expanding the my pokemon collection', 'start': 103.079, 'duration': 4.891}, {'text': 'series in 26 gen with releasing meowth', 'start': 105.299, 'duration': 6.271}, {'text': 'wobbuffet Pancham pangoro and ink a', 'start': 107.97, 'duration': 6.87}, {'text': 'plush in march jessie james meowth an E', 'start': 111.57, 'duration': 5.509}, {'text': 'and K will also get key holder figures', 'start': 114.84, 'duration': 4.739}, {'text': 'Team Rocket went from having next to', 'start': 117.079, 'duration': 4.481}, {'text': 'nothing in terms of merch recently to', 'start': 119.579, 'duration': 4.14}, {'text': 'having quite a few awesome things made', 'start': 121.56, 'duration': 4.62}, {'text': 'of them so this is a excellent time to', 'start': 123.719, 'duration': 4.941}, {'text': 'be a team rocket fan', 'start': 126.18, 'duration': 5.43}, {'text': 'going back to Pokemon Center goods today', 'start': 128.66, 'duration': 5.17}, {'text': 'they released a promotion titled peeking', 'start': 131.61, 'duration': 6.39}, {'text': 'pokemons it stars Pikachu Vulpix bayonet', 'start': 133.83, 'duration': 7.86}, {'text': 'EV ditto and croagunk there are plush', 'start': 138.0, 'duration': 6.72}, {'text': 'keychains clear files mugs stationery', 'start': 141.69, 'duration': 6.87}, {'text': 'and more now for something you might be', 'start': 144.72, 'duration': 5.73}, {'text': 'able to find close to you it seems that', 'start': 148.56, 'duration': 4.23}, {'text': 'several toys r us have begun selling X&Y', 'start': 150.45, 'duration': 5.76}, {'text': 'takara tomy march early these particular', 'start': 152.79, 'duration': 5.4}, {'text': 'pictures are from a New Jersey toys r us', 'start': 156.21, 'duration': 3.75}, {'text': 'and as you can see they are selling', 'start': 158.19, 'duration': 5.01}, {'text': 'double packs and now singles they also', 'start': 159.96, 'duration': 5.49}, {'text': 'had new plush and new catch and return', 'start': 163.2, 'duration': 5.01}, {'text': 'pokeball figures as well this toys r us', 'start': 165.45, 'duration': 4.89}, {'text': 'also had a really neat display case with', 'start': 168.21, 'duration': 3.75}, {'text': 'all of the various figures they are', 'start': 170.34, 'duration': 3.81}, {'text': ""selling in it and i think it's really"", 'start': 171.96, 'duration': 3.33}, {'text': 'awesome that we are getting new', 'start': 174.15, 'duration': 3.81}, {'text': 'generation merge even before japan since', 'start': 175.29, 'duration': 4.5}, {'text': 'that has never happened before i think', 'start': 177.96, 'duration': 3.42}, {'text': ""it's pretty amazing i will definitely"", 'start': 179.79, 'duration': 4.26}, {'text': 'take a trip to my local Toys R Us though', 'start': 181.38, 'duration': 4.41}, {'text': ""it is a pretty crappy one so i won't"", 'start': 184.05, 'duration': 4.35}, {'text': 'have much luck probably but if you guys', 'start': 185.79, 'duration': 4.77}, {'text': 'have any local Toys R Us near you I', 'start': 188.4, 'duration': 3.6}, {'text': 'would love to know if there are there', 'start': 190.56, 'duration': 3.0}, {'text': 'any other stores are breaking the', 'start': 192.0, 'duration': 3.0}, {'text': 'release date it seems that there are a', 'start': 193.56, 'duration': 4.38}, {'text': 'few not many but if you are lucky enough', 'start': 195.0, 'duration': 4.71}, {'text': 'you might be able to get some x and y', 'start': 197.94, 'duration': 4.14}, {'text': 'merch early here are some high res', 'start': 199.71, 'duration': 4.44}, {'text': 'photos of all of the new Tommy figures', 'start': 202.08, 'duration': 4.41}, {'text': 'Tommy is also releasing several new', 'start': 204.15, 'duration': 4.98}, {'text': 'plush including all of first and six gen', 'start': 206.49, 'duration': 4.98}, {'text': 'starters and a lot of electric types', 'start': 209.13, 'duration': 4.59}, {'text': 'these plushies are set for release on', 'start': 211.47, 'duration': 5.16}, {'text': 'October twelfth Thome has also releasing', 'start': 213.72, 'duration': 4.89}, {'text': 'some key chains on october fourteenth', 'start': 216.63, 'duration': 4.11}, {'text': 'and some poseable candy figures on the', 'start': 218.61, 'duration': 5.43}, {'text': '21st then die has a new image out of the', 'start': 220.74, 'duration': 6.0}, {'text': 'first x and y kid figure set which', 'start': 224.04, 'duration': 4.77}, {'text': 'includes the typical first set pokemon', 'start': 226.74, 'duration': 4.68}, {'text': 'with both legendaries starters and he', 'start': 228.81, 'duration': 5.46}, {'text': 'first revealed pokemons this first set', 'start': 231.42, 'duration': 6.18}, {'text': 'will be released on october 26 we also', 'start': 234.27, 'duration': 5.37}, {'text': 'know what will be in set two which oddly', 'start': 237.6, 'duration': 4.05}, {'text': 'enough is made up of half first gen', 'start': 239.64, 'duration': 4.29}, {'text': 'pokemon the second set will be out in', 'start': 241.65, 'duration': 5.94}, {'text': 'mid-december alright guys that wraps it', 'start': 243.93, 'duration': 5.88}, {'text': 'up here and my comment questioning you', 'start': 247.59, 'duration': 4.62}, {'text': 'guys is out of all of the current X&Y', 'start': 249.81, 'duration': 4.56}, {'text': 'pokemon are you planning on collecting', 'start': 252.21, 'duration': 3.56}, {'text': 'any of them', 'start': 254.37, 'duration': 3.85}, {'text': 'for me there are two that stand out here', 'start': 255.77, 'duration': 6.21}, {'text': 'tyrantrum and swirlix I plan on getting', 'start': 258.22, 'duration': 5.62}, {'text': 'my hands on all of the merch for these', 'start': 261.98, 'duration': 4.55}, {'text': 'two I just love them both so very much', 'start': 263.84, 'duration': 5.01}, {'text': 'so yeah I hope you guys enjoyed this', 'start': 266.53, 'duration': 4.39}, {'text': 'March Week in Review when I can get my', 'start': 268.85, 'duration': 3.66}, {'text': 'hands on new Tommy merch I will', 'start': 270.92, 'duration': 3.63}, {'text': 'definitely review it for you guys so', 'start': 272.51, 'duration': 3.72}, {'text': 'look forward to that and much much more', 'start': 274.55, 'duration': 4.41}, {'text': 'for the new generation and be sure to', 'start': 276.23, 'duration': 4.86}, {'text': 'check out my merch bug for more details', 'start': 278.96, 'duration': 4.17}, {'text': 'and pictures on anything you saw here', 'start': 281.09, 'duration': 4.05}, {'text': 'thank you all so very much for watching', 'start': 283.13, 'duration': 4.34}, {'text': 'any like shares are always appreciated', 'start': 285.14, 'duration': 4.8}, {'text': 'thank you all again and I will see you', 'start': 287.47, 'duration': 6.0}, {'text': 'all in the next one', 'start': 289.94, 'duration': 3.53}]"
eLEV,MflS7L2NKX8,"[0, 1, 2817]",
9iEV,RPPKE0lgTlY,"[21, 23, 24, 115]",
4REV,fqb5MKV0AoE,"[5, 585]",
vzEV,g-Ja8FVknNQ,"[39, 986, 1846]",
XGEV,xW6jIhhqPYw,[556],
5vEV,xX_EfQXTrwg,[89],
O7EV,xbCmP8M-N4M,"[0, 1, 93, 102]",
RmEV,YwqnaoASJCw,"[4, 28, 33, 38]",
QZEV,Z6_uL03gP-Q,"[3, 4, 6, 13]",
BOEV,lycRJ7hLMzc,[71],
75EV,m-dOdnCuGDY,"[5, 826]",
6IEV,AXXPKO223k4,"[3, 4, 13, 41, 54]",
heEV,AiPHukMBtXI,[14],
hlEV,NJOA8E35ECQ,"[0, 1, 203, 1793]",
YXEV,V9zSKsNNDGg,[25],
vLEV,OAEX4PjXeFs,[3],
V3EV,OBLqaBJm_LU,"[2, 45, 51, 56, 77, 137]",
joEV,OEj-cTS2Czc,[26],"[{'text': ""hey you guys 109 here and I've just"", 'start': 0.77, 'duration': 6.64}, {'text': 'decided to make a video notes not that', 'start': 4.35, 'duration': 5.52}, {'text': 'like but I have infinity Helios in', 'start': 7.41, 'duration': 7.2}, {'text': 'titanium Dragonoid with me today this', 'start': 9.87, 'duration': 7.38}, {'text': ""one's my brother Derek of sixes and I"", 'start': 14.61, 'duration': 5.1}, {'text': ""got infinity Helia since I'm a pyro"", 'start': 17.25, 'duration': 6.06}, {'text': ""sprawling and then yeah how's the G"", 'start': 19.71, 'duration': 6.27}, {'text': 'power wheel and all but i did get this', 'start': 23.31, 'duration': 4.59}, {'text': 'at heart we did get these at target but', 'start': 25.98, 'duration': 3.99}, {'text': ""for some reason they don't have the DNA"", 'start': 27.9, 'duration': 4.71}, {'text': ""code I don't know why me I don't know"", 'start': 29.97, 'duration': 5.4}, {'text': 'cuz seems like you had luck on', 'start': 32.61, 'duration': 4.5}, {'text': 'dimensions and I really went on on', 'start': 35.37, 'duration': 3.99}, {'text': 'dimensions so sort of a rip up that it', 'start': 37.11, 'duration': 3.87}, {'text': ""doesn't contain a good deep should"", 'start': 39.36, 'duration': 6.629}, {'text': 'probably charge less so but okay first', 'start': 40.98, 'duration': 10.29}, {'text': ""let's do titanium Dragonoid so yeah he"", 'start': 45.989, 'duration': 12.181}, {'text': 'has these the cool wings then actually I', 'start': 51.27, 'duration': 9.449}, {'text': 'was like a super Game one bigger than', 'start': 58.17, 'duration': 4.979}, {'text': 'only when I Dragonoid harm at horn I bet', 'start': 60.719, 'duration': 5.101}, {'text': ""let's compare hold it I'll go a little"", 'start': 63.149, 'duration': 13.921}, {'text': ""bit i'll grab you lit up yeah definitely"", 'start': 65.82, 'duration': 16.31}, {'text': 'bigger then it actually has a tail e', 'start': 77.07, 'duration': 10.049}, {'text': 'hotel pretty cool tail oh my gosh i hate', 'start': 82.13, 'duration': 11.5}, {'text': 'this thing but i got that a long time', 'start': 87.119, 'duration': 14.43}, {'text': ""ago no wait that's my brothers oops um"", 'start': 93.63, 'duration': 12.11}, {'text': 'trying to get speed out', 'start': 101.549, 'duration': 4.191}, {'text': ""let's see here is all opened up let's"", 'start': 111.03, 'duration': 16.75}, {'text': 'see from you side yeah oops is hard on', 'start': 118.45, 'duration': 18.35}, {'text': ""up all the way j-dog okay let's say"", 'start': 127.78, 'duration': 19.8}, {'text': 'front bo side meal back view another', 'start': 136.8, 'duration': 19.0}, {'text': 'side view and jump you and bottom view', 'start': 147.58, 'duration': 15.18}, {'text': 'oops and this is a darkest 870 g really', 'start': 155.8, 'duration': 10.38}, {'text': 'cool i was about to get it but i wanted', 'start': 162.76, 'duration': 5.19}, {'text': ""helio smaller and then i'll show you"", 'start': 166.18, 'duration': 4.5}, {'text': 'that yes spectra is actually coming back', 'start': 167.95, 'duration': 5.46}, {'text': ""and he's part of the brawler's but i'll"", 'start': 170.68, 'duration': 7.1}, {'text': 'show you that after i do infinity Helius', 'start': 173.41, 'duration': 7.26}, {'text': 'wait opens he really is not cool at all', 'start': 177.78, 'duration': 9.429}, {'text': ""but he has full down feat and so let's"", 'start': 180.67, 'duration': 13.52}, {'text': 'see if I can get just pull it down mmm', 'start': 187.209, 'duration': 10.351}, {'text': 'he has a tail which that actually is a', 'start': 194.19, 'duration': 17.82}, {'text': 'diecast metal tail we can get it whoa', 'start': 197.56, 'duration': 25.399}, {'text': 'front view side view back view and', 'start': 212.01, 'duration': 10.949}, {'text': 'another side view a top view of it', 'start': 227.89, 'duration': 5.59}, {'text': 'actually looks pretty cool from a top', 'start': 232.19, 'duration': 6.84}, {'text': 'view and a bottom view the bomb goes', 'start': 233.48, 'duration': 12.57}, {'text': ""hard to get and Pirus you're going to"", 'start': 239.03, 'duration': 14.45}, {'text': 'determine the Jeep I can go 650 700 750', 'start': 246.05, 'duration': 7.43}, {'text': '952 1150 and so yeah that looks actually', 'start': 254.26, 'duration': 10.63}, {'text': 'really cool i really like helios', 'start': 262.19, 'duration': 5.64}, {'text': 'infinity helios probably going to brawl', 'start': 264.89, 'duration': 7.11}, {'text': ""with him now and ever i don't know which"", 'start': 267.83, 'duration': 6.45}, {'text': ""one is his jeep our i'm determined i'm"", 'start': 272.0, 'duration': 5.7}, {'text': ""thinking it's the one that lands on what"", 'start': 274.28, 'duration': 9.66}, {'text': 'this is and there he is and now Greg', 'start': 277.7, 'duration': 9.66}, {'text': ""look at spectra he's a darkest brown now"", 'start': 283.94, 'duration': 11.81}, {'text': ""guys take a close look he'll else go I"", 'start': 287.36, 'duration': 11.46}, {'text': 'would like to find a darkness infinity', 'start': 295.75, 'duration': 4.81}, {'text': ""Leo someday you know I'm not Turkish"", 'start': 298.82, 'duration': 10.71}, {'text': 'brawler yeah really cool Oh core', 'start': 300.56, 'duration': 12.12}, {'text': ""strength yeah I hope there's not a Blair"", 'start': 309.53, 'duration': 6.45}, {'text': 'or anything really cool card I like it a', 'start': 312.68, 'duration': 7.26}, {'text': 'lot and it has spectra and all that he', 'start': 315.98, 'duration': 6.56}, {'text': ""really doesn't look as cool as in pires"", 'start': 319.94, 'duration': 6.09}, {'text': ""but yeah it's about all you Turkish"", 'start': 322.54, 'duration': 5.59}, {'text': 'brothers are happy if you like spectra', 'start': 326.03, 'duration': 10.65}, {'text': 'and those the review on these two new', 'start': 328.13, 'duration': 17.49}, {'text': 'Bakugan and here they are lined up oh so', 'start': 336.68, 'duration': 14.67}, {'text': 'well here they are these are not the', 'start': 345.62, 'duration': 7.56}, {'text': 'regular attributes actually they should', 'start': 351.35, 'duration': 3.93}, {'text': 'be switched around four attributes', 'start': 353.18, 'duration': 5.22}, {'text': ""that's actually pretty fine he should be"", 'start': 355.28, 'duration': 5.04}, {'text': 'Paris he should be darkest yes', 'start': 358.4, 'duration': 3.54}, {'text': ""dark yes I don't know what the heck"", 'start': 360.32, 'duration': 5.54}, {'text': 'happens for spectra get to get a darkest', 'start': 361.94, 'duration': 10.26}, {'text': 'okay so and by guys remember to comment', 'start': 365.86, 'duration': 11.67}, {'text': 'rate and subscribe um so bye', 'start': 372.2, 'duration': 5.33}]"
UfEV,WibpjOJOxow,"[40, 57, 117]",
OuEV,WsssLMBa6_0,"[0, 1, 1319]",
tWEV,55bcVN3IrpE,"[4, 9, 10, 13, 33, 37]",
M2EV,rb0N_x2pmjA,"[71, 152]",
kuEV,84yieWnYe2g,[2518],
b3EV,7E-ZO3KuYgU,"[0, 79]",
Z8EV,W9f4McMYviM,"[0, 52, 70]",
XtEV,WAlaeNCFfPw,"[2, 19, 76]",
