GkEU,6N-HW4nwHM4,[0],
vfrl,M4EP3I_gpqQ,"[21, 23, 24, 158, 718]","[{'text': ""hello my nokia lumia fans yes I'm back"", 'start': 0.0, 'duration': 3.899}, {'text': 'once again and look what got yesterday', 'start': 2.28, 'duration': 6.21}, {'text': 'yes it is the Lumia 1020 camera grip sir', 'start': 3.899, 'duration': 12.841}, {'text': 'I spun boxes bye-bye check your owl so', 'start': 8.49, 'duration': 9.539}, {'text': 'yeah I know a lot of people got some you', 'start': 16.74, 'duration': 2.459}, {'text': 'call it a bud by then the other said', 'start': 18.029, 'duration': 3.42}, {'text': ""check her out what can I say I'm a very"", 'start': 19.199, 'duration': 5.16}, {'text': ""unique person anyway let's take you"", 'start': 21.449, 'duration': 5.881}, {'text': 'round it confidence to get the shot they', 'start': 24.359, 'duration': 5.43}, {'text': 'camera grip for the Lumia 1020 grasper', 'start': 27.33, 'duration': 5.639}, {'text': 'better imaging experience why not there', 'start': 29.789, 'duration': 5.671}, {'text': ""we go I just move mesh on the side it's"", 'start': 32.969, 'duration': 5.041}, {'text': 'got a two-stage camera key with a 10 a', 'start': 35.46, 'duration': 5.22}, {'text': '10 20 battery so it best it gives you', 'start': 38.01, 'duration': 4.319}, {'text': 'not another forty percent are like it', 'start': 40.68, 'duration': 2.52}, {'text': 'over fifty percent of the batter', 'start': 42.329, 'duration': 3.75}, {'text': 'something along those lines does come in', 'start': 43.2, 'duration': 4.71}, {'text': ""a multitude of colors look like I've got"", 'start': 46.079, 'duration': 3.841}, {'text': 'the white one too much my white phone so', 'start': 47.91, 'duration': 4.41}, {'text': ""that's gonna look pretty damn spiffy and"", 'start': 49.92, 'duration': 3.93}, {'text': 'we have so it just tells you the gas we', 'start': 52.32, 'duration': 3.84}, {'text': ""get inside the box it's called the pd 95"", 'start': 53.85, 'duration': 4.47}, {'text': 'gia believe there we go with a leather', 'start': 56.16, 'duration': 3.75}, {'text': 'wrist strap user guide and the mobile', 'start': 58.32, 'duration': 4.649}, {'text': ""phone not included oh well don't worry"", 'start': 59.91, 'duration': 5.7}, {'text': ""we've got that bad boy there sir well"", 'start': 62.969, 'duration': 3.931}, {'text': ""let's soften up and let's see we get"", 'start': 65.61, 'duration': 4.95}, {'text': ""inside here so there's the camera kit"", 'start': 66.9, 'duration': 5.31}, {'text': ""with safa nikki's night somewhere that"", 'start': 70.56, 'duration': 2.97}, {'text': 'wants to be fed and we all are they all', 'start': 72.21, 'duration': 4.049}, {'text': 'wear elst we get inside here probably', 'start': 73.53, 'duration': 5.19}, {'text': 'some information kind of documents yeah', 'start': 76.259, 'duration': 4.281}, {'text': ""probably stuff we're never going to read"", 'start': 78.72, 'duration': 4.439}, {'text': 'anything in the bottom maybe like the', 'start': 80.54, 'duration': 6.369}, {'text': 'charger sorry about that probably some', 'start': 83.159, 'duration': 7.381}, {'text': 'kind of charger in here may be up there', 'start': 86.909, 'duration': 5.491}, {'text': ""we've got a leather leather wrist strap"", 'start': 90.54, 'duration': 3.869}, {'text': ""to get my words out so it's just to"", 'start': 92.4, 'duration': 3.539}, {'text': 'clean some of the stuff up here took it', 'start': 94.409, 'duration': 4.35}, {'text': ""off there and here it is yes that's what"", 'start': 95.939, 'duration': 4.771}, {'text': ""camera grip itself so i'll tell what all"", 'start': 98.759, 'duration': 6.18}, {'text': ""do we will check this out of here we're"", 'start': 100.71, 'duration': 9.18}, {'text': 'gonna figure out how there we go next to', 'start': 104.939, 'duration': 8.851}, {'text': ""look hard work and I wanna oh I'll just"", 'start': 109.89, 'duration': 7.13}, {'text': ""feel real nice actual it's got the"", 'start': 113.79, 'duration': 7.859}, {'text': 'little stitch in there few focuses you', 'start': 117.02, 'duration': 6.129}, {'text': 'see a little stitching Justin really', 'start': 121.649, 'duration': 2.731}, {'text': ""really nice that's a nice little"", 'start': 123.149, 'duration': 3.091}, {'text': 'inclusion get we do with it sir Chuck', 'start': 124.38, 'duration': 3.749}, {'text': ""laughter there let's punish we all want"", 'start': 126.24, 'duration': 3.93}, {'text': 'to see what that 12 form looks like with', 'start': 128.129, 'duration': 3.931}, {'text': 'the inside there with that kind of like', 'start': 130.17, 'duration': 3.57}, {'text': 'Oreo on the back', 'start': 132.06, 'duration': 3.12}, {'text': 'as I said I like having the fact that', 'start': 133.74, 'duration': 3.42}, {'text': ""I've got your white Lumia to go with the"", 'start': 135.18, 'duration': 4.59}, {'text': 'white camera grip so all it does you see', 'start': 137.16, 'duration': 4.71}, {'text': 'the bottom of it there got the microUSB', 'start': 139.77, 'duration': 4.38}, {'text': ""so all you do i believe it's just"", 'start': 141.87, 'duration': 6.54}, {'text': ""effectively feed it up it's feeding like"", 'start': 144.15, 'duration': 7.95}, {'text': 'that just kind of slider in now there we', 'start': 148.41, 'duration': 5.7}, {'text': 'go just slide it in you kind of feel it', 'start': 152.1, 'duration': 3.9}, {'text': 'kind of go in and then click print to', 'start': 154.11, 'duration': 3.75}, {'text': 'position is now telling you actually', 'start': 156.0, 'duration': 4.11}, {'text': 'charging the device reason for that is', 'start': 157.86, 'duration': 3.63}, {'text': ""because it's got the battery inside"", 'start': 160.11, 'duration': 4.11}, {'text': 'there now on the back of it here as you', 'start': 161.49, 'duration': 4.44}, {'text': ""see this way you do charge it and you've"", 'start': 164.22, 'duration': 3.51}, {'text': 'got a little button there it should tell', 'start': 165.93, 'duration': 2.94}, {'text': ""you how many you got left it's a bit"", 'start': 167.73, 'duration': 2.61}, {'text': 'bright in here there we go kind of see', 'start': 168.87, 'duration': 4.14}, {'text': ""it so I've got three out of four bars so"", 'start': 170.34, 'duration': 4.11}, {'text': 'probably got about seven hundred million', 'start': 173.01, 'duration': 4.26}, {'text': 'poles or something like that and I got', 'start': 174.45, 'duration': 4.29}, {'text': ""to admit I think it's a very very cool"", 'start': 177.27, 'duration': 4.08}, {'text': 'idea see in the front event it looked', 'start': 178.74, 'duration': 4.08}, {'text': 'really really nice and flush that you', 'start': 181.35, 'duration': 3.17}, {'text': 'just eat just fits absolute perfect', 'start': 182.82, 'duration': 3.54}, {'text': ""something you've come to expect from"", 'start': 184.52, 'duration': 4.3}, {'text': 'official knock your accessories I wish', 'start': 186.36, 'duration': 4.08}, {'text': 'more companies dig proper decent', 'start': 188.82, 'duration': 3.69}, {'text': 'accessories more compressors kind of', 'start': 190.44, 'duration': 3.75}, {'text': ""stingy now on accessories now they're"", 'start': 192.51, 'duration': 3.42}, {'text': 'expecting of a case manufacturers to do', 'start': 194.19, 'duration': 3.81}, {'text': 'it but when you know our companies such', 'start': 195.93, 'duration': 3.99}, {'text': 'as Nokia and even Apple to some degree', 'start': 198.0, 'duration': 3.9}, {'text': 'with some of their newest stuff you know', 'start': 199.92, 'duration': 4.29}, {'text': 'I like it personal I now to turn the', 'start': 201.9, 'duration': 4.32}, {'text': 'device on you can use the camera bond so', 'start': 204.21, 'duration': 3.12}, {'text': 'we just kind of press the camera button', 'start': 206.22, 'duration': 3.27}, {'text': 'and boom it takes you straight into the', 'start': 207.33, 'duration': 4.35}, {'text': 'Nokia proc cover up and yes she can', 'start': 209.49, 'duration': 4.77}, {'text': 'actually use a SOHO follow got a', 'start': 211.68, 'duration': 4.56}, {'text': 'two-stage you press it once and it', 'start': 214.26, 'duration': 4.44}, {'text': 'starts to focus press it again and it', 'start': 216.24, 'duration': 4.32}, {'text': 'takes the image and what BAM it takes', 'start': 218.7, 'duration': 3.81}, {'text': ""that image you see I'm a mess over there"", 'start': 220.56, 'duration': 5.07}, {'text': ""that's an offer so it's got like a"", 'start': 222.51, 'duration': 4.59}, {'text': 'little bit of a rubberized kind of grip', 'start': 225.63, 'duration': 2.94}, {'text': 'here so it kind of makes it nice and', 'start': 227.1, 'duration': 3.12}, {'text': 'helped me not tell hold in the hand and', 'start': 228.57, 'duration': 4.62}, {'text': ""I gotta say I like the way of it doesn't"", 'start': 230.22, 'duration': 5.61}, {'text': 'feel heavy at all as I said with a phone', 'start': 233.19, 'duration': 4.77}, {'text': ""outside of it doesn't feel it feels very"", 'start': 235.83, 'duration': 4.08}, {'text': 'very light with the phone inside it', 'start': 237.96, 'duration': 4.92}, {'text': 'feels really really nice to hold and I', 'start': 239.91, 'duration': 4.5}, {'text': 'can see myself using this for quite a', 'start': 242.88, 'duration': 2.88}, {'text': ""lot of you know pictures when I'm out"", 'start': 244.41, 'duration': 3.24}, {'text': 'and about I might even just carry it', 'start': 245.76, 'duration': 4.05}, {'text': 'like this all the time slide it tuck my', 'start': 247.65, 'duration': 4.77}, {'text': ""pocket I've out pull out take a picture"", 'start': 249.81, 'duration': 5.01}, {'text': 'and then BOOM loads up and I take my', 'start': 252.42, 'duration': 6.27}, {'text': ""picture and focus you don't have to fuck"", 'start': 254.82, 'duration': 5.789}, {'text': 'you can just press it down wassup tune', 'start': 258.69, 'duration': 4.49}, {'text': 'you can boom take your image so yeah', 'start': 260.609, 'duration': 5.671}, {'text': ""that's my quick look at the nokia lumia"", 'start': 263.18, 'duration': 4.3}, {'text': '1020 camera grip', 'start': 266.28, 'duration': 2.91}, {'text': ""well I'd reckon do you think is a very"", 'start': 267.48, 'duration': 4.02}, {'text': ""cool idea it got to me I'm rather"", 'start': 269.19, 'duration': 4.2}, {'text': ""impressed by it or something I've got to"", 'start': 271.5, 'duration': 4.29}, {'text': 'cover off it has got a standard tripod', 'start': 273.39, 'duration': 5.52}, {'text': 'mount so yes you can effectively mounted', 'start': 275.79, 'duration': 6.12}, {'text': 'on a tripod leave that leave a lens open', 'start': 278.91, 'duration': 4.5}, {'text': 'to get some real and s kind of like sky', 'start': 281.91, 'duration': 4.02}, {'text': 'shots bitches get some fantastic body', 'start': 283.41, 'duration': 5.52}, {'text': 'pictures to put to put in a limo stems', 'start': 285.93, 'duration': 4.95}, {'text': ""for you so yeah I don't know where to"", 'start': 288.93, 'duration': 4.05}, {'text': ""put it do I leave it like that don't"", 'start': 290.88, 'duration': 3.87}, {'text': ""leave it like that that's probably the"", 'start': 292.98, 'duration': 4.35}, {'text': ""best were there any people that's my"", 'start': 294.75, 'duration': 4.47}, {'text': 'quick look at the Lumia 1020 camera grip', 'start': 297.33, 'duration': 4.29}, {'text': ""weird reckon again I'm impressed with it"", 'start': 299.22, 'duration': 4.29}, {'text': 'as always leave those comments down', 'start': 301.62, 'duration': 3.57}, {'text': 'below please Dolph kits here that like', 'start': 303.51, 'duration': 3.21}, {'text': 'point it is very much appreciated and', 'start': 305.19, 'duration': 3.72}, {'text': 'subscribe for more any other kind of', 'start': 306.72, 'duration': 3.84}, {'text': 'videos you want to see lemon on the', 'start': 308.91, 'duration': 3.75}, {'text': 'comments down below as well anime people', 'start': 310.56, 'duration': 4.44}, {'text': ""funks watching and you'll see me in the"", 'start': 312.66, 'duration': 6.11}, {'text': 'next one cheers everyone', 'start': 315.0, 'duration': 3.77}, {'text': 'you', 'start': 319.52, 'duration': 2.06}]"
jyrl,M4yD0uV6a00,"[18, 43, 59, 60, 101, 286, 1415]",
bnrl,PerOjQn8ITE,"[192, 455]",
13rl,Pq41FxZI3A0,"[49, 260, 728]",
imrl,CF4RS4vTI30,[578],
a9rl,CPUAqP0VFxc,"[8, 71, 152]",
bjrl,ak4MGetyYWQ,"[2, 7, 64, 149, 469, 878, 1394]",
yGrl,wbdsXqlo290,"[502, 1098]",
lerl,wpFydJjo7xE,"[8, 3527]",
dirl,wv4cyGs_h8E,"[15, 178]",
9nrl,3rs5CbEvnK4,"[2, 30, 55]",
7Drl,Kg4n_o5LIus,"[9, 37]",
aerl,WSRRXAT8KhM,"[35, 2748]",
Qnrl,5A3iby6031M,"[1, 74, 131]",
MHrl,pKfL4XT8DXc,"[3, 4, 13, 28, 33, 38]",
3Prl,,"[9, 14]",
Q6rl,FGNEGNmNk4I,"[12, 237]",
grrl,q2Myxe0Lb_s,"[0, 1, 93, 102]","[{'text': 'hey guys this is jason with a low level', 'start': 0.0, 'duration': 4.29}, {'text': 'tanking guide now this guide will work', 'start': 2.19, 'duration': 4.02}, {'text': 'with any class even though the warrior', 'start': 4.29, 'duration': 3.54}, {'text': 'right here it will work with any', 'start': 6.21, 'duration': 4.02}, {'text': ""starting class from the game so let's"", 'start': 7.83, 'duration': 3.72}, {'text': 'just go into the quick basics without', 'start': 10.23, 'duration': 3.779}, {'text': 'going into crazy detail since we just', 'start': 11.55, 'duration': 5.0}, {'text': 'not make it as simple as possible now', 'start': 14.009, 'duration': 5.491}, {'text': 'the low level thinking since the noob', 'start': 16.55, 'duration': 5.17}, {'text': 'engine stuff where you gain attack power', 'start': 19.5, 'duration': 4.8}, {'text': 'from taking damage aggro is not an issue', 'start': 21.72, 'duration': 4.889}, {'text': ""so you can bake there's no rotation"", 'start': 24.3, 'duration': 3.93}, {'text': 'almost you can almost spam whatever', 'start': 26.609, 'duration': 3.18}, {'text': 'buttons you want but there are certain', 'start': 28.23, 'duration': 3.299}, {'text': ""buttons you're gonna want to spam and"", 'start': 29.789, 'duration': 4.381}, {'text': 'those would be AOE attack so for example', 'start': 31.529, 'duration': 6.091}, {'text': 'on a warrior cleave thunderclap will be', 'start': 34.17, 'duration': 5.819}, {'text': ""a 0 e attacks on a bare Judy what're you"", 'start': 37.62, 'duration': 4.59}, {'text': 'swipe on a deaf night you want to use', 'start': 39.989, 'duration': 4.561}, {'text': ""blood boil or pound anybody's hammer the"", 'start': 42.21, 'duration': 4.65}, {'text': 'righteous so on so forth so for your', 'start': 44.55, 'duration': 3.66}, {'text': ""talent tree I'm not gonna go into the"", 'start': 46.86, 'duration': 4.019}, {'text': 'town tree but anywhere you see anything', 'start': 48.21, 'duration': 5.61}, {'text': 'that looks like an AoE kind of buff you', 'start': 50.879, 'duration': 4.68}, {'text': 'want to take it so for example blood and', 'start': 53.82, 'duration': 4.86}, {'text': 'thunder and the warrior town tree gives', 'start': 55.559, 'duration': 4.951}, {'text': 'Ren to all targets that get hit by', 'start': 58.68, 'duration': 4.8}, {'text': ""thunder clap so that's a big AoE boost"", 'start': 60.51, 'duration': 5.55}, {'text': 'so I want to take that so just look down', 'start': 63.48, 'duration': 4.02}, {'text': 'your classes talent tree and take', 'start': 66.06, 'duration': 3.9}, {'text': 'anything that looks like an AoE boost or', 'start': 67.5, 'duration': 5.46}, {'text': 'a cool down or AoE attack for example', 'start': 69.96, 'duration': 5.699}, {'text': 'like shock wave is an AoE attack and so', 'start': 72.96, 'duration': 5.22}, {'text': 'you definitely want to take that or if', 'start': 75.659, 'duration': 4.14}, {'text': ""you're just looking for cooldowns last"", 'start': 78.18, 'duration': 4.35}, {'text': 'stand is cool down other talent trees', 'start': 79.799, 'duration': 4.231}, {'text': 'are about the same you can tell it to', 'start': 82.53, 'duration': 3.39}, {'text': 'cool down a lot so you want to take cool', 'start': 84.03, 'duration': 4.86}, {'text': 'down and AoE abilities as far as list', 'start': 85.92, 'duration': 5.01}, {'text': 'now my auction house is overpriced with', 'start': 88.89, 'duration': 4.74}, {'text': 'glyphs and crapper you guys want to take', 'start': 90.93, 'duration': 5.58}, {'text': 'any AoE boosting lift so', 'start': 93.63, 'duration': 5.82}, {'text': 'were warriors pot warriors even though', 'start': 96.51, 'duration': 6.24}, {'text': 'Cleve is not actually like a normal', 'start': 99.45, 'duration': 5.42}, {'text': 'ability you would use but for low-level', 'start': 102.75, 'duration': 4.59}, {'text': 'our warriors you want to actually take', 'start': 104.87, 'duration': 3.76}, {'text': ""look for cleanings you'll hit another"", 'start': 107.34, 'duration': 3.9}, {'text': ""target with cleat so that's a big air we"", 'start': 108.63, 'duration': 4.19}, {'text': 'boost you definitely want to take that', 'start': 111.24, 'duration': 4.29}, {'text': 'now look for some other AoE towns here', 'start': 112.82, 'duration': 5.32}, {'text': 'or is that we had that many a wheeze', 'start': 115.53, 'duration': 4.62}, {'text': ""they've actually putting the lowest"", 'start': 118.14, 'duration': 5.01}, {'text': 'about a oies resonating power reduce the', 'start': 120.15, 'duration': 4.74}, {'text': 'cost thunderclap so you want to take', 'start': 123.15, 'duration': 4.56}, {'text': ""that because obviously smell AoE let's"", 'start': 124.89, 'duration': 5.19}, {'text': 'just get into the dungeons now if you', 'start': 127.71, 'duration': 3.75}, {'text': 'understand that you want expectance as', 'start': 130.08, 'duration': 4.71}, {'text': 'much a week damage boobs-etc possible so', 'start': 131.46, 'duration': 5.76}, {'text': ""I'm gonna go in specific dungeon am just"", 'start': 134.79, 'duration': 3.87}, {'text': 'going to choose something really quick', 'start': 137.22, 'duration': 4.32}, {'text': 'here alright so now their head up an', 'start': 138.66, 'duration': 4.71}, {'text': 'instance now if you have heroines this', 'start': 141.54, 'duration': 3.21}, {'text': 'is going to be much easier for you if', 'start': 143.37, 'duration': 3.18}, {'text': ""you don't have hair moons that means"", 'start': 144.75, 'duration': 2.94}, {'text': ""you're just starting out a while you'll"", 'start': 146.55, 'duration': 2.76}, {'text': ""have any extra gear it's gonna be a"", 'start': 147.69, 'duration': 4.5}, {'text': 'little bit hard for you to do so', 'start': 149.31, 'duration': 4.98}, {'text': 'basically what you want to do is well', 'start': 152.19, 'duration': 3.78}, {'text': 'pull fast this is how you gonna level', 'start': 154.29, 'duration': 3.18}, {'text': 'extremely fast you want to pull as fast', 'start': 155.97, 'duration': 4.17}, {'text': 'as possible and just spam your a wheeze', 'start': 157.47, 'duration': 4.61}, {'text': ""right now that he's done to clap clean"", 'start': 160.14, 'duration': 4.2}, {'text': 'shockwave you just want to spam airways', 'start': 162.08, 'duration': 5.59}, {'text': 'and usually since your healer should be', 'start': 164.34, 'duration': 4.77}, {'text': 'these you want to test if you lose', 'start': 167.67, 'duration': 3.0}, {'text': 'patience of the first couple of pulls', 'start': 169.11, 'duration': 3.9}, {'text': ""you don't want to pull too much you"", 'start': 170.67, 'duration': 4.47}, {'text': 'learned see here this skill but since', 'start': 173.01, 'duration': 3.36}, {'text': ""I'm pretty over level for this it"", 'start': 175.14, 'duration': 2.52}, {'text': ""shouldn't be a problem for me"", 'start': 176.37, 'duration': 3.21}, {'text': 'so you just want to keep pulling but', 'start': 177.66, 'duration': 3.42}, {'text': ""just watching the healer and what I'm"", 'start': 179.58, 'duration': 3.87}, {'text': ""doing is how you'll know the fastest you"", 'start': 181.08, 'duration': 4.08}, {'text': ""don't want to pull one pack at a time"", 'start': 183.45, 'duration': 4.14}, {'text': ""that's extremely slow and that's I"", 'start': 185.16, 'duration': 4.02}, {'text': 'really hate with tank through that the', 'start': 187.59, 'duration': 3.93}, {'text': 'low level instances now as you can see', 'start': 189.18, 'duration': 4.95}, {'text': ""i'm pulling extremely fast pulling tons"", 'start': 191.52, 'duration': 4.2}, {'text': 'of mods i am a little bit over level', 'start': 194.13, 'duration': 4.11}, {'text': ""just take note of that but i'm still"", 'start': 195.72, 'duration': 5.16}, {'text': 'holding agri with everything easily so', 'start': 198.24, 'duration': 5.37}, {'text': 'this actually works up until level 70', 'start': 200.88, 'duration': 4.5}, {'text': 'once you get to rapper lich king this', 'start': 203.61, 'duration': 3.39}, {'text': ""isn't going to work as well because the"", 'start': 205.38, 'duration': 3.81}, {'text': ""mobs are slightly stronger so you're"", 'start': 207.0, 'duration': 3.42}, {'text': 'going to be taking way too much damage', 'start': 209.19, 'duration': 4.38}, {'text': 'to actually pull this many people well', 'start': 210.42, 'duration': 5.1}, {'text': ""as you can see I'm just standing AO ease"", 'start': 213.57, 'duration': 5.04}, {'text': 'and pulling as many Bob as possible now', 'start': 215.52, 'duration': 4.47}, {'text': ""if you're a paladin you want to be using"", 'start': 218.61, 'duration': 3.54}, {'text': ""hammer of the righteous because that's"", 'start': 219.99, 'duration': 6.09}, {'text': 'an awesome AOE and shield etc like you', 'start': 222.15, 'duration': 5.52}, {'text': 'have tons of a wheeze of the paladins', 'start': 226.08, 'duration': 3.57}, {'text': ""did they do it as a bear it's gonna be a"", 'start': 227.67, 'duration': 3.57}, {'text': 'little bit harder for you you only have', 'start': 229.65, 'duration': 3.84}, {'text': ""swype so if you're just looking to AOE"", 'start': 231.24, 'duration': 5.43}, {'text': 'tank and level up quick bears bear drew', 'start': 233.49, 'duration': 5.16}, {'text': 'the positive worse tanks for a wee', 'start': 236.67, 'duration': 4.02}, {'text': 'leveling quick because they only have', 'start': 238.65, 'duration': 3.27}, {'text': 'really Swank and i think they get', 'start': 240.69, 'duration': 4.92}, {'text': ""thrashed 81 that's pretty late so you"", 'start': 241.92, 'duration': 4.74}, {'text': 'can see right here I just pull a little', 'start': 245.61, 'duration': 3.96}, {'text': 'amount as quick as possible never got a', 'start': 246.66, 'duration': 5.4}, {'text': 'boss now but the boss pretty much you', 'start': 249.57, 'duration': 4.11}, {'text': 'can do single target abilities it almost', 'start': 252.06, 'duration': 2.85}, {'text': ""doesn't matter I most of the low-level"", 'start': 253.68, 'duration': 3.42}, {'text': 'bosses play Nina as you can see right', 'start': 254.91, 'duration': 3.9}, {'text': ""here i'm just really spamming my"", 'start': 257.1, 'duration': 3.63}, {'text': 'keyboard pressing whatever lights up', 'start': 258.81, 'duration': 3.92}, {'text': 'first and i can see i have pull aggro', 'start': 260.73, 'duration': 4.59}, {'text': ""little like good stuff that's pretty"", 'start': 262.73, 'duration': 4.36}, {'text': 'much all there is to a re tanking so', 'start': 265.32, 'duration': 3.72}, {'text': 'just remember look at your classes', 'start': 267.09, 'duration': 4.68}, {'text': 'talents and see what a or weeds they', 'start': 269.04, 'duration': 5.46}, {'text': 'have make sure you upgrade any AOE you', 'start': 271.77, 'duration': 5.03}, {'text': 'possibly can upgrade', 'start': 274.5, 'duration': 4.19}, {'text': 'what else what do you call make sure', 'start': 276.8, 'duration': 3.329}, {'text': ""when you're pulling just test out your"", 'start': 278.69, 'duration': 3.21}, {'text': 'healer make sure you give it to actually', 'start': 280.129, 'duration': 4.111}, {'text': ""handle what you're doing one pretty much"", 'start': 281.9, 'duration': 4.199}, {'text': ""just pull as much as you you're"", 'start': 284.24, 'duration': 3.72}, {'text': ""comfortable with now right now I'm"", 'start': 286.099, 'duration': 3.511}, {'text': 'actually extremely comfortable with lots', 'start': 287.96, 'duration': 3.959}, {'text': ""of mobs because this I've been tanking"", 'start': 289.61, 'duration': 3.839}, {'text': ""for self such a long time so it's pretty"", 'start': 291.919, 'duration': 4.171}, {'text': 'easy to me and make sure to rotate your', 'start': 293.449, 'duration': 4.62}, {'text': ""cooldowns that's the last thing so don't"", 'start': 296.09, 'duration': 3.63}, {'text': 'pop all your cooldowns at once even if', 'start': 298.069, 'duration': 4.41}, {'text': ""you're nine good chance we don't need"", 'start': 299.72, 'duration': 5.43}, {'text': 'them all so especially with warriors', 'start': 302.479, 'duration': 4.111}, {'text': 'warriors that quickly rushed i can', 'start': 305.15, 'duration': 3.84}, {'text': 'actually gain HP opponent runs mobs', 'start': 306.59, 'duration': 4.199}, {'text': ""that's pretty much it for this guy like"", 'start': 308.99, 'duration': 3.87}, {'text': 'thank you guys for watching if you have', 'start': 310.789, 'duration': 3.6}, {'text': 'any questions about any of the other', 'start': 312.86, 'duration': 3.239}, {'text': ""tanking classes i'm the more its feel"", 'start': 314.389, 'duration': 4.801}, {'text': 'free to leave the description below the', 'start': 316.099, 'duration': 5.761}, {'text': 'course is only for my worry perspectives', 'start': 319.19, 'duration': 4.65}, {'text': 'of need any other help feel free to', 'start': 321.86, 'duration': 3.359}, {'text': ""leave a blue thanks for watching I'll"", 'start': 323.84, 'duration': 3.889}, {'text': 'see you next time', 'start': 325.219, 'duration': 2.51}]"
