siBe,4rn0t6RvCa8,"[730, 2415]",
yLBe,FVF09-8SHbY,[682],"[{'text': ""what's the S stand for it's not an S on"", 'start': 0.829, 'duration': 8.011}, {'text': 'my world it needs hope well here is an S', 'start': 4.41, 'duration': 6.979}, {'text': ""if I think it's what it's going to be"", 'start': 8.84, 'duration': 4.959}, {'text': 'could be could make you the face of a', 'start': 11.389, 'duration': 4.66}, {'text': 'franchise are you ready for that kind of', 'start': 13.799, 'duration': 3.631}, {'text': ""fame I don't know if you can be ready"", 'start': 16.049, 'duration': 4.261}, {'text': ""for it to be honest I mean there's no"", 'start': 17.43, 'duration': 4.23}, {'text': 'knowing what its gonna feel like and how', 'start': 20.31, 'duration': 2.7}, {'text': ""it's gonna affect my life I mean yes you"", 'start': 21.66, 'duration': 3.629}, {'text': 'know like going to Starbucks is now a', 'start': 23.01, 'duration': 4.29}, {'text': ""thing of the past I'm trying to wrap my"", 'start': 25.289, 'duration': 3.631}, {'text': ""head around it I think what I'm gonna do"", 'start': 27.3, 'duration': 3.479}, {'text': 'is just enjoy the journey', 'start': 28.92, 'duration': 4.29}, {'text': 'I know ride the wave and if the punch', 'start': 30.779, 'duration': 4.321}, {'text': ""has come roll with them I think I'll"", 'start': 33.21, 'duration': 3.57}, {'text': ""deal with it really well I mean he's"", 'start': 35.1, 'duration': 2.97}, {'text': 'someone who has a body of work behind', 'start': 36.78, 'duration': 3.36}, {'text': ""him but he just hasn't had this kind of"", 'start': 38.07, 'duration': 4.32}, {'text': ""launchpad and I think this is he's"", 'start': 40.14, 'duration': 4.05}, {'text': 'really well suited for this', 'start': 42.39, 'duration': 4.11}, {'text': ""it'll be curious to see sort of he goes"", 'start': 44.19, 'duration': 4.26}, {'text': 'from being you know somewhat able to', 'start': 46.5, 'duration': 3.27}, {'text': 'walk through the world to just being', 'start': 48.45, 'duration': 2.85}, {'text': 'completely recognizable and really an', 'start': 49.77, 'duration': 3.6}, {'text': ""interesting thing I think he'll have his"", 'start': 51.3, 'duration': 5.04}, {'text': 'days his moments you know because it can', 'start': 53.37, 'duration': 4.619}, {'text': 'be quite overwhelming or more than I', 'start': 56.34, 'duration': 2.34}, {'text': 'will', 'start': 57.989, 'duration': 4.741}, {'text': 'just downright annoying but I think', 'start': 58.68, 'duration': 8.88}, {'text': ""you'd be fine think that Henry's who"", 'start': 62.73, 'duration': 7.17}, {'text': 'very well put together a young men and I', 'start': 67.56, 'duration': 5.27}, {'text': 'think that he has all the qualities', 'start': 69.9, 'duration': 6.0}, {'text': 'which are needed required to play a', 'start': 72.83, 'duration': 4.93}, {'text': ""character like that and I think he's"", 'start': 75.9, 'duration': 2.73}, {'text': 'gonna be great', 'start': 77.76, 'duration': 3.18}, {'text': ""he's gonna break the curse I think that"", 'start': 78.63, 'duration': 5.28}, {'text': ""he's perfectly qualified to carry the"", 'start': 80.94, 'duration': 5.85}, {'text': 'mantle of Superman you know to another', 'start': 83.91, 'duration': 4.65}, {'text': 'generation so I read an article', 'start': 86.79, 'duration': 5.28}, {'text': 'yesterday from January 2011 and', 'start': 88.56, 'duration': 5.22}, {'text': 'announced when you were cast for this', 'start': 92.07, 'duration': 4.35}, {'text': 'role right so what would you at this', 'start': 93.78, 'duration': 5.339}, {'text': 'point tell that guy about what was gonna', 'start': 96.42, 'duration': 4.41}, {'text': 'happen in the next couple of years keep', 'start': 99.119, 'duration': 6.271}, {'text': 'on falling our instincts because so far', 'start': 100.83, 'duration': 6.24}, {'text': 'it seems have worked out I heard that', 'start': 105.39, 'duration': 3.15}, {'text': ""this wasn't your first audition for a"", 'start': 107.07, 'duration': 4.71}, {'text': 'Superman role though no I I auditioned', 'start': 108.54, 'duration': 5.43}, {'text': 'years and years ago I think eight eight', 'start': 111.78, 'duration': 4.86}, {'text': 'years ago or so for a McGee movie which', 'start': 113.97, 'duration': 4.319}, {'text': 'never ended up getting made but yeah', 'start': 116.64, 'duration': 3.36}, {'text': 'that was that was a long process then', 'start': 118.289, 'duration': 3.811}, {'text': 'and I got to try again now so do you', 'start': 120.0, 'duration': 4.11}, {'text': 'believe in fate and that kind of thing I', 'start': 122.1, 'duration': 4.379}, {'text': ""don't believe in fate I think it's just"", 'start': 124.11, 'duration': 5.49}, {'text': 'a circumstance and I got fortunate', 'start': 126.479, 'duration': 4.591}, {'text': 'enough to be this age with this', 'start': 129.6, 'duration': 3.27}, {'text': 'experience the right age of the', 'start': 131.07, 'duration': 4.11}, {'text': 'character the right kind of look and I', 'start': 132.87, 'duration': 4.83}, {'text': 'fit into this directors and these', 'start': 135.18, 'duration': 4.559}, {'text': 'producers vision of the movie it was a', 'start': 137.7, 'duration': 4.47}, {'text': 'good fortune in good timing are you', 'start': 139.739, 'duration': 4.081}, {'text': ""smiling about captain I just think he's"", 'start': 142.17, 'duration': 4.129}, {'text': 'kind of hot', 'start': 143.82, 'duration': 2.479}, {'text': 'you', 'start': 150.12, 'duration': 2.06}]"
vmBe,ZypLZ1A0u2c,[2684],
FIBe,XgM_AOndjTc,[99],
1eBe,2yk8eMgnRZA,[148],
1hBe,35b3QkT8Kds,"[2, 45, 51, 56, 77, 212]",
V5Be,37dX5cn0HWA,"[2, 7]",
vJBe,s7Qw34QTN8I,"[5, 977]",
bOBe,s8D6Ns7EtwQ,[205],"[{'text': 'well Sanskrit may be a resource staffed', 'start': 0.0, 'duration': 4.799}, {'text': 'and find fewer and fewer students in', 'start': 2.19, 'duration': 4.26}, {'text': 'India but there are schools and', 'start': 4.799, 'duration': 3.361}, {'text': 'universities in the United Kingdom where', 'start': 6.45, 'duration': 3.3}, {'text': 'the language is thriving Swati', 'start': 8.16, 'duration': 10.23}, {'text': 'maheshwari reports these young students', 'start': 9.75, 'duration': 10.529}, {'text': 'reciting some strength versus from the', 'start': 18.39, 'duration': 3.87}, {'text': 'Upanishads at this annual Sanskrit', 'start': 20.279, 'duration': 4.111}, {'text': ""speech competition at the sin James's"", 'start': 22.26, 'duration': 5.22}, {'text': 'Junior School in London proud parents', 'start': 24.39, 'duration': 6.95}, {'text': 'and teachers applauding their efforts', 'start': 27.48, 'duration': 3.86}, {'text': 'this chain of schools has taught', 'start': 33.559, 'duration': 5.051}, {'text': 'Sanskrit since 1975 and over the years', 'start': 35.64, 'duration': 4.62}, {'text': 'to their surprise they found an', 'start': 38.61, 'duration': 3.18}, {'text': 'increasing number of parents and', 'start': 40.26, 'duration': 3.27}, {'text': 'children keen on learning the ancient', 'start': 41.79, 'duration': 3.99}, {'text': 'language even though the script and', 'start': 43.53, 'duration': 4.049}, {'text': 'pronunciation for English speakers is', 'start': 45.78, 'duration': 4.02}, {'text': 'difficult to pick up for language it', 'start': 47.579, 'duration': 4.861}, {'text': 'gives some brilliant linguistic training', 'start': 49.8, 'duration': 4.759}, {'text': 'they use all parts of their mouth and', 'start': 52.44, 'duration': 5.07}, {'text': 'the Sun squared scriptures are inspiring', 'start': 54.559, 'duration': 4.68}, {'text': 'this full of very inspiring', 'start': 57.51, 'duration': 4.38}, {'text': 'philosophical concepts and this is why', 'start': 59.239, 'duration': 5.5}, {'text': 'we teach it I enjoy learning Sanskrit', 'start': 61.89, 'duration': 6.15}, {'text': ""because I suppose it's one of the few"", 'start': 64.739, 'duration': 5.251}, {'text': ""we're one of the few schools that now"", 'start': 68.04, 'duration': 6.509}, {'text': 'study it and I feel it benefits you', 'start': 69.99, 'duration': 6.15}, {'text': 'different lots of different ways I mean', 'start': 74.549, 'duration': 4.86}, {'text': 'as we need speaking why is it helps you', 'start': 76.14, 'duration': 7.409}, {'text': 'to really pronounce words and diction', 'start': 79.409, 'duration': 9.721}, {'text': ""also you have to be pretty clear I'd say"", 'start': 83.549, 'duration': 8.191}, {'text': 'the spiritual benefits also quite high I', 'start': 89.13, 'duration': 4.11}, {'text': 'mean there are a lot of different', 'start': 91.74, 'duration': 3.12}, {'text': 'stories weight with the ramayana and', 'start': 93.24, 'duration': 3.87}, {'text': 'mahabharata and there are lots of', 'start': 94.86, 'duration': 6.36}, {'text': 'different ways of describing kind of', 'start': 97.11, 'duration': 5.579}, {'text': ""what's happening in the world and"", 'start': 101.22, 'duration': 4.5}, {'text': ""they're all aimed ages before yeah dang"", 'start': 102.689, 'duration': 7.11}, {'text': 'gotta shoot share to UM acne / drum', 'start': 105.72, 'duration': 7.62}, {'text': ""carriage se da way that's a key among"", 'start': 109.799, 'duration': 7.021}, {'text': 'the era do you find it hard at all or do', 'start': 113.34, 'duration': 5.97}, {'text': ""you like it you enjoy it yeah it's a fun"", 'start': 116.82, 'duration': 5.49}, {'text': ""it's my favorite lesson yes a Sanskrit"", 'start': 119.31, 'duration': 4.32}, {'text': 'text books are available for students', 'start': 122.31, 'duration': 3.12}, {'text': 'between the age of 4 and 18 in the', 'start': 123.63, 'duration': 4.169}, {'text': 'school students can even take their a', 'start': 125.43, 'duration': 4.32}, {'text': 'level examinations at the age of 18 in', 'start': 127.799, 'duration': 4.531}, {'text': 'some strip prestigious universities like', 'start': 129.75, 'duration': 4.05}, {'text': 'Oxford Cambridge', 'start': 132.33, 'duration': 3.99}, {'text': 'burra have Sanskrit departments in terms', 'start': 133.8, 'duration': 5.25}, {'text': 'of the way that Sanskrit research', 'start': 136.32, 'duration': 4.86}, {'text': 'progresses i think the sanskrit studies', 'start': 139.05, 'duration': 4.05}, {'text': 'is actually in a renaissance I think', 'start': 141.18, 'duration': 4.11}, {'text': ""it's you know it's rarely been better in"", 'start': 143.1, 'duration': 4.53}, {'text': 'the last hundred years a place like this', 'start': 145.29, 'duration': 4.41}, {'text': 'shows that one can actually build a', 'start': 147.63, 'duration': 3.57}, {'text': 'credit when can build a curriculum out', 'start': 149.7, 'duration': 2.79}, {'text': 'of Sanskrit and t real intellectual', 'start': 151.2, 'duration': 4.08}, {'text': 'advantage to it what Swati maheshwari in', 'start': 152.49, 'duration': 9.65}, {'text': 'London supra da da spot NDTV Juba calm', 'start': 155.28, 'duration': 6.86}]"
EOBe,aCWwuGtyZRA,"[53, 58, 163, 232]",
1qBe,rYcv0cSKaIA,"[11, 642, 3678]","[{'text': 'ah you milk the cow the cow is hanging', 'start': 0.03, 'duration': 13.89}, {'text': ""out the cap good night I'm drinking for"", 'start': 4.68, 'duration': 10.86}, {'text': 'Mike sounds fun thanks for joining us', 'start': 13.92, 'duration': 5.519}, {'text': ""today I've got Sam my assistant - oh man"", 'start': 15.54, 'duration': 6.329}, {'text': ""I said hey that's better how are you"", 'start': 19.439, 'duration': 6.0}, {'text': ""Mike yeah good alright today Sam we've"", 'start': 21.869, 'duration': 7.021}, {'text': ""got a special guest in this esky it's"", 'start': 25.439, 'duration': 4.771}, {'text': 'very cold', 'start': 28.89, 'duration': 4.14}, {'text': ""what is ice it's a special type of ice"", 'start': 30.21, 'duration': 5.759}, {'text': ""it's called dry ice"", 'start': 33.03, 'duration': 5.73}, {'text': ""oh no you can't touch the sauce with"", 'start': 35.969, 'duration': 5.61}, {'text': ""your hands why because it's so low cold"", 'start': 38.76, 'duration': 5.31}, {'text': 'it will free your skin and it will kill', 'start': 41.579, 'duration': 5.011}, {'text': 'your skin and give you frostbite so you', 'start': 44.07, 'duration': 4.169}, {'text': ""can't touch this with you you can't"", 'start': 46.59, 'duration': 3.6}, {'text': ""touch this with your hand it's me isn't"", 'start': 48.239, 'duration': 4.081}, {'text': 'it can you see that stay yeah you can', 'start': 50.19, 'duration': 3.63}, {'text': 'touch this thing you tell me what this', 'start': 52.32, 'duration': 8.46}, {'text': 'thing feels like you know what clouds', 'start': 53.82, 'duration': 9.3}, {'text': 'feel like have you felt clouds before', 'start': 60.78, 'duration': 7.23}, {'text': ""yeah when okay first Sam you've got this"", 'start': 63.12, 'duration': 6.929}, {'text': 'special water what does it look like a', 'start': 68.01, 'duration': 4.859}, {'text': 'bit what all those colors remind you of', 'start': 70.049, 'duration': 7.261}, {'text': 'no rain right buddy yeah of course', 'start': 72.869, 'duration': 6.661}, {'text': 'vinegar at the top which is acidic and', 'start': 77.31, 'duration': 4.47}, {'text': 'some washing start up down the bottom', 'start': 79.53, 'duration': 4.17}, {'text': ""which is spicy and I'm gonna put a"", 'start': 81.78, 'duration': 4.769}, {'text': ""spoonful here okay let's see what"", 'start': 83.7, 'duration': 4.26}, {'text': 'happened today what do you think will', 'start': 86.549, 'duration': 3.441}, {'text': 'happen', 'start': 87.96, 'duration': 2.03}, {'text': 'do you like that oh say little smoking', 'start': 111.549, 'duration': 16.451}, {'text': 'sometimes the dry ice is solid carbon', 'start': 117.979, 'duration': 12.901}, {'text': 'dioxide when the carbon dioxide mixes', 'start': 128.0, 'duration': 6.11}, {'text': 'with the water it makes carbonic acid oh', 'start': 130.88, 'duration': 7.2}, {'text': 'and that carbonic acid is a city great', 'start': 134.11, 'duration': 6.97}, {'text': 'yes now this is a neutral solution so', 'start': 138.08, 'duration': 5.6}, {'text': ""it's going great"", 'start': 141.08, 'duration': 2.6}, {'text': 'there we go', 'start': 161.92, 'duration': 3.24}, {'text': 'good', 'start': 207.17, 'duration': 3.0}, {'text': ""what's the glove doing Sam cyclop doing"", 'start': 249.04, 'duration': 9.78}, {'text': ""anything is it changing yeah it's not"", 'start': 254.349, 'duration': 6.831}, {'text': 'changing okay', 'start': 258.82, 'duration': 8.22}, {'text': ""you sure it's not getting bigger maybe a"", 'start': 261.18, 'duration': 13.93}, {'text': 'little bit yeah are you gonna get big is', 'start': 267.04, 'duration': 11.45}, {'text': 'it when the dry-ice solid carbon dioxide', 'start': 275.11, 'duration': 6.179}, {'text': ""turns straight into a gas that's called"", 'start': 278.49, 'duration': 5.799}, {'text': 'sublimation Sam and that gas feel that', 'start': 281.289, 'duration': 6.781}, {'text': 'the fills up the gloves so this is ben', 'start': 284.289, 'duration': 5.551}, {'text': 'jacob and sam from make science fun', 'start': 288.07, 'duration': 3.39}, {'text': ""thanks hex they're joining us today and"", 'start': 289.84, 'duration': 8.13}, {'text': ""we'll be seeing you soon thank you get"", 'start': 291.46, 'duration': 11.67}, {'text': 'go cacao for weekly video please click', 'start': 297.97, 'duration': 7.14}, {'text': 'the mic science fun logo and below and', 'start': 303.13, 'duration': 4.909}, {'text': ""I'll be seeing you soon"", 'start': 305.11, 'duration': 2.929}]"
doBe,hS8Nzofrgc8,"[0, 12]",
4sBe,wEXaz1EHJ1E,"[0, 1, 27, 85]","[{'text': ""what's up guys went back to your end"", 'start': 7.4, 'duration': 3.909}, {'text': ""today i'm bringing you a 500 ollar"", 'start': 9.54, 'duration': 3.929}, {'text': ""budget gaming PC so let's go ahead and"", 'start': 11.309, 'duration': 4.711}, {'text': 'get into the CPU and with an AMD athlon', 'start': 13.469, 'duration': 6.051}, {'text': 'x4 860 k 3.7 gigahertz quad-core', 'start': 16.02, 'duration': 6.36}, {'text': 'processor this is a quad core processor', 'start': 19.52, 'duration': 4.36}, {'text': 'so it will run those games that', 'start': 22.38, 'duration': 3.059}, {'text': 'recommend that you have a quad core', 'start': 23.88, 'duration': 3.33}, {'text': ""processor and you won't be left behind"", 'start': 25.439, 'duration': 3.811}, {'text': 'in the future running a dual core', 'start': 27.21, 'duration': 3.899}, {'text': 'processor is a lot of dual-core', 'start': 29.25, 'duration': 4.469}, {'text': 'processors are fading away you know I', 'start': 31.109, 'duration': 4.261}, {'text': 'mean there are still some on the market', 'start': 33.719, 'duration': 4.051}, {'text': 'but quad core processors are recommended', 'start': 35.37, 'duration': 4.89}, {'text': ""as they are future proof and you'll be"", 'start': 37.77, 'duration': 5.25}, {'text': 'able to take full use of all those four', 'start': 40.26, 'duration': 4.86}, {'text': 'cores which are awesome for multitasking', 'start': 43.02, 'duration': 4.92}, {'text': 'and running multiple applications at', 'start': 45.12, 'duration': 4.98}, {'text': 'once now until our motherboard with an', 'start': 47.94, 'duration': 6.45}, {'text': 'ads rock FM to a 78 pro 3 plus micro ATX', 'start': 50.1, 'duration': 6.779}, {'text': 'FM two plus motherboard nothing too', 'start': 54.39, 'duration': 3.75}, {'text': 'special about this motherboard it is', 'start': 56.879, 'duration': 4.801}, {'text': 'actually new on the market so it is a', 'start': 58.14, 'duration': 5.64}, {'text': 'great motherboard from asrock and as', 'start': 61.68, 'duration': 3.689}, {'text': 'rock makes some great high-quality', 'start': 63.78, 'duration': 5.1}, {'text': 'motherboards since it is a new', 'start': 65.369, 'duration': 5.43}, {'text': 'motherboard it will have all the new', 'start': 68.88, 'duration': 5.04}, {'text': 'features that a lot of builders are', 'start': 70.799, 'duration': 5.131}, {'text': 'looking for and I think everyone will be', 'start': 73.92, 'duration': 3.629}, {'text': 'happy with it especially in this budget', 'start': 75.93, 'duration': 3.57}, {'text': 'gaming build I thought it was perfect', 'start': 77.549, 'duration': 4.081}, {'text': 'for this build onto the ram with some', 'start': 79.5, 'duration': 5.13}, {'text': 'corsair vengeance a gigabyte ddr3 1600', 'start': 81.63, 'duration': 6.87}, {'text': 'megahertz ram this is a great kid of ram', 'start': 84.63, 'duration': 6.48}, {'text': 'this is to two sticks of four gigabyte', 'start': 88.5, 'duration': 5.04}, {'text': ""RAM it's it's a great kit I'll of course"", 'start': 91.11, 'duration': 5.25}, {'text': 'hare RAM and I thought it would fit the', 'start': 93.54, 'duration': 5.25}, {'text': 'budget and everything as it comes into', 'start': 96.36, 'duration': 4.68}, {'text': ""seventy dollars and I thought it'd be"", 'start': 98.79, 'duration': 4.5}, {'text': 'great for this budget gaming build on to', 'start': 101.04, 'duration': 4.32}, {'text': 'the storage on with from western digital', 'start': 103.29, 'duration': 4.71}, {'text': 'caviar blue one terabyte hard drive I', 'start': 105.36, 'duration': 4.799}, {'text': 'love this hard drive infused it in like', 'start': 108.0, 'duration': 4.799}, {'text': 'every build like in the past like I', 'start': 110.159, 'duration': 5.041}, {'text': ""don't know how long i love this hard"", 'start': 112.799, 'duration': 5.311}, {'text': ""drive although it doesn't have speeds"", 'start': 115.2, 'duration': 6.18}, {'text': 'comparable comparable to SSDs it will', 'start': 118.11, 'duration': 5.369}, {'text': 'get by as it does have one terabyte of', 'start': 121.38, 'duration': 4.11}, {'text': ""storage you'll be able to store anything"", 'start': 123.479, 'duration': 5.131}, {'text': 'you can throw at it like maybe not some', 'start': 125.49, 'duration': 6.389}, {'text': ""like crazy big files but yeah you'll be"", 'start': 128.61, 'duration': 5.23}, {'text': 'able to store a lot of games on it', 'start': 131.879, 'duration': 4.481}, {'text': 'maybe some videos pictures music', 'start': 133.84, 'duration': 4.5}, {'text': 'whatever you want to store on it it will', 'start': 136.36, 'duration': 5.01}, {'text': 'store it one terabyte is a lot of space', 'start': 138.34, 'duration': 5.67}, {'text': 'to do everything you want now on to the', 'start': 141.37, 'duration': 4.35}, {'text': 'graphics card with a gigabyte geforce', 'start': 144.01, 'duration': 6.449}, {'text': 'gtx 960 two gigabyte graphics card this', 'start': 145.72, 'duration': 7.379}, {'text': 'graphics card is also just released I', 'start': 150.459, 'duration': 4.291}, {'text': ""thought it'd be great for a budget"", 'start': 153.099, 'duration': 3.75}, {'text': 'gaming build like this as it comes in at', 'start': 154.75, 'duration': 3.84}, {'text': 'like two hundred dollars and I really', 'start': 156.849, 'duration': 4.851}, {'text': 'thought that it would fit this build', 'start': 158.59, 'duration': 7.82}, {'text': 'this is part of the new 9 900 series of', 'start': 161.7, 'duration': 7.84}, {'text': ""nvidia cards and it's a really great"", 'start': 166.41, 'duration': 5.29}, {'text': 'card i have a couple of people that uh', 'start': 169.54, 'duration': 3.809}, {'text': ""well i know a couple people that'll"", 'start': 171.7, 'duration': 3.66}, {'text': 'bought it and they like it so far and', 'start': 173.349, 'duration': 5.61}, {'text': ""it's a really cool card and yeah i"", 'start': 175.36, 'duration': 4.709}, {'text': 'highly recommend it for a bunch of', 'start': 178.959, 'duration': 3.271}, {'text': 'gaming bills like this on to the case', 'start': 180.069, 'duration': 5.28}, {'text': 'one of the Corsair spec 01 red ATX mid', 'start': 182.23, 'duration': 5.849}, {'text': 'tower case this is an awesome case for', 'start': 185.349, 'duration': 4.411}, {'text': 'but it builds like this let me just say', 'start': 188.079, 'duration': 5.341}, {'text': 'it looks like an 80 or even $90 case but', 'start': 189.76, 'duration': 6.15}, {'text': ""only is like forty dollars it's like one"", 'start': 193.42, 'duration': 4.289}, {'text': 'of the best case budget cases on the', 'start': 195.91, 'duration': 3.99}, {'text': 'market right now it comes with like I', 'start': 197.709, 'duration': 5.37}, {'text': 'think two or maybe one fan but that is a', 'start': 199.9, 'duration': 5.58}, {'text': ""LED fan which is really cool so it's got"", 'start': 203.079, 'duration': 4.891}, {'text': 'a red red fan which is you can change', 'start': 205.48, 'duration': 4.05}, {'text': ""any time if you want if you don't like"", 'start': 207.97, 'duration': 3.9}, {'text': 'the color red for some reason but yeah', 'start': 209.53, 'duration': 4.35}, {'text': 'it comes with fans pre-installed with', 'start': 211.87, 'duration': 4.92}, {'text': 'that LED lit fan and has a window on the', 'start': 213.88, 'duration': 6.81}, {'text': 'side it is a great budget case you can', 'start': 216.79, 'duration': 5.419}, {'text': 'go with something a little bit more', 'start': 220.69, 'duration': 6.299}, {'text': ""maybe four I don't know for an extra"", 'start': 222.209, 'duration': 7.15}, {'text': 'thirty dollars you can get something', 'start': 226.989, 'duration': 6.571}, {'text': 'like our 20 the thirty dollars you can', 'start': 229.359, 'duration': 6.99}, {'text': ""get something like the NZXT s 340 it's"", 'start': 233.56, 'duration': 5.519}, {'text': 'an awesome case too but for an extra', 'start': 236.349, 'duration': 4.651}, {'text': ""thirty dollars it wouldn't fit in the"", 'start': 239.079, 'duration': 5.421}, {'text': 'five hundred dollar price range but it', 'start': 241.0, 'duration': 6.78}, {'text': 'the NZXT s 340 i suggest you checking it', 'start': 244.5, 'duration': 5.62}, {'text': 'out if you want a better case than the', 'start': 247.78, 'duration': 4.26}, {'text': 'Corsair speckle one which you probably', 'start': 250.12, 'duration': 3.69}, {'text': ""don't because it is a great budget case"", 'start': 252.04, 'duration': 4.199}, {'text': ""but if you're looking just to upgrade"", 'start': 253.81, 'duration': 4.769}, {'text': 'you know and get a better case i would', 'start': 256.239, 'duration': 5.131}, {'text': 'go with NZXT es 340 onto the power', 'start': 258.579, 'duration': 5.881}, {'text': 'supply with an EVGA forth then 430 wat a', 'start': 261.37, 'duration': 5.97}, {'text': 'plus certified ATX power supply', 'start': 264.46, 'duration': 4.47}, {'text': 'this power supply is a great power', 'start': 267.34, 'duration': 4.71}, {'text': 'supply especially because it it is', 'start': 268.93, 'duration': 4.65}, {'text': 'compatible with everything in our build', 'start': 272.05, 'duration': 4.74}, {'text': 'like our CPU and graphics card and then', 'start': 273.58, 'duration': 4.89}, {'text': 'in video graphics cards in brate are', 'start': 276.79, 'duration': 6.03}, {'text': 'great for a less power consumption or', 'start': 278.47, 'duration': 5.79}, {'text': ""whatever they save power and you don't"", 'start': 282.82, 'duration': 3.15}, {'text': 'have to get an expensive power supply to', 'start': 284.26, 'duration': 5.07}, {'text': 'go along with your PC the only other 430', 'start': 285.97, 'duration': 6.75}, {'text': 'watt power supply I like the AMD radeon', 'start': 289.33, 'duration': 7.22}, {'text': 'cards they take up so much like power', 'start': 292.72, 'duration': 7.86}, {'text': 'but yeah um i believe thats it guys this', 'start': 296.55, 'duration': 8.05}, {'text': ""pc is a great $500 pc that won't break"", 'start': 300.58, 'duration': 7.38}, {'text': 'the bank and it will run all the big', 'start': 304.6, 'duration': 5.61}, {'text': 'titles like call duty advanced warfare', 'start': 307.96, 'duration': 5.94}, {'text': 'will around that and this pc will run', 'start': 310.21, 'duration': 7.26}, {'text': 'GTA 5 when it comes out on pc and on', 'start': 313.9, 'duration': 6.36}, {'text': 'march 24th i cannot wait im so high for', 'start': 317.47, 'duration': 6.3}, {'text': ""GTA 5 anyways let's stop talking about"", 'start': 320.26, 'duration': 5.34}, {'text': 'me and i want to thank you guys for', 'start': 323.77, 'duration': 3.75}, {'text': 'watching this video please go ahead and', 'start': 325.6, 'duration': 3.75}, {'text': 'like this video and subscribe and', 'start': 327.52, 'duration': 3.48}, {'text': 'already you subscribe to see more', 'start': 329.35, 'duration': 3.87}, {'text': 'content like this and our minecraft', 'start': 331.0, 'duration': 4.47}, {'text': 'content if really into minecraft go', 'start': 333.22, 'duration': 4.199}, {'text': 'ahead and hit that subscribe button and', 'start': 335.47, 'duration': 3.27}, {'text': ""I'll see you freakin later you guys are"", 'start': 337.419, 'duration': 3.47}, {'text': 'awesome', 'start': 338.74, 'duration': 2.149}]"
