eEhu,tZ-IrAHKPw4,[25],
Gkeq,CLQvrsdSR6k,"[21, 23, 24, 73, 131, 209]","[{'text': 'when we launched the iphone 4 years ago', 'start': 1.06, 'duration': 4.239}, {'text': 'we can completely revolutionize the', 'start': 3.56, 'duration': 6.39}, {'text': 'phone with the iPad we invented a whole', 'start': 5.299, 'duration': 8.67}, {'text': 'new category the foundation of what made', 'start': 9.95, 'duration': 7.61}, {'text': 'these products so successful is iOS and', 'start': 13.969, 'duration': 7.171}, {'text': ""with iOS 5 we've taken an operating"", 'start': 17.56, 'duration': 5.1}, {'text': 'system that was already years ahead', 'start': 21.14, 'duration': 4.889}, {'text': ""we've added over 200 new features to it"", 'start': 22.66, 'duration': 9.039}, {'text': ""that move it even further ahead we're"", 'start': 26.029, 'duration': 7.801}, {'text': 'constantly challenging ourselves to', 'start': 31.699, 'duration': 4.621}, {'text': 'figure out how can we make the user', 'start': 33.83, 'duration': 5.31}, {'text': 'experience even easier even more', 'start': 36.32, 'duration': 5.79}, {'text': 'intuitive while at the same time adding', 'start': 39.14, 'duration': 5.37}, {'text': ""more powerful functionality and that's"", 'start': 42.11, 'duration': 6.69}, {'text': ""exactly what we've done with iOS 5 these"", 'start': 44.51, 'duration': 5.85}, {'text': ""days we're all getting a lot of"", 'start': 48.8, 'duration': 4.14}, {'text': 'notifications so we created a brand new', 'start': 50.36, 'duration': 4.53}, {'text': 'way to handle them when a notification', 'start': 52.94, 'duration': 4.86}, {'text': ""comes in it's now a subtle animation"", 'start': 54.89, 'duration': 5.19}, {'text': 'right at the top of the screen but', 'start': 57.8, 'duration': 4.56}, {'text': 'anywhere you are you can just swipe down', 'start': 60.08, 'duration': 4.14}, {'text': 'from the top of the screen and it will', 'start': 62.36, 'duration': 4.5}, {'text': 'reveal the notification center and from', 'start': 64.22, 'duration': 3.96}, {'text': 'within there you can see all of your', 'start': 66.86, 'duration': 4.71}, {'text': 'missed calls your text messages if you', 'start': 68.18, 'duration': 5.4}, {'text': ""tap on it it'll take you directly to"", 'start': 71.57, 'duration': 4.26}, {'text': 'that application and then on top of that', 'start': 73.58, 'duration': 5.01}, {'text': 'we made the experience in the lock', 'start': 75.83, 'duration': 5.1}, {'text': ""screen even better you're now able to"", 'start': 78.59, 'duration': 5.34}, {'text': 'see all of your messages and with a', 'start': 80.93, 'duration': 5.13}, {'text': 'simple swipe you can jump right into the', 'start': 83.93, 'duration': 5.33}, {'text': ""app so it's sent the notification"", 'start': 86.06, 'duration': 5.34}, {'text': 'magazine and newspaper publishers and', 'start': 89.26, 'duration': 4.84}, {'text': 'their readers have fallen in love with', 'start': 91.4, 'duration': 5.1}, {'text': ""the iPad and so we're adding new stand"", 'start': 94.1, 'duration': 4.77}, {'text': 'your subscriptions will be in one place', 'start': 96.5, 'duration': 5.159}, {'text': 'and updated automatically so you always', 'start': 98.87, 'duration': 5.91}, {'text': ""have the latest issue and we've"", 'start': 101.659, 'duration': 5.101}, {'text': 'integrated the newspaper magazine store', 'start': 104.78, 'duration': 5.16}, {'text': 'right into newsstand we also have a', 'start': 106.76, 'duration': 5.219}, {'text': 'great new reminders app that helps you', 'start': 109.94, 'duration': 4.8}, {'text': 'manage tasks and keep on top of all the', 'start': 111.979, 'duration': 5.371}, {'text': 'things you have to do it syncs with ical', 'start': 114.74, 'duration': 4.86}, {'text': 'and outlook across all of your iOS', 'start': 117.35, 'duration': 4.62}, {'text': 'devices and it even includes', 'start': 119.6, 'duration': 5.07}, {'text': 'location-based reminders so can remind', 'start': 121.97, 'duration': 4.439}, {'text': 'you to do something when you arrive at a', 'start': 124.67, 'duration': 4.959}, {'text': 'destination or when you leave somewhere', 'start': 126.409, 'duration': 6.47}, {'text': ""with iOS 5 we've integrated Twitter"", 'start': 129.629, 'duration': 6.071}, {'text': 'right into BOS you will only need to', 'start': 132.879, 'duration': 4.92}, {'text': 'sign once for all of your Twitter', 'start': 135.7, 'duration': 5.129}, {'text': 'enabled apps and you can tweet directly', 'start': 137.799, 'duration': 7.011}, {'text': 'from photos safari YouTube and maps and', 'start': 140.829, 'duration': 6.63}, {'text': 'with the tap of Buffy you can optionally', 'start': 144.81, 'duration': 6.19}, {'text': 'add your location when the original', 'start': 147.459, 'duration': 6.39}, {'text': 'iphone shipped it revolutionized mobile', 'start': 151.0, 'duration': 5.129}, {'text': 'web browsing safari was the first', 'start': 153.849, 'duration': 4.95}, {'text': 'full-featured web browser that people', 'start': 156.129, 'duration': 4.261}, {'text': ""could take with them and now it's even"", 'start': 158.799, 'duration': 4.851}, {'text': 'faster and more impressive reader is', 'start': 160.39, 'duration': 6.39}, {'text': 'phenomenal leader gets all the clutter', 'start': 163.65, 'duration': 6.07}, {'text': 'out of the way sets the font size right', 'start': 166.78, 'duration': 4.98}, {'text': 'you just read through scrolling through', 'start': 169.72, 'duration': 4.98}, {'text': 'the story reading list lets you save', 'start': 171.76, 'duration': 5.91}, {'text': 'articles to read later on and it', 'start': 174.7, 'duration': 5.039}, {'text': 'automatically shows up on all your iOS', 'start': 177.67, 'duration': 6.75}, {'text': ""devices and with tab browsing it's easy"", 'start': 179.739, 'duration': 6.72}, {'text': 'to quickly flip between multiple web', 'start': 184.42, 'duration': 6.84}, {'text': ""pages there's an old saying that the"", 'start': 186.459, 'duration': 6.951}, {'text': 'best camera is the one you have with you', 'start': 191.26, 'duration': 5.61}, {'text': 'with iOS 5 you have immediate access to', 'start': 193.41, 'duration': 4.87}, {'text': 'the camera right from the lock screen', 'start': 196.87, 'duration': 4.769}, {'text': 'and you can use the volume button to', 'start': 198.28, 'duration': 6.239}, {'text': 'snap your photo we also added photo', 'start': 201.639, 'duration': 5.041}, {'text': 'editing so you can use one tap enhance', 'start': 204.519, 'duration': 5.731}, {'text': 'red eye reduction and cropping right on', 'start': 206.68, 'duration': 5.929}, {'text': 'the device', 'start': 210.25, 'duration': 2.359}, {'text': 'there are some really cool new features', 'start': 212.85, 'duration': 5.3}, {'text': 'in mail like rich text editing and', 'start': 214.98, 'duration': 6.36}, {'text': ""there's even a new system wide split"", 'start': 218.15, 'duration': 7.53}, {'text': 'keyboard to make it even easier to type', 'start': 221.34, 'duration': 4.34}, {'text': 'with AirPlay Mirroring you can share', 'start': 227.27, 'duration': 6.16}, {'text': 'everything you do on your iPad to write', 'start': 230.22, 'duration': 5.91}, {'text': 'off on your big widescreen TV you can', 'start': 233.43, 'duration': 5.73}, {'text': 'play video games look at photos videos', 'start': 236.13, 'duration': 5.88}, {'text': 'and surf the web and all of it is shared', 'start': 239.16, 'duration': 5.16}, {'text': 'with everyone around you watching the', 'start': 242.01, 'duration': 5.55}, {'text': 'television it responds to portrait and', 'start': 244.32, 'duration': 6.54}, {'text': 'landscape rotations to every pinch swipe', 'start': 247.56, 'duration': 6.15}, {'text': ""and zoom and best of all you don't need"", 'start': 250.86, 'duration': 7.05}, {'text': ""a cable you're free to move iOS is the"", 'start': 253.71, 'duration': 6.96}, {'text': ""world's most popular gaming platform or"", 'start': 257.91, 'duration': 5.22}, {'text': 'making game center even better you can', 'start': 260.67, 'duration': 5.1}, {'text': ""now add photos to your profile we've"", 'start': 263.13, 'duration': 4.14}, {'text': 'made it easier to find new gaming', 'start': 265.77, 'duration': 4.53}, {'text': 'friends and you can even purchase new', 'start': 267.27, 'duration': 4.98}, {'text': 'games right from within the game center', 'start': 270.3, 'duration': 7.89}, {'text': 'app texting has become the way a lot of', 'start': 272.25, 'duration': 9.27}, {'text': 'people stay in touch now I message', 'start': 278.19, 'duration': 5.37}, {'text': 'provides an easy way to send text', 'start': 281.52, 'duration': 4.29}, {'text': 'messages photos and videos between', 'start': 283.56, 'duration': 7.22}, {'text': 'iphone ipad and ipod touch users', 'start': 285.81, 'duration': 4.97}, {'text': 'with iOS 5 you no longer have to plug', 'start': 291.63, 'duration': 5.82}, {'text': 'into your computer to backup and sync to', 'start': 294.45, 'duration': 5.31}, {'text': 'itunes all you have to do is plug into', 'start': 297.45, 'duration': 5.1}, {'text': 'power within range your Mac or PC Wi-Fi', 'start': 299.76, 'duration': 5.49}, {'text': 'sync automatically backs up and syncs', 'start': 302.55, 'duration': 5.4}, {'text': 'your iPhone iPad and iPod touch to your', 'start': 305.25, 'duration': 7.59}, {'text': ""iTunes library it's that simple it's now"", 'start': 307.95, 'duration': 8.43}, {'text': 'possible to buy an ipad and iphone or', 'start': 312.84, 'duration': 7.47}, {'text': 'ipod touch and never own a computer you', 'start': 316.38, 'duration': 6.36}, {'text': 'can set up your device right out of the', 'start': 320.31, 'duration': 4.5}, {'text': 'box without ever connecting to a Mac or', 'start': 322.74, 'duration': 8.1}, {'text': 'PC we looked in every corner of the OS', 'start': 324.81, 'duration': 8.46}, {'text': 'and asked ourselves how can we make this', 'start': 330.84, 'duration': 6.06}, {'text': 'better and so this is the widest most', 'start': 333.27, 'duration': 7.37}, {'text': 'extensive software update ever violence', 'start': 336.9, 'duration': 6.45}, {'text': 'there is a feature for everyone out', 'start': 340.64, 'duration': 4.86}, {'text': 'there', 'start': 343.35, 'duration': 2.15}]"
Oleq,CRcEHdE4X0s,[434],
VNeq,1m4CNsPa9Zg,"[3, 4, 6, 54]",
tYeq,1wTJn9i-zFc,"[5, 218]",
1ueq,hOY_--Oj9Qg,"[6, 8, 206]",
ZYeq,wh6yyJS3oPI,"[2, 76, 281]",
7Beq,3lOLN_d5z5g,"[2, 7, 17, 464, 1995]",
l7eq,5BPfiixd2XU,"[3, 4, 6, 10, 13]",
dUeq,5CNl0ZeWoKM,"[141, 746, 1289]",
J3eq,pIYh881K7jE,[71],
LXeq,UU5DWDWVX6k,"[21, 23, 24]","[{'text': 'hey everybody gonna do another video', 'start': 18.58, 'duration': 6.039}, {'text': 'here with my HTC incredible this is the', 'start': 21.38, 'duration': 6.72}, {'text': 'same phone I tested out the Android apps', 'start': 24.619, 'duration': 6.831}, {'text': 'machine II and to speak to it assistant', 'start': 28.1, 'duration': 5.55}, {'text': ""today what I'm going to show you is a"", 'start': 31.45, 'duration': 4.09}, {'text': 'common problem that I found on the', 'start': 33.65, 'duration': 4.17}, {'text': ""internet that I've been having for a"", 'start': 35.54, 'duration': 3.93}, {'text': 'long time and that a lot of people have', 'start': 37.82, 'duration': 5.1}, {'text': ""with this HTC incredible phone it's a"", 'start': 39.47, 'duration': 5.01}, {'text': 'very cool phone it does a lot of stuff', 'start': 42.92, 'duration': 3.3}, {'text': 'and it has a lot of memory but for some', 'start': 44.48, 'duration': 3.929}, {'text': 'reason the way that the memory is', 'start': 46.22, 'duration': 5.58}, {'text': 'partitioned in the phone makes it so', 'start': 48.409, 'duration': 5.701}, {'text': 'that if you download not even a', 'start': 51.8, 'duration': 4.77}, {'text': 'tremendous number of apps just just a', 'start': 54.11, 'duration': 4.68}, {'text': ""good number of apps you'll start seeing"", 'start': 56.57, 'duration': 4.169}, {'text': 'this message here phone storage space is', 'start': 58.79, 'duration': 5.339}, {'text': 'getting low and when you click on it you', 'start': 60.739, 'duration': 5.371}, {'text': ""can see there's some of my apps right"", 'start': 64.129, 'duration': 4.141}, {'text': 'there but what about say is it says', 'start': 66.11, 'duration': 9.09}, {'text': 'internal storage 355 megabits used 380', 'start': 68.27, 'duration': 11.34}, {'text': 'megabits free now the phone has several', 'start': 75.2, 'duration': 8.04}, {'text': 'gigs worth of memory and I also have a 8', 'start': 79.61, 'duration': 6.84}, {'text': 'gig SD card in it that has a lot of the', 'start': 83.24, 'duration': 6.75}, {'text': ""apps actually on that so it doesn't make"", 'start': 86.45, 'duration': 5.879}, {'text': ""any sense to me and doesn't make any"", 'start': 89.99, 'duration': 3.6}, {'text': 'sense to a lot of people on the internet', 'start': 92.329, 'duration': 4.68}, {'text': 'about why this phone does that but why', 'start': 93.59, 'duration': 5.849}, {'text': 'it has this um this internal storage', 'start': 97.009, 'duration': 5.85}, {'text': 'thing this warning in phone storage', 'start': 99.439, 'duration': 5.161}, {'text': ""space getting low doesn't understand why"", 'start': 102.859, 'duration': 3.781}, {'text': 'that happening happens it never goes', 'start': 104.6, 'duration': 5.519}, {'text': 'away and eventually will actually start', 'start': 106.64, 'duration': 5.339}, {'text': 'making your phone run slow and so what I', 'start': 110.119, 'duration': 3.99}, {'text': ""found there's been a lot of different"", 'start': 111.979, 'duration': 5.43}, {'text': ""fixes that I've tried originally when"", 'start': 114.109, 'duration': 6.601}, {'text': 'the new Gingerbread came out of the', 'start': 117.409, 'duration': 5.371}, {'text': 'Gingerbread update over-the-air I got', 'start': 120.71, 'duration': 4.619}, {'text': 'that app I got the update and then I', 'start': 122.78, 'duration': 4.379}, {'text': 'actually had to reset my phone because I', 'start': 125.329, 'duration': 5.551}, {'text': 'was running so slow so I completely', 'start': 127.159, 'duration': 5.281}, {'text': 'reset it which was for the first the', 'start': 130.88, 'duration': 3.03}, {'text': 'first time I did that and then I got the', 'start': 132.44, 'duration': 5.07}, {'text': 'Gingerbread update again and the phone', 'start': 133.91, 'duration': 6.33}, {'text': 'storage space getting low warning', 'start': 137.51, 'duration': 5.21}, {'text': 'finally went away and I thought that was', 'start': 140.24, 'duration': 4.92}, {'text': ""gonna solve the problem but it didn't it"", 'start': 142.72, 'duration': 4.63}, {'text': 'started coming back and so what I found', 'start': 145.16, 'duration': 4.22}, {'text': 'is that if you', 'start': 147.35, 'duration': 5.75}, {'text': 'can get your internal storage so that', 'start': 149.38, 'duration': 6.51}, {'text': 'you have more than 500 megabits free you', 'start': 153.1, 'duration': 6.36}, {'text': ""can't really see it too good in the"", 'start': 155.89, 'duration': 6.93}, {'text': 'video but this part over here this it', 'start': 159.46, 'duration': 5.43}, {'text': 'should say more than 500 400 megabits', 'start': 162.82, 'duration': 5.28}, {'text': ""free so what I'm going to do is I'm"", 'start': 164.89, 'duration': 7.65}, {'text': ""gonna delete some apps so I'm gonna"", 'start': 168.1, 'duration': 6.12}, {'text': ""uninstall them or I'm gonna move them"", 'start': 172.54, 'duration': 7.47}, {'text': 'over to the SD card to try to get it', 'start': 174.22, 'duration': 16.62}, {'text': ""above 400 and then it should go away I'm"", 'start': 180.01, 'duration': 13.79}, {'text': 'not sure why this happens like I said', 'start': 190.84, 'duration': 5.52}, {'text': ""it's been it happens to a lot of people"", 'start': 193.8, 'duration': 4.86}, {'text': ""I've found a lot of message boards"", 'start': 196.36, 'duration': 5.52}, {'text': 'talking about it nobody really knows why', 'start': 198.66, 'duration': 6.52}, {'text': 'the memory storage is partitioned that', 'start': 201.88, 'duration': 7.79}, {'text': 'way but it is', 'start': 205.18, 'duration': 4.49}, {'text': ""I mean you don't even have to have a"", 'start': 215.47, 'duration': 4.68}, {'text': ""tremendous number of apps it's just for"", 'start': 217.66, 'duration': 4.65}, {'text': 'whatever reason the minute you get to', 'start': 220.15, 'duration': 4.08}, {'text': 'about halfway full on your internal', 'start': 222.31, 'duration': 4.23}, {'text': ""storage it's it starts to come up and"", 'start': 224.23, 'duration': 4.41}, {'text': ""it's not like I have hundreds of apps"", 'start': 226.54, 'duration': 3.87}, {'text': ""because I really don't and most of the"", 'start': 228.64, 'duration': 4.26}, {'text': ""ones I use I mean what's the ones I have"", 'start': 230.41, 'duration': 7.95}, {'text': ""I actually use so I don't understand why"", 'start': 232.9, 'duration': 6.75}, {'text': 'it does this so what I normally try to', 'start': 238.36, 'duration': 3.87}, {'text': 'do is when this happens I just really go', 'start': 239.65, 'duration': 6.63}, {'text': 'through and delete the apps that I', 'start': 242.23, 'duration': 7.02}, {'text': ""really haven't used a long time which if"", 'start': 246.28, 'duration': 4.59}, {'text': ""we're honest I mean come on we don't"", 'start': 249.25, 'duration': 3.56}, {'text': 'really use that many apps all the time', 'start': 250.87, 'duration': 6.06}, {'text': ""but all right right now I'm actually"", 'start': 252.81, 'duration': 7.06}, {'text': 'slightly above 400 megabits and the', 'start': 256.93, 'duration': 5.61}, {'text': 'phone storage warning is still there so', 'start': 259.87, 'duration': 11.19}, {'text': 'we will delete a couple more and the', 'start': 262.54, 'duration': 10.26}, {'text': 'other thing is like I said most of a lot', 'start': 271.06, 'duration': 3.39}, {'text': 'of apps especially the big ones are', 'start': 272.8, 'duration': 6.06}, {'text': 'actually on my SD card so it really', 'start': 274.45, 'duration': 8.28}, {'text': ""doesn't make any sense what is taking up"", 'start': 278.86, 'duration': 5.67}, {'text': 'all the room all right okay so just went', 'start': 282.73, 'duration': 4.26}, {'text': 'away and now it says I have internal', 'start': 284.53, 'duration': 6.63}, {'text': 'storage 330 megabytes used 403 megabits', 'start': 286.99, 'duration': 8.55}, {'text': 'free so you know you can see up here at', 'start': 291.16, 'duration': 7.64}, {'text': 'the top that the warning went away and', 'start': 295.54, 'duration': 8.48}, {'text': ""it's no longer in the task thing so"", 'start': 298.8, 'duration': 8.619}, {'text': ""anyway it's not really a perfect fix"", 'start': 304.02, 'duration': 5.41}, {'text': 'because it will come back if you', 'start': 307.419, 'duration': 4.741}, {'text': ""download a couple of apps and it's"", 'start': 309.43, 'duration': 4.29}, {'text': 'pretty frustrating for people who have', 'start': 312.16, 'duration': 2.79}, {'text': ""this phone and they don't want to get"", 'start': 313.72, 'duration': 2.58}, {'text': 'rid of it I mean I really like the phone', 'start': 314.95, 'duration': 3.81}, {'text': ""it does a lot of cool stuff it's a lot"", 'start': 316.3, 'duration': 6.51}, {'text': 'like an iPhone in a lot of ways I mean I', 'start': 318.76, 'duration': 5.7}, {'text': 'have music on here and you can actually', 'start': 322.81, 'duration': 3.84}, {'text': 'using this doubleTwist', 'start': 324.46, 'duration': 4.17}, {'text': 'app you can actually put music on your', 'start': 326.65, 'duration': 3.81}, {'text': 'phone wirelessly which is pretty cool', 'start': 328.63, 'duration': 7.59}, {'text': 'but because of this this this warning', 'start': 330.46, 'duration': 7.35}, {'text': 'that keeps popping up and it will make', 'start': 336.22, 'duration': 4.86}, {'text': 'your phone run really slow if you ignore', 'start': 337.81, 'duration': 5.46}, {'text': 'it it tends to be frustrating for a lot', 'start': 341.08, 'duration': 3.99}, {'text': 'of people but hopefully this helped some', 'start': 343.27, 'duration': 3.48}, {'text': 'people understand what they might be', 'start': 345.07, 'duration': 3.2}, {'text': 'able to do to make it', 'start': 346.75, 'duration': 5.24}, {'text': 'away and stay away so yeah I like', 'start': 348.27, 'duration': 5.31}, {'text': 'talking about technology I like talking', 'start': 351.99, 'duration': 4.59}, {'text': 'about TV shows and movies and comic', 'start': 353.58, 'duration': 3.39}, {'text': 'books', 'start': 356.58, 'duration': 3.99}, {'text': 'so if you want to email me or message me', 'start': 356.97, 'duration': 6.0}, {'text': ""on here about that I'd love to talk to"", 'start': 360.57, 'duration': 5.96}, {'text': 'you okay thanks bye', 'start': 362.97, 'duration': 3.56}, {'text': 'thank you for listening everybody you', 'start': 371.08, 'duration': 5.45}, {'text': 'can find me on Twitter at PLA and E is', 'start': 373.03, 'duration': 6.5}, {'text': 'thanks', 'start': 376.53, 'duration': 3.0}]"
