Bjma,NFd1VBYIEM4,[7],
SXdl,uRoDqmGfVUo,"[74, 187, 461, 498, 1325, 2100]","[{'text': 'this video shows how to replace a', 'start': 1.62, 'duration': 6.62}, {'text': 'cartridge in your HP Photosmart printer', 'start': 3.96, 'duration': 4.28}, {'text': 'to begin turn the printer on by pressing', 'start': 8.87, 'duration': 5.87}, {'text': 'the power button', 'start': 11.93, 'duration': 2.81}, {'text': 'next open the cartridge access door', 'start': 15.139, 'duration': 4.951}, {'text': 'the carriage will move into the access', 'start': 18.17, 'duration': 4.64}, {'text': 'area allow the carriage to stop moving', 'start': 20.09, 'duration': 5.43}, {'text': 'then find the cartridge you want to', 'start': 22.81, 'duration': 5.08}, {'text': 'replace and press inward on the tab on', 'start': 25.52, 'duration': 3.96}, {'text': 'the front of the cartridge to release it', 'start': 27.89, 'duration': 4.11}, {'text': 'lift the cartridge out to remove it from', 'start': 29.48, 'duration': 4.22}, {'text': 'the slot and set it aside', 'start': 32.0, 'duration': 4.17}, {'text': 'for information about recycling your', 'start': 33.7, 'duration': 5.94}, {'text': 'used HP cartridges visit', 'start': 36.17, 'duration': 3.47}, {'text': 'www.hp.com/recycle now take the new', 'start': 42.129, 'duration': 7.231}, {'text': 'cartridge out of its package', 'start': 46.25, 'duration': 3.11}, {'text': 'pull the tab from the new cartridge to', 'start': 53.77, 'duration': 5.23}, {'text': 'remove the plastic wrap', 'start': 56.14, 'duration': 5.02}, {'text': 'it is very important that you use the', 'start': 59.0, 'duration': 5.309}, {'text': 'pull tab to remove the plastic this will', 'start': 61.16, 'duration': 5.46}, {'text': 'properly expose the vent slot in the top', 'start': 64.309, 'duration': 4.88}, {'text': 'of the cartridge', 'start': 66.62, 'duration': 4.76}, {'text': 'twist the orange cap on the bottom of', 'start': 69.189, 'duration': 4.5}, {'text': 'the cartridge counterclockwise to remove', 'start': 71.38, 'duration': 4.979}, {'text': 'it significant force might be required', 'start': 73.689, 'duration': 5.46}, {'text': 'to remove the cap when handling the', 'start': 76.359, 'duration': 4.26}, {'text': 'cartridge be aware of the electrical', 'start': 79.149, 'duration': 4.31}, {'text': 'contacts and ink port', 'start': 80.619, 'duration': 5.761}, {'text': 'be careful not to touch the contacts or', 'start': 83.459, 'duration': 5.23}, {'text': 'port because touching these can cause', 'start': 86.38, 'duration': 5.04}, {'text': 'clogs ink failure and poor electrical', 'start': 88.689, 'duration': 3.86}, {'text': 'connections', 'start': 91.42, 'duration': 3.629}, {'text': 'hold the cartridge so that the ink port', 'start': 92.549, 'duration': 4.96}, {'text': 'faces down and slide it directly into', 'start': 95.049, 'duration': 5.16}, {'text': 'the open slot push the cartridge down', 'start': 97.509, 'duration': 5.7}, {'text': 'until it latches into place make sure', 'start': 100.209, 'duration': 4.651}, {'text': 'you install the cartridges in the', 'start': 103.209, 'duration': 4.2}, {'text': 'correct slots match the color and symbol', 'start': 104.86, 'duration': 4.5}, {'text': 'on the cartridge to the color and symbol', 'start': 107.409, 'duration': 4.651}, {'text': 'on the printer when the cartridge is', 'start': 109.36, 'duration': 4.56}, {'text': 'installed close the cartridge access', 'start': 112.06, 'duration': 4.129}, {'text': 'door', 'start': 113.92, 'duration': 2.269}, {'text': 'a message will display on the printers', 'start': 116.39, 'duration': 4.11}, {'text': 'control panel stating that you have', 'start': 118.7, 'duration': 4.5}, {'text': 'installed a new genuine HP ink cartridge', 'start': 120.5, 'duration': 6.96}, {'text': 'press ok to clear the message the', 'start': 123.2, 'duration': 6.77}, {'text': 'printer is now ready for regular use you', 'start': 127.46, 'duration': 4.92}, {'text': 'can find additional helpful videos at', 'start': 129.97, 'duration': 8.38}, {'text': 'hp.com/supportvideos and on our youtube', 'start': 132.38, 'duration': 10.2}, {'text': 'channel youtube.com forward slash HP', 'start': 138.35, 'duration': 7.07}, {'text': 'printer support', 'start': 142.58, 'duration': 2.84}]"
FGdl,sjHThAHzvos,"[6, 8]",
ARdl,,[1019],
lFdl,gDkJh3U_EaU,[5],
QPdl,25ixlzmbomA,"[195, 895]",
UCdl,argnZTaCtYo,"[15, 18, 87]",
9Sdl,b4pX04OscUk,"[3, 3412]",
77dl,zH4fMbx6KeU,"[2, 7, 197]",
5Gdl,zKJQNK0uJyY,"[2, 7, 165]","[{'text': 'so doing that transmission service here', 'start': 0.149, 'duration': 4.681}, {'text': 'on 2003 Ford f-150', 'start': 2.399, 'duration': 5.731}, {'text': 'very basic get your drain van set up', 'start': 4.83, 'duration': 7.38}, {'text': 'here got ten millimeter bolts loosen all', 'start': 8.13, 'duration': 7.799}, {'text': 'the bolts take the bolts out and drain', 'start': 12.21, 'duration': 6.329}, {'text': 'the fluid out might be a little messy be', 'start': 15.929, 'duration': 5.401}, {'text': 'careful and you want to take your filter', 'start': 18.539, 'duration': 12.06}, {'text': 'out right here filter an o-ring what you', 'start': 21.33, 'duration': 10.619}, {'text': 'want to be careful of is right there', 'start': 30.599, 'duration': 5.881}, {'text': 'make sure that bolt head fits in the', 'start': 31.949, 'duration': 10.171}, {'text': 'notch in the transmission filter because', 'start': 36.48, 'duration': 7.34}, {'text': 'you can get the filter cockeyed', 'start': 42.12, 'duration': 4.98}, {'text': ""like this and it won't go up all the way"", 'start': 43.82, 'duration': 6.91}, {'text': ""so you want to make sure it's set so"", 'start': 47.1, 'duration': 10.04}, {'text': 'that bolt head can fit into the filter', 'start': 50.73, 'duration': 6.41}, {'text': ""here's the old filter"", 'start': 61.85, 'duration': 5.13}, {'text': ""can't see it on the camera but there's"", 'start': 65.15, 'duration': 3.8}, {'text': 'an indentation or a notch', 'start': 66.98, 'duration': 5.84}, {'text': 'on there', 'start': 68.95, 'duration': 3.87}, {'text': 'to see the bolt head was actually', 'start': 77.509, 'duration': 6.881}, {'text': 'sitting right there I was hitting the', 'start': 79.5, 'duration': 7.259}, {'text': 'top so this was not as high as it could', 'start': 84.39, 'duration': 7.92}, {'text': ""be and there is a whole ring huh that's"", 'start': 86.759, 'duration': 6.93}, {'text': 'it son here you need to take that off', 'start': 92.31, 'duration': 7.169}, {'text': 'right there your new one will come with', 'start': 93.689, 'duration': 8.581}, {'text': 'a new gasket that fits inside the hole', 'start': 99.479, 'duration': 5.791}, {'text': 'there so basically this video is not', 'start': 102.27, 'duration': 4.98}, {'text': 'about a transmission service so much as', 'start': 105.27, 'duration': 5.4}, {'text': 'making sure that gap making sure that', 'start': 107.25, 'duration': 6.929}, {'text': 'filter is set in the right spot because', 'start': 110.67, 'duration': 5.039}, {'text': 'I believe this truck was leaking out the', 'start': 114.179, 'duration': 5.041}, {'text': 'transmission filter this truck was', 'start': 115.709, 'duration': 5.34}, {'text': 'leaking out the transmission pan gasket', 'start': 119.22, 'duration': 4.349}, {'text': 'because of the filter was keeping it', 'start': 121.049, 'duration': 4.38}, {'text': 'from being bolted up all the way even', 'start': 123.569, 'duration': 4.171}, {'text': ""though the bolts were tight it's my"", 'start': 125.429, 'duration': 5.851}, {'text': 'theory I did not see any leaks so I hope', 'start': 127.74, 'duration': 5.579}, {'text': ""this helps you a little bit when you're"", 'start': 131.28, 'duration': 5.64}, {'text': 'doing your transmission fluid change on', 'start': 133.319, 'duration': 7.071}, {'text': 'your Ford f-150', 'start': 136.92, 'duration': 3.47}]"
93dl,zUklIMomxkI,"[15, 509, 1183, 2082, 2106]",
Zbdl,ixf3dM4HDUg,"[3, 6]",
00dl,5Fh-Qi-Hwso,"[0, 21, 23, 24, 73, 209, 288, 322]",
dGdl,5S8Wdet_xAM,[14],
B2dl,3KyHiZHhhBY,"[5, 649]",
XRdl,3S_0ojO3bGc,[5],
hwdl,3Ttm8LT-eUo,"[0, 705]",
qudl,3UNUIH92Ej4,"[205, 598]",
Mxdl,TGFgLbcQoIU,"[3, 4, 13, 28, 33, 38, 54]",
Jzdl,QU7RUlC21Pk,"[2, 522]","[{'text': ""okay let's go to the elevator at thirty"", 'start': 0.03, 'duration': 3.599}, {'text': 'four eighty even went drive in', 'start': 2.22, 'duration': 3.98}, {'text': 'mississauga', 'start': 3.629, 'duration': 2.571}, {'text': 'push my button well first go up stand', 'start': 9.39, 'duration': 7.01}, {'text': 'down', 'start': 15.18, 'duration': 4.7}, {'text': 'which one will it be', 'start': 16.4, 'duration': 3.48}, {'text': ""yeah oh yeah we didn't French years"", 'start': 28.68, 'duration': 9.14}, {'text': 'which give me that no bitter a oh yeah', 'start': 33.41, 'duration': 4.41}, {'text': 'okay here it is', 'start': 47.66, 'duration': 3.78}, {'text': 'going up to see ya', 'start': 51.87, 'duration': 12.45}, {'text': 'first we go to eight', 'start': 60.66, 'duration': 3.66}, {'text': 'nice elevator', 'start': 74.18, 'duration': 5.87}, {'text': 'horn elevator buzzes 12 people are there', 'start': 76.42, 'duration': 6.47}, {'text': 'in 20 kilograms', 'start': 80.05, 'duration': 2.84}, {'text': 'everyone', 'start': 86.61, 'duration': 3.0}, {'text': ""first we're going to you because they"", 'start': 101.869, 'duration': 6.871}, {'text': 'press that button No', 'start': 103.92, 'duration': 4.82}, {'text': 'Hey', 'start': 112.8, 'duration': 3.0}, {'text': 'there you go accelerates pretty quickly', 'start': 117.369, 'duration': 9.46}, {'text': 'can you hear the motor is just hopefully', 'start': 121.119, 'duration': 8.64}, {'text': 'get to the bottom', 'start': 126.829, 'duration': 2.93}, {'text': '2,000 pounds capacity horn elevator', 'start': 135.409, 'duration': 5.7}, {'text': ""going to eight I'll stop the video right"", 'start': 138.439, 'duration': 5.03}, {'text': 'there', 'start': 141.109, 'duration': 2.36}, {'text': 'hurry alright number eight there you go', 'start': 145.42, 'duration': 6.8}]"
q7dl,QURW6cBYZY4,"[3, 4, 6, 13]",
mqdl,QWFIUz9TLd8,"[15, 789]",
6Fdl,yqvPejUqA4U,[1010],
Dsdl,yrPPo8CAtLk,"[1542, 3398]",
F4dl,yroHhsQGo_M,"[0, 63]",
0ldl,i6KWN3jM5NI,[3],
yxdl,iMByQLt_h5I,[251],
QSdl,8xmklpbi7Qw,"[146, 158, 279, 439, 454]",
QIdl,93nBgHR-6mk,"[4, 9, 10, 34, 37]","[{'text': ""hello I'm Tom Bradfield and I worked at"", 'start': 16.95, 'duration': 12.28}, {'text': ""Gibson's starting in 1963 until 1980 I"", 'start': 20.98, 'duration': 12.8}, {'text': 'was a final adjusted final inspector and', 'start': 29.23, 'duration': 7.169}, {'text': 'worked with several of the stars that', 'start': 33.78, 'duration': 6.52}, {'text': 'found through usually they would have a', 'start': 36.399, 'duration': 5.791}, {'text': ""concert at the Lange stadium and they'd"", 'start': 40.3, 'duration': 4.8}, {'text': ""want to see the Gibson plan so that's"", 'start': 42.19, 'duration': 5.549}, {'text': 'where a chance to meet love become', 'start': 45.1, 'duration': 5.49}, {'text': 'pretty good friends with BB King', 'start': 47.739, 'duration': 7.861}, {'text': 'Billy Gibbons of ZZ Top the small Peter', 'start': 50.59, 'duration': 9.24}, {'text': 'Frampton as soon as I started working at', 'start': 55.6, 'duration': 6.54}, {'text': ""Gibson's and learning something about"", 'start': 59.83, 'duration': 4.08}, {'text': 'the guitar I would start helping my', 'start': 62.14, 'duration': 6.24}, {'text': 'friends out by simple straightening of', 'start': 63.91, 'duration': 8.069}, {'text': 'the neck herbs resetting the action to', 'start': 68.38, 'duration': 6.75}, {'text': ""make it play better and it's just"", 'start': 71.979, 'duration': 9.961}, {'text': 'involved for evolved into almost', 'start': 75.13, 'duration': 10.26}, {'text': ""full-time job I've had this workshop"", 'start': 81.94, 'duration': 7.25}, {'text': 'going for about 45 years now', 'start': 85.39, 'duration': 10.73}, {'text': 'I look back on my experience as real', 'start': 89.19, 'duration': 10.16}, {'text': ""learning experience it's really exciting"", 'start': 96.12, 'duration': 5.7}, {'text': 'meeting the stars but not only that', 'start': 99.35, 'duration': 6.31}, {'text': 'being a player and learning how to set', 'start': 101.82, 'duration': 5.49}, {'text': 'up these instruments and make them play', 'start': 105.66, 'duration': 5.7}, {'text': 'better for the musicians find that very', 'start': 107.31, 'duration': 7.53}, {'text': 'rewarding it spends almost a passion of', 'start': 111.36, 'duration': 6.54}, {'text': 'mine rather than a job when I look back', 'start': 114.84, 'duration': 6.62}, {'text': ""on this learning experiences there's no"", 'start': 117.9, 'duration': 6.43}, {'text': 'no regrets', 'start': 121.46, 'duration': 4.1}, {'text': 'you know you always want to make more', 'start': 124.33, 'duration': 3.99}, {'text': 'money but I was very satisfied with', 'start': 125.56, 'duration': 5.29}, {'text': 'where I was at and what I was talking', 'start': 128.32, 'duration': 4.15}, {'text': 'what I was learning and getting', 'start': 130.85, 'duration': 5.51}, {'text': ""accomplished I wouldn't trade it for"", 'start': 132.47, 'duration': 6.33}, {'text': 'anything the experience have been really', 'start': 136.36, 'duration': 4.56}, {'text': 'valuable', 'start': 138.8, 'duration': 2.12}]"
wrdl,fNa2O72Upf0,"[4, 9, 10, 34]",
QQdl,,[195],
Lndl,rQEj_9IhJSo,[14],
fLdl,rS5f_z51Q60,"[0, 12]",
C4dl,R2n6hER3B88,"[53, 58, 228]",
zMdl,RHfb8_V7dv4,"[151, 228]",
LXdl,Em9HDo59sH4,[11],
WXdl,EpwmcRQXI2Y,"[66, 148, 253, 271]",
tcdl,Eqhf6UcGEWg,"[2, 7, 174]",
KCdl,Euu5hYY6WY0,[6],
4Fdl,EyyI8flwdsU,[14],
a2dl,NwduA8oyE34,"[6, 8]",
CFdl,Si6LYyxP5-Q,"[0, 1, 42, 223, 323]",
9Jdl,b9AaV6yujRM,"[71, 152, 849]","[{'text': 'Liz I vow to never stop falling in love', 'start': 3.47, 'duration': 7.6}, {'text': 'with you I vowed to believe our love is', 'start': 7.919, 'duration': 6.151}, {'text': 'a part of a team agree or disagree we do', 'start': 11.07, 'duration': 6.719}, {'text': 'it together in love I vow for you to', 'start': 14.07, 'duration': 6.209}, {'text': 'know how beautiful and genuine you', 'start': 17.789, 'duration': 6.061}, {'text': 'really are I vow to remember the first', 'start': 20.279, 'duration': 6.061}, {'text': 'time I saw you and fell in love with you', 'start': 23.85, 'duration': 5.099}, {'text': ""I'll never forget it I knew that you"", 'start': 26.34, 'duration': 6.629}, {'text': 'were my everything that little freckle', 'start': 28.949, 'duration': 7.171}, {'text': 'in the middle of your lip sealed the', 'start': 32.969, 'duration': 6.75}, {'text': 'deal with me it touched my heart and', 'start': 36.12, 'duration': 5.58}, {'text': ""every time I look at it I know you're"", 'start': 39.719, 'duration': 3.66}, {'text': 'the one', 'start': 41.7, 'duration': 6.019}, {'text': 'Liz I will always vow to love you', 'start': 43.379, 'duration': 4.34}, {'text': 'suckee we from the moment like mad we', 'start': 54.74, 'duration': 4.56}, {'text': 'both know we had something special', 'start': 57.66, 'duration': 4.11}, {'text': 'something undeniable and something not', 'start': 59.3, 'duration': 5.59}, {'text': ""everyone finds but we did maybe you've"", 'start': 61.77, 'duration': 4.77}, {'text': 'made me so happy since the first moment', 'start': 64.89, 'duration': 4.05}, {'text': ""we met there isn't anything in life that"", 'start': 66.54, 'duration': 5.16}, {'text': ""I can't imagine doing it though"", 'start': 68.94, 'duration': 5.01}, {'text': 'as I begin writing this I bet all of our', 'start': 71.7, 'duration': 3.66}, {'text': 'love letters we sent back and forth', 'start': 73.95, 'duration': 4.23}, {'text': ""while we're apart our CDs you made for"", 'start': 75.36, 'duration': 6.299}, {'text': 'me nothing has changed with us the only', 'start': 78.18, 'duration': 6.979}, {'text': 'few has always been so easy and so', 'start': 81.659, 'duration': 3.5}, {'text': ""what I'm most excited about is our first"", 'start': 91.34, 'duration': 4.459}, {'text': 'look and having Mimi be a part of it and', 'start': 93.469, 'duration': 6.381}, {'text': 'you know she was here today', 'start': 95.799, 'duration': 4.051}, {'text': ""I was the only one in Bucky's life that"", 'start': 103.79, 'duration': 6.96}, {'text': ""didn't know her and that's why it is so"", 'start': 106.72, 'duration': 5.92}, {'text': 'special and this is why I do say that', 'start': 110.75, 'duration': 4.56}, {'text': 'you know Mimi did this because it allows', 'start': 112.64, 'duration': 5.04}, {'text': 'her memory to stay alive you know', 'start': 115.31, 'duration': 5.31}, {'text': ""whether it's asking questions about her"", 'start': 117.68, 'duration': 4.89}, {'text': ""whether it's what was your favorite meal"", 'start': 120.62, 'duration': 4.77}, {'text': 'that she made or anything like that so', 'start': 122.57, 'duration': 4.74}, {'text': ""I'm really looking forward to our first"", 'start': 125.39, 'duration': 4.37}, {'text': 'look together', 'start': 127.31, 'duration': 2.45}, {'text': 'beautiful', 'start': 140.61, 'duration': 3.0}, {'text': 'wake up', 'start': 144.07, 'duration': 3.21}, {'text': ""this year she won't approve"", 'start': 150.01, 'duration': 6.38}, {'text': 'make me so happy you still give me', 'start': 165.08, 'duration': 3.42}, {'text': 'butterflies when I wait for you to come', 'start': 167.06, 'duration': 3.7}, {'text': 'home from work', 'start': 168.5, 'duration': 4.15}, {'text': ""you've always loved me no matter what"", 'start': 170.76, 'duration': 4.479}, {'text': 'comes our way and I promise to always', 'start': 172.65, 'duration': 4.63}, {'text': 'promised to never stop loving you for', 'start': 175.239, 'duration': 3.39}, {'text': 'the wonderful man you are and then', 'start': 177.28, 'duration': 3.72}, {'text': 'Manuel', 'start': 178.629, 'duration': 3.841}, {'text': 'promised to never change you and embrace', 'start': 181.0, 'duration': 4.39}, {'text': 'exactly who you are if', 'start': 182.47, 'duration': 5.74}, {'text': 'so much we were made for each other we', 'start': 185.39, 'duration': 4.679}, {'text': 'have a true love story it was faith that', 'start': 188.21, 'duration': 3.95}, {'text': ""we're together and I know Mimi did this"", 'start': 190.069, 'duration': 4.171}, {'text': 'cannot wait to spend the rest of our', 'start': 192.16, 'duration': 5.04}, {'text': 'lives together as one', 'start': 194.24, 'duration': 2.96}, {'text': 'Bucky I love you with all my heart and', 'start': 242.89, 'duration': 5.91}, {'text': 'you know that I wish nothing more for', 'start': 245.83, 'duration': 4.86}, {'text': 'you and I wish nothing but the best for', 'start': 248.8, 'duration': 4.68}, {'text': ""you I'm fortunate to have the pleasure"", 'start': 250.69, 'duration': 7.95}, {'text': 'of having you as my brother now it takes', 'start': 253.48, 'duration': 11.4}, {'text': 'a great woman to make a great man as you', 'start': 258.64, 'duration': 11.75}, {'text': 'found a great guy in Bucky I honestly', 'start': 264.88, 'duration': 8.07}, {'text': ""couldn't have a better brother-in-law"", 'start': 270.39, 'duration': 8.16}, {'text': ""you know I'm so glad she found you and"", 'start': 272.95, 'duration': 5.6}, {'text': ""I'm comes up I'm glad your birth family"", 'start': 280.36, 'duration': 7.1}, {'text': 'al-baqi please you did good', 'start': 283.479, 'duration': 3.981}, {'text': 'you', 'start': 295.35, 'duration': 2.06}]"
