Q7fR,1lXtW-413x8,"[5, 14]",
1Hes,erZTfezhN-Q,"[18, 67]","[{'text': 'I never thought I would be making such a', 'start': 4.07, 'duration': 6.18}, {'text': ""sad video but I'm here at my mama's"", 'start': 7.85, 'duration': 7.05}, {'text': 'house this is the view this is where the', 'start': 10.25, 'duration': 8.1}, {'text': 'dog Charlie he hangs out in the yard so', 'start': 14.9, 'duration': 9.44}, {'text': 'beautiful anyway charlie is dying and', 'start': 18.35, 'duration': 12.509}, {'text': ""it's a very sad day and and now he's on"", 'start': 24.34, 'duration': 9.28}, {'text': ""the back porch he's got this cancerous"", 'start': 30.859, 'duration': 6.121}, {'text': ""thing growth on his legs we've already"", 'start': 33.62, 'duration': 7.86}, {'text': 'had them removed twice and the vet said', 'start': 36.98, 'duration': 6.45}, {'text': ""you had to just let them he's going to"", 'start': 41.48, 'duration': 4.89}, {'text': ""die he's an old dog and so it's very sad"", 'start': 43.43, 'duration': 6.929}, {'text': 'but the thing is they break and they', 'start': 46.37, 'duration': 6.41}, {'text': 'opened and then he starts eating them', 'start': 50.359, 'duration': 9.331}, {'text': 'and so today my mama had to my mama had', 'start': 52.78, 'duration': 10.029}, {'text': 'to go out I figured I better come over', 'start': 59.69, 'duration': 4.65}, {'text': 'spend the day with her because she had', 'start': 62.809, 'duration': 5.401}, {'text': 'to go out and she had to dig his grave', 'start': 64.34, 'duration': 6.81}, {'text': ""and she was hoping that he wouldn't see"", 'start': 68.21, 'duration': 6.21}, {'text': 'you know and then she wondered why he', 'start': 71.15, 'duration': 5.009}, {'text': ""wasn't coming around because he always"", 'start': 74.42, 'duration': 3.69}, {'text': 'has to watch our every step she makes', 'start': 76.159, 'duration': 4.561}, {'text': 'and then she realized he was chewing the', 'start': 78.11, 'duration': 4.95}, {'text': 'bandage off that she put on to stop the', 'start': 80.72, 'duration': 4.37}, {'text': 'bleeding', 'start': 83.06, 'duration': 2.03}, {'text': 'I heard all of this on the phone and I', 'start': 85.4, 'duration': 4.71}, {'text': ""figure do you know what I've got to come"", 'start': 87.71, 'duration': 6.12}, {'text': 'and spend time with my mother and be', 'start': 90.11, 'duration': 5.73}, {'text': 'with her this tragic time and her', 'start': 93.83, 'duration': 3.9}, {'text': ""husband would be here but he's actually"", 'start': 95.84, 'duration': 5.67}, {'text': 'taking care he had to leave because his', 'start': 97.73, 'duration': 7.2}, {'text': 'mother is going to die really not a good', 'start': 101.51, 'duration': 5.76}, {'text': ""time i'm going to show you the whole"", 'start': 104.93, 'duration': 5.34}, {'text': 'that my mom dug think four and a half', 'start': 107.27, 'duration': 5.16}, {'text': ""feet is deep enough and it's right in an"", 'start': 110.27, 'duration': 5.28}, {'text': 'area where he likes to lay right outside', 'start': 112.43, 'duration': 7.64}, {'text': 'her window and then I will', 'start': 115.55, 'duration': 4.52}, {'text': ""put some antiseptic on the dog's leg and"", 'start': 120.65, 'duration': 5.61}, {'text': 'give him a kiss and lay him down give', 'start': 124.19, 'duration': 4.65}, {'text': 'another bed or another bone to go with', 'start': 126.26, 'duration': 8.45}, {'text': ""the four coating he's already had and"", 'start': 128.84, 'duration': 5.87}, {'text': 'long-billed above fingers in your', 'start': 136.61, 'duration': 15.31}, {'text': 'protected protected', 'start': 148.98, 'duration': 8.97}, {'text': ""she's going to look at the whole know"", 'start': 151.92, 'duration': 8.37}, {'text': 'what you need buddy you need a little', 'start': 157.95, 'duration': 4.86}, {'text': 'bit of more of that novacane on there', 'start': 160.29, 'duration': 7.02}, {'text': ""don't you let's see it's supposed to be"", 'start': 162.81, 'duration': 6.899}, {'text': ""good let's put some of that honey you"", 'start': 167.31, 'duration': 5.399}, {'text': ""like that before didn't you buddy yeah i"", 'start': 169.709, 'duration': 9.261}, {'text': ""love you i love you it's okay so awful i"", 'start': 172.709, 'duration': 9.421}, {'text': 'know we let me rub some more on you for', 'start': 178.97, 'duration': 6.4}, {'text': ""you know I shouldn't be taking pictures"", 'start': 182.13, 'duration': 5.49}, {'text': 'of 50 thought someone should have taped', 'start': 185.37, 'duration': 4.35}, {'text': ""that at all I was so sad look he's"", 'start': 187.62, 'duration': 4.949}, {'text': 'laying down now because I i gave him I', 'start': 189.72, 'duration': 6.599}, {'text': 'gave you good Thank You years I put that', 'start': 192.569, 'duration': 8.73}, {'text': ""cream on okay buddy you okay you're it"", 'start': 196.319, 'duration': 9.291}, {'text': 'such a good boy yeah', 'start': 201.299, 'duration': 4.311}, {'text': ""it's okay it's okay buddy love you just"", 'start': 207.44, 'duration': 13.59}, {'text': 'like to get rid of her what laughs like', 'start': 217.19, 'duration': 7.2}, {'text': 'a little bleach thing out here oh my God', 'start': 221.03, 'duration': 7.56}, {'text': 'look poor little guy is dripping blood', 'start': 224.39, 'duration': 12.93}, {'text': ""everywhere oh no where's my god where's"", 'start': 228.59, 'duration': 14.39}, {'text': '/ god okay okay', 'start': 237.32, 'duration': 5.66}, {'text': ""ok so now I'm going up to walk the"", 'start': 244.7, 'duration': 7.5}, {'text': 'square you up and he goes look at these', 'start': 250.129, 'duration': 6.33}, {'text': 'little stairs this we think is the best', 'start': 252.2, 'duration': 10.34}, {'text': 'place for him my mom took her for hours', 'start': 256.459, 'duration': 11.671}, {'text': 'and oh my god something fell down I hope', 'start': 262.54, 'duration': 8.11}, {'text': ""there's nothing in there oh my god the"", 'start': 268.13, 'duration': 6.36}, {'text': 'cat must have tried to get in there now', 'start': 270.65, 'duration': 6.05}, {'text': 'this is actually supposed to be covered', 'start': 274.49, 'duration': 5.34}, {'text': ""this is not good I don't have to get"", 'start': 276.7, 'duration': 7.12}, {'text': ""down in there this plastic I'm gonna"", 'start': 279.83, 'duration': 7.83}, {'text': 'leave the wood in there give it seal the', 'start': 283.82, 'duration': 7.53}, {'text': ""hole up cuz if it rains then it'll fill"", 'start': 287.66, 'duration': 7.02}, {'text': ""out the hole and it won't be deep enough"", 'start': 291.35, 'duration': 6.99}, {'text': ""so awful but you know what he's right"", 'start': 294.68, 'duration': 5.58}, {'text': ""under this beautiful tree and I'll show"", 'start': 298.34, 'duration': 3.68}, {'text': ""it to in a second as soon as that it's"", 'start': 300.26, 'duration': 5.61}, {'text': ""plastic it's just not right I know they"", 'start': 302.02, 'duration': 6.76}, {'text': ""say it's supposed to be normal but you"", 'start': 305.87, 'duration': 6.33}, {'text': 'know I just realizing trying to fix the', 'start': 308.78, 'duration': 10.639}, {'text': 'pot so fuck buddy anyway', 'start': 312.2, 'duration': 7.219}, {'text': ""I'm staying with my mom to me my"", 'start': 326.729, 'duration': 10.47}, {'text': ""daughter still this p'tree it will be"", 'start': 330.3, 'duration': 9.979}, {'text': 'above his grave', 'start': 337.199, 'duration': 3.08}, {'text': 'and', 'start': 341.71, 'duration': 5.499}, {'text': ""that's my mama window and that's where"", 'start': 343.409, 'duration': 6.09}, {'text': ""he'll be right there like he'll be"", 'start': 347.209, 'duration': 5.32}, {'text': ""watching over he'll be watching over the"", 'start': 349.499, 'duration': 6.12}, {'text': ""house he'll be right outside you know I"", 'start': 352.529, 'duration': 5.25}, {'text': 'figure they put the other dog in there', 'start': 355.619, 'duration': 8.66}, {'text': 'too anyway so sad day', 'start': 357.779, 'duration': 6.5}]"
9aes,_qSrySZ7ajo,[884],
jbes,_vSJnBkFzQs,"[5, 826]",
kMes,mXySHockZBo,[530],
P5es,MfU9buMx7ro,"[5, 14, 466, 2388]",
2Wes,MwFGMzmk8bI,[3],
xdes,Bh0wrEdi42c,"[2, 30, 55]",
JQes,RJBE9l9aWt0,"[2, 7, 17, 19, 48, 177, 448]",
L0es,RNsECVx6QBQ,[61],
ynes,,"[2, 7, 17, 19, 129]",
fkes,YsqO-YBtHfc,[3],
Rxes,xy1zHQZiDTc,"[25, 93, 102, 1193]",
Rves,y5E7_K-NHwo,"[0, 1, 42, 111]","[{'text': 'thank you very much Dash and there are', 'start': 0.0, 'duration': 3.84}, {'text': 'now only three weeks left of the summer', 'start': 1.68, 'duration': 3.9}, {'text': ""split so let's see how the teams are"", 'start': 3.84, 'duration': 4.65}, {'text': ""situated in the standings and first it's"", 'start': 5.58, 'duration': 5.729}, {'text': 'counter logic gaming and lmq in second', 'start': 8.49, 'duration': 4.89}, {'text': ""it's a tie for fourth with cloud nine"", 'start': 11.309, 'duration': 4.381}, {'text': ""and Dignitas men and six it's team curse"", 'start': 13.38, 'duration': 4.89}, {'text': 'and complexity are and seventh with evil', 'start': 15.69, 'duration': 4.71}, {'text': 'genius is sitting in eighth place the', 'start': 18.27, 'duration': 4.38}, {'text': 'standings tell half of the story but we', 'start': 20.4, 'duration': 3.629}, {'text': 'want to break down some of the big', 'start': 22.65, 'duration': 3.93}, {'text': 'playmakers this week without Obie 5', 'start': 24.029, 'duration': 4.981}, {'text': ""first it's Akram and he pulled out a"", 'start': 26.58, 'duration': 5.49}, {'text': 'sneaky trick to deal with a 2v1 out of', 'start': 29.01, 'duration': 5.37}, {'text': 'the bush it was effective as it was', 'start': 32.07, 'duration': 4.77}, {'text': 'simple Opie and the jungle is heads in', 'start': 34.38, 'duration': 5.01}, {'text': 'an 80 minute match he had one hunch', 'start': 36.84, 'duration': 5.7}, {'text': 'percent kill participation he added his', 'start': 39.39, 'duration': 5.7}, {'text': 'voice to the in-game calls and it really', 'start': 42.54, 'duration': 4.26}, {'text': 'has helped complexity turn around', 'start': 45.09, 'duration': 3.239}, {'text': ""they're split that's right moving down"", 'start': 46.8, 'duration': 3.599}, {'text': 'one into the mid lane its showered Xiao', 'start': 48.329, 'duration': 5.25}, {'text': ""he's a solid performer and lmq ends the"", 'start': 50.399, 'duration': 5.761}, {'text': 'week to a no tied for first place next', 'start': 53.579, 'duration': 4.741}, {'text': ""up is double limped is the ad carry's"", 'start': 56.16, 'duration': 4.32}, {'text': 'you take control of the late game and', 'start': 58.32, 'duration': 4.469}, {'text': 'shred his way through teams racking up', 'start': 60.48, 'duration': 4.499}, {'text': '70 kills for the week not too shabby', 'start': 62.789, 'duration': 4.981}, {'text': ""this week support is half remove he's"", 'start': 64.979, 'duration': 4.741}, {'text': 'incredibly well-rounded and can play', 'start': 67.77, 'duration': 4.349}, {'text': 'every support champion the way they need', 'start': 69.72, 'duration': 4.71}, {'text': 'to be played to get wins but one man', 'start': 72.119, 'duration': 4.711}, {'text': 'stole the spotlight and as our week 8', 'start': 74.43, 'duration': 4.5}, {'text': ""MVP from counter logic gaming it's"", 'start': 76.83, 'duration': 4.59}, {'text': 'double lift he is the definition of an', 'start': 78.93, 'duration': 4.47}, {'text': 'ad carry he is starting to look very', 'start': 81.42, 'duration': 4.23}, {'text': 'comfortable on the new ad carry changes', 'start': 83.4, 'duration': 4.35}, {'text': ""yeah and he had a great game on kog'maw"", 'start': 85.65, 'duration': 4.469}, {'text': 'as well as on Lucien this commanding', 'start': 87.75, 'duration': 4.71}, {'text': 'performance helped lead his team to a 20', 'start': 90.119, 'duration': 4.981}, {'text': 'week and they are once again tied for', 'start': 92.46, 'duration': 4.65}, {'text': ""first place I gots everybody else's"", 'start': 95.1, 'duration': 5.64}, {'text': ""trash so the European Alex yes we'll be"", 'start': 97.11, 'duration': 5.25}, {'text': 'back next week starting off with an', 'start': 100.74, 'duration': 3.96}, {'text': 'all-new and always informative see us', 'start': 102.36, 'duration': 3.899}, {'text': 'preview show then the games get underway', 'start': 104.7, 'duration': 3.9}, {'text': 'with supa hot crew facing off against', 'start': 106.259, 'duration': 4.201}, {'text': 'rock app followed by gambit versus the', 'start': 108.6, 'duration': 4.019}, {'text': 'number one alliance then the European', 'start': 110.46, 'duration': 3.72}, {'text': 'challenger series launches a', 'start': 112.619, 'duration': 3.78}, {'text': 'best-of-three quarterfinal showdown with', 'start': 114.18, 'duration': 5.16}, {'text': ""forever Zen zig and sk prime that's"", 'start': 116.399, 'duration': 5.191}, {'text': 'right and on saturday the entire North', 'start': 119.34, 'duration': 3.779}, {'text': 'American gang will be hitting the net', 'start': 121.59, 'duration': 3.389}, {'text': 'with eight more matches starting with', 'start': 123.119, 'duration': 4.131}, {'text': 'curse vs dignitas after that', 'start': 124.979, 'duration': 4.761}, {'text': 'geniuses face off against LG and TSM', 'start': 127.25, 'duration': 4.89}, {'text': 'will battle it out with lmq then stick', 'start': 129.74, 'duration': 3.96}, {'text': 'around for the North American Challenger', 'start': 132.14, 'duration': 4.17}, {'text': 'Series they are going to have another', 'start': 133.7, 'duration': 4.5}, {'text': 'quarterfinal yeah and that match is', 'start': 136.31, 'duration': 3.78}, {'text': 'going to be between curse Academy and', 'start': 138.2, 'duration': 5.3}, {'text': ""wasabi gaming that's right"", 'start': 140.09, 'duration': 3.41}]"
snes,lqNEd_4n-NM,"[17, 143, 166]",
bYes,lqScsYc8K2g,"[0, 1, 424, 590, 2724]",
fies,AZathjXlEOo,"[33, 89, 175]",
6bes,AdOfFKOKSbs,"[238, 274, 366]",
e8es,Af0g55UTOAY,"[0, 1, 5, 395]",
3ies,Af7AWVisQTk,[3],
3Kes,AlR1AtxHZWs,[347],
o1es,Wkij1bD5hh8,"[5, 16]",
T5es,4y_atMESk40,"[50, 65, 355]",
Hees,87su8qnImo4,[3],
tMes,WDyHrP-X0G8,"[3, 6]",
Coes,3vafKrzk5rg,[25],
Vves,43SjGPazoqY,"[15, 18, 87]","[{'text': 'hey guys welcome to go on Hoshi ranch', 'start': 0.0, 'duration': 7.589}, {'text': 'and this is a tutorial of how sleep past', 'start': 2.159, 'duration': 10.02}, {'text': 'our horse putting shoes oh not change', 'start': 7.589, 'duration': 6.331}, {'text': 'that you would like so you probably', 'start': 12.179, 'duration': 6.121}, {'text': 'found here now yes um alright i finished', 'start': 13.92, 'duration': 8.88}, {'text': 'my part by brier and part one is going', 'start': 18.3, 'duration': 7.53}, {'text': 'to show you how to passed out back and', 'start': 22.8, 'duration': 4.469}, {'text': ""this isn't going to be in a fast mode"", 'start': 25.83, 'duration': 9.59}, {'text': 'this is actually going to the fat ok i', 'start': 27.269, 'duration': 11.521}, {'text': 'took up all of his pink and I passed out', 'start': 35.42, 'duration': 8.83}, {'text': ""him some bit he's not done yet okay"", 'start': 38.79, 'duration': 11.37}, {'text': 'Dwight them and I gave him a weird sort', 'start': 44.25, 'duration': 8.09}, {'text': ""of sock so I'm going to take that off"", 'start': 50.16, 'duration': 6.87}, {'text': ""him I love that and black him that she's"", 'start': 52.34, 'duration': 12.429}, {'text': 'a bit bluish wasted dimension why is he', 'start': 57.03, 'duration': 11.909}, {'text': 'bluish all right and some people use', 'start': 64.769, 'duration': 6.871}, {'text': ""like primer and all this stuff yeah I'm"", 'start': 68.939, 'duration': 5.581}, {'text': 'not going to use primer I never used', 'start': 71.64, 'duration': 5.07}, {'text': 'primer on him but it sounds actually', 'start': 74.52, 'duration': 4.05}, {'text': 'what color on a paint your horse I like', 'start': 76.71, 'duration': 5.43}, {'text': 'to do it black because well he could', 'start': 78.57, 'duration': 4.92}, {'text': 'have been any color because he was like', 'start': 82.14, 'duration': 3.51}, {'text': 'a dapple gray and his grave was that you', 'start': 83.49, 'duration': 6.54}, {'text': 'really really like so I just itched him', 'start': 85.65, 'duration': 5.759}, {'text': 'a little bit wearing needs to be etched', 'start': 90.03, 'duration': 3.54}, {'text': 'and most of it most of him was etched', 'start': 91.409, 'duration': 4.041}, {'text': 'because he had loads of rust everywhere', 'start': 93.57, 'duration': 11.85}, {'text': 'so ya know okay and I learned a way how', 'start': 95.45, 'duration': 12.91}, {'text': 'you passed out that and what you do is', 'start': 105.42, 'duration': 5.67}, {'text': 'you want some water you just dip it in', 'start': 108.36, 'duration': 5.689}, {'text': 'lightly like that', 'start': 111.09, 'duration': 2.959}, {'text': 'Christ Linda do you have to get most in', 'start': 114.46, 'duration': 7.9}, {'text': ""the world yeah I'd get myself off and"", 'start': 119.479, 'duration': 5.191}, {'text': 'then you put your brush in the past I', 'start': 122.36, 'duration': 7.41}, {'text': ""last person but you'd have much then you"", 'start': 124.67, 'duration': 8.01}, {'text': 'got that bit on there just wanted a lot', 'start': 129.77, 'duration': 11.299}, {'text': 'of limp off ok I just do the next easier', 'start': 132.68, 'duration': 12.26}, {'text': 'look how easy that is look at that look', 'start': 141.069, 'duration': 8.591}, {'text': 'stop it just it just does that straight', 'start': 144.94, 'duration': 10.06}, {'text': 'away step up oh yeah and if your horse', 'start': 149.66, 'duration': 9.81}, {'text': 'has a black tail black socks black mane', 'start': 155.0, 'duration': 6.54}, {'text': ""and black for a lot you're going to want"", 'start': 159.47, 'duration': 3.42}, {'text': ""to leave them you're not going to want"", 'start': 161.54, 'duration': 4.47}, {'text': ""if you use primer then I don't know if"", 'start': 162.89, 'duration': 4.62}, {'text': 'this is the right way to do it with a', 'start': 166.01, 'duration': 3.87}, {'text': ""primer this is just if you don't have a"", 'start': 167.51, 'duration': 6.27}, {'text': 'primer so treat the video feud or unless', 'start': 169.88, 'duration': 7.859}, {'text': ""you're emotional you know you just want"", 'start': 173.78, 'duration': 5.4}, {'text': ""to fix them or not because I'm over here"", 'start': 177.739, 'duration': 4.741}, {'text': ""he's gray here he's black so you gonna"", 'start': 179.18, 'duration': 7.339}, {'text': 'want to fix this all up because that', 'start': 182.48, 'duration': 8.13}, {'text': 'same car that was one that was that gray', 'start': 186.519, 'duration': 6.25}, {'text': 'bit was one there and this is about like', 'start': 190.61, 'duration': 4.67}, {'text': 'five layers well not like those but', 'start': 192.769, 'duration': 5.731}, {'text': 'looks like life like probably like two', 'start': 195.28, 'duration': 7.39}, {'text': ""or something literally to look it's"", 'start': 198.5, 'duration': 7.88}, {'text': 'going black anyway still looking on if I', 'start': 202.67, 'duration': 7.08}, {'text': 'know what van you see that bit', 'start': 206.38, 'duration': 15.82}, {'text': ""that's it right I can't do that"", 'start': 209.75, 'duration': 14.99}, {'text': 'viscosity I need to take that more sauce', 'start': 222.2, 'duration': 7.08}, {'text': 'yeah okay you can let the dry or even', 'start': 224.74, 'duration': 7.87}, {'text': 'not you know like you have like stuff to', 'start': 229.28, 'duration': 6.81}, {'text': 'finish your past darling off people use', 'start': 232.61, 'duration': 4.86}, {'text': ""a special stuff but they're really"", 'start': 236.09, 'duration': 5.16}, {'text': ""expensive in my area so I'll use"", 'start': 237.47, 'duration': 9.9}, {'text': 'hairspray that hair spray hairspray come', 'start': 241.25, 'duration': 10.62}, {'text': ""on guys 24 hours hold well it isn't"", 'start': 247.37, 'duration': 6.869}, {'text': 'actually hold for 24 hours men come off', 'start': 251.87, 'duration': 5.22}, {'text': 'you know the minutes maximum hold you', 'start': 254.239, 'duration': 10.491}, {'text': 'know pro-vitamin b5 brushes out easily', 'start': 257.09, 'duration': 12.0}, {'text': 'you see this flammable yeah and you just', 'start': 264.73, 'duration': 6.88}, {'text': ""want to you can either way it's probably"", 'start': 269.09, 'duration': 5.21}, {'text': 'best way that a simpler than just gonna', 'start': 271.61, 'duration': 4.74}, {'text': ""you know you don't want to do it like"", 'start': 274.3, 'duration': 4.45}, {'text': 'like one area for like five minutes and', 'start': 276.35, 'duration': 4.11}, {'text': 'then the next day at 45 minutes just', 'start': 278.75, 'duration': 10.35}, {'text': 'want to do like then cuz i just did this', 'start': 280.46, 'duration': 11.03}, {'text': ""I'm gonna"", 'start': 289.1, 'duration': 2.39}, {'text': 'and then you can do this for like and', 'start': 295.4, 'duration': 5.94}, {'text': 'then you leave it until it dries and', 'start': 297.86, 'duration': 7.08}, {'text': ""then do more pass telling it's not how"", 'start': 301.34, 'duration': 10.919}, {'text': 'you hoped it today as you all know you', 'start': 304.94, 'duration': 11.22}, {'text': ""don't just you just don't write get"", 'start': 312.259, 'duration': 5.88}, {'text': 'passed out like that and then just like', 'start': 316.16, 'duration': 5.129}, {'text': 'buck it all on like that you put it in', 'start': 318.139, 'duration': 4.921}, {'text': 'to pass out us what but people do they', 'start': 321.289, 'duration': 3.391}, {'text': 'get scissors and do it but that takes', 'start': 323.06, 'duration': 3.47}, {'text': ""out a lot of the thing and it's not find"", 'start': 324.68, 'duration': 7.17}, {'text': 'so what I do is I just hold it hold it', 'start': 326.53, 'duration': 10.27}, {'text': 'there and I just do that most a little', 'start': 331.85, 'duration': 16.91}, {'text': ""enough already let's see it okay yeah"", 'start': 336.8, 'duration': 15.03}, {'text': 'and this is really good stuff if you', 'start': 348.76, 'duration': 6.24}, {'text': ""look at him he's really sticky now so"", 'start': 351.83, 'duration': 6.119}, {'text': ""he'll look at him sir August passed out"", 'start': 355.0, 'duration': 5.71}, {'text': ""this thinned she's like thin and so"", 'start': 357.949, 'duration': 5.22}, {'text': ""that's where you're going to need packs"", 'start': 360.71, 'duration': 7.41}, {'text': ""spell him again and she's not much of"", 'start': 363.169, 'duration': 8.401}, {'text': 'myself I just told him right oh yeah', 'start': 368.12, 'duration': 8.16}, {'text': ""pastel hair money's worth okay um watch"", 'start': 371.57, 'duration': 6.24}, {'text': ""part two and i'm going to show you how"", 'start': 376.28, 'duration': 6.72}, {'text': 'to make can see and hear one of my', 'start': 377.81, 'duration': 6.69}, {'text': ""favorite briar so I'm obviously not"", 'start': 383.0, 'duration': 5.539}, {'text': 'going to ruin him hi guys', 'start': 384.5, 'duration': 4.039}]"
