jqat,P945yGdwsa8,[13],
PRdK,ve47ngVVX8E,"[0, 1, 35, 2523]","[{'text': ""hey guys I'm yto feet and welcome to max"", 'start': 0.38, 'duration': 5.19}, {'text': ""payne 3 i'll collectibles chapter 8 once"", 'start': 2.96, 'duration': 3.87}, {'text': 'you see the guy with with your navel and', 'start': 5.57, 'duration': 2.699}, {'text': ""chill it to the right there'll be two"", 'start': 6.83, 'duration': 3.12}, {'text': 'trips in front of a second one is a', 'start': 8.269, 'duration': 10.5}, {'text': 'golden gun piece once you go upstairs go', 'start': 9.95, 'duration': 10.289}, {'text': ""straight ahead and there'll be a special"", 'start': 18.769, 'duration': 4.85}, {'text': 'gravestone with an N on top of it', 'start': 20.239, 'duration': 3.38}, {'text': 'detective Valerie Winterson one of my', 'start': 26.649, 'duration': 5.801}, {'text': 'bullets is buried down there with her I', 'start': 30.38, 'duration': 3.99}, {'text': 'tell myself it was a tragic', 'start': 32.45, 'duration': 4.68}, {'text': 'misunderstanding an awful mistake I tell', 'start': 34.37, 'duration': 5.48}, {'text': 'myself a lot of things all of it crap', 'start': 37.13, 'duration': 6.78}, {'text': 'the truth was it was her or Mona and I', 'start': 39.85, 'duration': 6.52}, {'text': 'made a very bad call this was one', 'start': 43.91, 'duration': 4.47}, {'text': 'decision of mine I buried deeper than', 'start': 46.37, 'duration': 5.43}, {'text': ""all the others you'll get to a point"", 'start': 48.38, 'duration': 4.41}, {'text': 'where you guys are discussing how', 'start': 51.8, 'duration': 2.25}, {'text': ""they're gonna split the money after"", 'start': 52.79, 'duration': 2.46}, {'text': ""you've killed him I'll turn around and"", 'start': 54.05, 'duration': 3.12}, {'text': ""they'll be a high statue around the back"", 'start': 55.25, 'duration': 3.3}, {'text': 'of his statue is another golden dome', 'start': 57.17, 'duration': 3.59}, {'text': 'piece', 'start': 58.55, 'duration': 2.21}, {'text': 'in the next area if you stick to the', 'start': 64.229, 'duration': 3.551}, {'text': ""right you'll see another Golden Gun"", 'start': 66.64, 'duration': 10.53}, {'text': 'piece in the corner after you safe', 'start': 67.78, 'duration': 11.519}, {'text': 'passage EOCs sarcophagus in the middle', 'start': 77.17, 'duration': 3.3}, {'text': ""if you go around the back of it you'll"", 'start': 79.299, 'duration': 9.421}, {'text': 'find another golden gun please two other', 'start': 80.47, 'duration': 10.56}, {'text': 'side of the second focus is Nichols', 'start': 88.72, 'duration': 9.06}, {'text': 'mullahs iam Nicole horns mausoleum the', 'start': 91.03, 'duration': 8.64}, {'text': ""woman who ordered Michelle's death I"", 'start': 97.78, 'duration': 3.69}, {'text': 'passed it whenever I came to see my wife', 'start': 99.67, 'duration': 4.08}, {'text': 'it felt appropriate to leave her some', 'start': 101.47, 'duration': 5.22}, {'text': 'dead bodies instead of flowers after', 'start': 103.75, 'duration': 4.35}, {'text': ""you've dug your own grave if you go to"", 'start': 106.69, 'duration': 2.969}, {'text': ""the right you'll see Vincent shining"", 'start': 108.1, 'duration': 4.859}, {'text': ""gravestone Vinnie GOG MIDI I didn't"", 'start': 109.659, 'duration': 4.621}, {'text': 'think there was enough of him left to', 'start': 112.959, 'duration': 4.11}, {'text': 'fill a grave for son of a bitch his', 'start': 114.28, 'duration': 4.8}, {'text': 'antics have brought the once great house', 'start': 117.069, 'duration': 4.261}, {'text': 'of Punchinello to its knees and they', 'start': 119.08, 'duration': 6.329}, {'text': 'were still struggling to stand up just', 'start': 121.33, 'duration': 6.149}, {'text': 'after getting the gravestone if you go', 'start': 125.409, 'duration': 3.841}, {'text': ""down stairs and to the left you'll see a"", 'start': 127.479, 'duration': 3.241}, {'text': 'little shack and inside the bathroom', 'start': 129.25, 'duration': 5.239}, {'text': ""area there'll be a golden gun piece"", 'start': 130.72, 'duration': 3.769}, {'text': ""this one's really isn'ta fine"", 'start': 138.319, 'duration': 3.581}, {'text': 'watchmaking your last stand if you just', 'start': 140.25, 'duration': 2.91}, {'text': ""turn to the right you'll see in the"", 'start': 141.9, 'duration': 3.96}, {'text': 'middle thanks for watching partner will', 'start': 143.16, 'duration': 3.96}, {'text': 'be annotated in the middle of a video', 'start': 145.86, 'duration': 3.86}, {'text': 'see up', 'start': 147.12, 'duration': 2.6}]"
3BdK,vqR5L8FURas,"[21, 23, 24]",
JsdK,vtjrbiSPQlY,"[0, 412, 447]",
q1dK,2NWLu7emBNg,"[0, 1, 35, 69, 478, 1111]",
Z3dK,E9yCfU-Lbmc,"[126, 220, 276]","[{'text': ""Hi I'm Christy Wilhelmi from Gardenerd and\ntoday I'm going to show you how to take care"", 'start': 6.879, 'duration': 3.72}, {'text': 'of your tools.', 'start': 10.599, 'duration': 1.0}, {'text': 'A good pair of pruning shears can you a lifetime\nif you know how to take care of it properly.', 'start': 11.599, 'duration': 5.491}, {'text': ""Cleaning, getting all the sap off, disinfecting,\nsharpening, oiling, it's all part of garden"", 'start': 17.09, 'duration': 6.069}, {'text': 'care for your tools.', 'start': 23.159, 'duration': 2.071}, {'text': ""So I'm going to show you how."", 'start': 25.23, 'duration': 1.67}, {'text': 'These are Felco Pruners.', 'start': 26.9, 'duration': 2.529}, {'text': ""They're a really good quality pruning shear\nand they have a sharp edge on one side and"", 'start': 29.429, 'duration': 6.301}, {'text': 'then the rest of the points are not sharp.', 'start': 35.73, 'duration': 2.7}, {'text': 'Most of the time...you can see this is covered\nwith crap and it needs cleaning, and there', 'start': 38.43, 'duration': 4.5}, {'text': 'are a couple things you can do to clean.', 'start': 42.93, 'duration': 2.73}, {'text': ""The most available resource is this, you know,\nsanding block, but it's not really the best"", 'start': 45.66, 'duration': 7.42}, {'text': 'one.', 'start': 53.08, 'duration': 1.0}, {'text': 'If you want to make your life really easy,\nthe Sandflex hand block is the way to go.', 'start': 54.08, 'duration': 4.46}, {'text': 'This thing is a miracle, and use the medium\ncourse one for that.', 'start': 58.54, 'duration': 4.47}, {'text': ""And basically what you're going to do is use\nthe sand block to scrub."", 'start': 63.01, 'duration': 4.95}, {'text': ""It just makes it go away, it's amazing."", 'start': 67.96, 'duration': 2.969}, {'text': ""You'll see."", 'start': 70.929, 'duration': 1.0}, {'text': 'I mean just look at it, you can already see\nit just disappearing.', 'start': 71.929, 'duration': 3.391}, {'text': 'To disinfect your tools you want to use alcohol\nor a bleach solution.', 'start': 75.32, 'duration': 5.03}, {'text': ""You can dip it straight into alcohol and then\nwipe it clean, and that's something that you"", 'start': 80.35, 'duration': 4.059}, {'text': ""should do especially if you've been pruning\nsomething that has a disease."", 'start': 84.409, 'duration': 4.14}, {'text': ""You're supposed to dip your pruners in between\neach cut, but that's for a pruning video some"", 'start': 88.549, 'duration': 5.18}, {'text': 'other day.', 'start': 93.729, 'duration': 1.34}, {'text': ""Once you're done disinfecting your tools,\nit's a good idea to oil them so they don't"", 'start': 95.069, 'duration': 4.91}, {'text': 'rust.', 'start': 99.979, 'duration': 1.0}, {'text': 'Now some people recommend using a household\nkitchen oil spray, like Pam or something like', 'start': 100.979, 'duration': 4.831}, {'text': 'that, but I feel like it goes rancid too quickly.', 'start': 105.81, 'duration': 3.47}, {'text': ""I'd rather use something appropriate for pruners."", 'start': 109.28, 'duration': 2.03}, {'text': 'So you can use WD-40 or I recommend using\na pruner oil which is specifically made for', 'start': 111.31, 'duration': 7.449}, {'text': 'gardening tools.', 'start': 118.759, 'duration': 1.391}, {'text': 'So what you do, and this stuff does smell\nlike machine oil.', 'start': 120.15, 'duration': 5.179}, {'text': 'So you apply a thin coat to the blades and\nyou also want to apply a thin coat to the', 'start': 125.329, 'duration': 14.411}, {'text': 'spring.', 'start': 139.74, 'duration': 1.0}, {'text': 'Take the spring off and clean the gunk out\nof that and then oil it as well.', 'start': 140.74, 'duration': 5.05}, {'text': ""Once you've done that, let it sit for a couple\nof minutes and then wipe it completely clean,"", 'start': 145.79, 'duration': 5.65}, {'text': 'reassemble put the spring back on and good\nas new.', 'start': 151.44, 'duration': 4.71}, {'text': ""Now if you want to sharpen your tools it's\ngreat to have a hand file on hand like this."", 'start': 156.15, 'duration': 6.07}, {'text': 'This is a Corona hand file and it basically\nhas a little tiny whetstone attached to the', 'start': 162.22, 'duration': 5.98}, {'text': 'end of a handle, which makes it easy to sharpen\nyour tools without having to take them apart.', 'start': 168.2, 'duration': 5.22}, {'text': 'So basically you want to follow the bevel\nof the blade on the same angle, which is like', 'start': 173.42, 'duration': 4.73}, {'text': 'a 33-45 degree angle.', 'start': 178.15, 'duration': 3.6}, {'text': 'And you want to make 3-4 strokes along the\nedge of the blade and once you do that you', 'start': 181.75, 'duration': 7.98}, {'text': 'flip it over and run one flat to remove the\nburrs.', 'start': 189.73, 'duration': 3.44}, {'text': ""And that's it."", 'start': 193.17, 'duration': 1.0}, {'text': 'Pretty straight forward.', 'start': 194.17, 'duration': 1.0}, {'text': ""If you do this with your tools, they'll last\nfor years and years, and they will be worth"", 'start': 195.17, 'duration': 5.36}, {'text': 'every penny and every second of time you spend\ncleaning them.', 'start': 200.53, 'duration': 2.79}, {'text': 'If you want to learn more about cleaning your\ntools and gardening and all this kind of stuff', 'start': 203.32, 'duration': 6.28}, {'text': 'that you love as a Gardenerd, visit Gardenerd.com.', 'start': 209.6, 'duration': 2.75}, {'text': 'And if you like this video, like, subscribe\nand share it with your friends.', 'start': 212.35, 'duration': 3.61}, {'text': 'Happy Gardening.', 'start': 215.96, 'duration': 0.52}]"
ZAdK,6tM6_fqs8uI,"[6, 8]",
tidK,K_5jwncOIXQ,[141],
XGdK,z6X3AXpIkFo,[8],
C6dK,zBk-iwa_3LQ,"[0, 1, 5, 105, 203, 234]",
jJdK,o96KLYtxEgQ,"[390, 485, 1300]","[{'text': ""Now we're at my favorite part of quilting."", 'start': 5.38, 'duration': 3.31}, {'text': ""I love sewing the binding to the back of the\nquilt because it means I'm just about finished."", 'start': 8.69, 'duration': 5.49}, {'text': ""And it's very relaxing."", 'start': 14.18, 'duration': 1.65}, {'text': ""So, here's your lovely quilt top, the binding,\nand what you want to do is press your binding,"", 'start': 15.83, 'duration': 7.65}, {'text': 'makes it a little easier to turn.', 'start': 23.48, 'duration': 2.08}, {'text': 'Flip the quilt over, and bring your binding\nall the way over so that you cover the raw', 'start': 25.56, 'duration': 8.94}, {'text': 'edge of the quilt.', 'start': 34.5, 'duration': 4.98}, {'text': ""You're going to take a needle, an applique\nneedle or a sharp, and put a knot."", 'start': 39.48, 'duration': 12.89}, {'text': 'I like to start sewing about an inch or so\nfrom a corner.', 'start': 52.37, 'duration': 8.8}, {'text': ""You're just going to very carefully take small\nstitches getting a little piece of the quilt"", 'start': 61.17, 'duration': 10.579}, {'text': 'and a little piece of the binding.', 'start': 71.749, 'duration': 4.851}, {'text': 'Just keep going until you get to the end.', 'start': 76.6, 'duration': 7.53}, {'text': ""It's a very relaxing thing to do."", 'start': 84.13, 'duration': 2.199}, {'text': ""I do it at night usually if I'm watching TV\nor maybe listening to music."", 'start': 86.329, 'duration': 6.881}, {'text': ""It's a nice ending to making your quilt."", 'start': 93.21, 'duration': 5.729}, {'text': ""When you get to the corner, you've sewn all\nthe way to here."", 'start': 98.939, 'duration': 7.811}, {'text': 'Sew pretty much to the end of the quilt.', 'start': 106.75, 'duration': 3.729}, {'text': ""You'll have a 90 degree angle at the end."", 'start': 110.479, 'duration': 4.901}, {'text': 'Bring it back over and start sewing down the\nnext side of the quilt.', 'start': 115.38, 'duration': 8.5}, {'text': ""And that's pretty much all there is to hand\nsewing your binding to the back of the quilt."", 'start': 123.88, 'duration': 4.269}]"
dLdK,oHJLaH6aetM,"[4, 13, 164]",
X9dK,INHloWNO26o,[910],
ePdK,qQrmoKLb-R0,"[2, 7, 48, 224, 267, 711]",
I7dK,1J9Fc1PKxDY,"[0, 1538]",
sHdK,1O0DuVf2z9w,"[24, 74, 131, 209, 880]","[{'text': 'now and I were just over an hour away', 'start': 0.0, 'duration': 4.41}, {'text': 'from the big iPad and no spoons at', 'start': 1.68, 'duration': 3.929}, {'text': ""eleven o'clock this morning we're gonna"", 'start': 4.41, 'duration': 3.15}, {'text': ""get our first look at the new I've had a"", 'start': 5.609, 'duration': 4.171}, {'text': 'lot of people speculating here the ipad', 'start': 7.56, 'duration': 5.1}, {'text': '2 will be thinner lighter supposedly', 'start': 9.78, 'duration': 4.89}, {'text': 'going to have a rear and front camera so', 'start': 12.66, 'duration': 3.99}, {'text': 'you can do some video chatting face time', 'start': 14.67, 'duration': 3.81}, {'text': 'as Apple likes to call it so what do you', 'start': 16.65, 'duration': 4.17}, {'text': 'think the new iPad will have and are you', 'start': 18.48, 'duration': 5.459}, {'text': 'ready to jump on the Apple bandwagons we', 'start': 20.82, 'duration': 4.5}, {'text': ""want to look for you you know what I'm"", 'start': 23.939, 'duration': 4.021}, {'text': 'always a fan of waiting for them to get', 'start': 25.32, 'duration': 4.199}, {'text': 'the kinks out and the price to go down', 'start': 27.96, 'duration': 3.27}, {'text': 'just a little bit before I jump on', 'start': 29.519, 'duration': 4.051}, {'text': 'boards well the problem not a techie', 'start': 31.23, 'duration': 5.009}, {'text': 'yeah you are yours I could get to a', 'start': 33.57, 'duration': 4.169}, {'text': ""small degree that I'm certainly not"", 'start': 36.239, 'duration': 3.39}, {'text': 'waiting any lines or anything or waiting', 'start': 37.739, 'duration': 3.0}, {'text': 'for any announcement with bated breath', 'start': 39.629, 'duration': 2.821}, {'text': 'away well the problem is with Apple', 'start': 40.739, 'duration': 3.0}, {'text': 'these days is that we know they do these', 'start': 42.45, 'duration': 2.73}, {'text': 'product announcements every single year', 'start': 43.739, 'duration': 3.631}, {'text': ""so if you wait too long then it's like"", 'start': 45.18, 'duration': 3.66}, {'text': 'well I might as well wait for the iPad', 'start': 47.37, 'duration': 2.82}, {'text': 'through and then you just end up waiting', 'start': 48.84, 'duration': 2.969}, {'text': ""forever I know that's that's what it"", 'start': 50.19, 'duration': 2.939}, {'text': ""feels like but well let's read some"", 'start': 51.809, 'duration': 5.611}, {'text': 'comments here Marco says me simply put', 'start': 53.129, 'duration': 6.211}, {'text': ""Francisco says I want one but first I'm"", 'start': 57.42, 'duration': 3.51}, {'text': ""thinking of getting a new imac I'm too"", 'start': 59.34, 'duration': 3.149}, {'text': ""concerned I'm not too concerned with the"", 'start': 60.93, 'duration': 3.089}, {'text': ""pads and tablets since they aren't"", 'start': 62.489, 'duration': 3.42}, {'text': 'exactly practical for a lot of computing', 'start': 64.019, 'duration': 3.691}, {'text': 'needs you know I feel this pain to Ryan', 'start': 65.909, 'duration': 3.661}, {'text': 'actually says a kind of similar to me I', 'start': 67.71, 'duration': 3.42}, {'text': 'would buy i would consider buying one', 'start': 69.57, 'duration': 3.36}, {'text': 'but only for the price to go down a bit', 'start': 71.13, 'duration': 4.08}, {'text': 'before i make a purchase Graham Murphy', 'start': 72.93, 'duration': 4.56}, {'text': 'says not really more of a want than a', 'start': 75.21, 'duration': 4.049}, {'text': ""need and I'm very happy with my macbook"", 'start': 77.49, 'duration': 3.0}, {'text': ""pro although i will tell you there's"", 'start': 79.259, 'duration': 3.871}, {'text': 'rumors that they might take the old ipad', 'start': 80.49, 'duration': 5.34}, {'text': 'our ipads and keep them on the shelves', 'start': 83.13, 'duration': 4.8}, {'text': 'but cut the price that would be awesome', 'start': 85.83, 'duration': 4.23}, {'text': 'because then you do open up the', 'start': 87.93, 'duration': 3.99}, {'text': 'franchise to people who maybe feel like', 'start': 90.06, 'duration': 3.989}, {'text': 'I will never be advanced I think that', 'start': 91.92, 'duration': 3.6}, {'text': ""she that's a really good way to like"", 'start': 94.049, 'duration': 3.331}, {'text': 'roll out the new one but keep the video', 'start': 95.52, 'duration': 3.059}, {'text': 'the older one there because a lot of', 'start': 97.38, 'duration': 2.669}, {'text': 'people just want the basic stuff they', 'start': 98.579, 'duration': 3.241}, {'text': ""don't need to stay cutting-edge there"", 'start': 100.049, 'duration': 3.71}, {'text': 'was an interesting one coming in um oh', 'start': 101.82, 'duration': 4.35}, {'text': 'gosh I just lost heard just that quickly', 'start': 103.759, 'duration': 4.811}, {'text': ""well read says are says don't have one"", 'start': 106.17, 'duration': 3.809}, {'text': 'was waiting for the next generation to', 'start': 108.57, 'duration': 4.079}, {'text': 'come out so now i will buy let me put', 'start': 109.979, 'duration': 4.5}, {'text': ""this in perspective to they've sold 13"", 'start': 112.649, 'duration': 4.5}, {'text': 'million ipads okay this has become ten', 'start': 114.479, 'duration': 5.25}, {'text': 'percent of the revenue for Apple they', 'start': 117.149, 'duration': 4.29}, {'text': ""haven't even been out a year so there's"", 'start': 119.729, 'duration': 3.6}, {'text': 'no question that the ipad there we go', 'start': 121.439, 'duration': 4.011}, {'text': 'has become somewhat of a phenomenon', 'start': 123.329, 'duration': 4.561}, {'text': ""thanks to Apple obviously and it's only"", 'start': 125.45, 'duration': 3.52}, {'text': 'going to be more interesting to see what', 'start': 127.89, 'duration': 2.399}, {'text': 'happens when they release a second', 'start': 128.97, 'duration': 2.25}, {'text': ""version that's going to happen they're"", 'start': 130.289, 'duration': 2.071}, {'text': ""going to knotts it today at least that's"", 'start': 131.22, 'duration': 1.5}, {'text': 'the spec', 'start': 132.36, 'duration': 4.56}, {'text': ""well I can't wait can we won hey Kiki"", 'start': 132.72, 'duration': 8.06}, {'text': 'the texture I can read', 'start': 136.92, 'duration': 3.86}]"
