VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
NDm3,7LbUbUw9rkk,"[0, 1]","[{'text': ""hey fellas welcome back to us at 64 I'm"", 'start': 0.079, 'duration': 6.191}, {'text': 'going to check insurance reporting okay', 'start': 2.429, 'duration': 4.83}, {'text': ""awesome is recording i'm going to be"", 'start': 6.27, 'duration': 2.01}, {'text': ""checking to make sure it's recording"", 'start': 7.259, 'duration': 2.46}, {'text': 'federation of these videos until I beat', 'start': 8.28, 'duration': 3.989}, {'text': 'the game because I spent a lot of time', 'start': 9.719, 'duration': 6.151}, {'text': ""here hey alive I'm gonna like it boo bar"", 'start': 12.269, 'duration': 10.441}, {'text': 'for some pointless delirium oh alright', 'start': 15.87, 'duration': 10.169}, {'text': ""first try let's place it back this one"", 'start': 22.71, 'duration': 12.45}, {'text': 'forward please forward and get everybody', 'start': 26.039, 'duration': 14.011}, {'text': 'free turn okay happy thing to understand', 'start': 35.16, 'duration': 8.149}, {'text': 'why everybody likes so much', 'start': 40.05, 'duration': 3.259}, {'text': 'kokiri gentle energy regen and accuracy', 'start': 48.41, 'duration': 10.53}, {'text': 'get back which is a lot more that could', 'start': 53.15, 'duration': 9.44}, {'text': 'save her those soldiers sent me enough', 'start': 58.94, 'duration': 3.65}, {'text': 'damn praise are the joint central areas', 'start': 63.82, 'duration': 12.189}, {'text': 'where the Concilium being for Sam go', 'start': 66.47, 'duration': 11.19}, {'text': 'until I get there i am going to tear', 'start': 76.009, 'duration': 4.5}, {'text': 'that bank card exceeding us are going to', 'start': 77.66, 'duration': 5.51}, {'text': 'die alone', 'start': 80.509, 'duration': 2.661}, {'text': ""don't waste it all right where the alien"", 'start': 98.34, 'duration': 8.059}, {'text': 'something sickle whoa alright for sure', 'start': 100.259, 'duration': 6.14}, {'text': ""it has to be chaste meeting here there's"", 'start': 113.42, 'duration': 4.75}, {'text': 'no other place where it would be I like', 'start': 115.92, 'duration': 3.42}, {'text': 'a rear guard starts showing up and', 'start': 118.17, 'duration': 2.46}, {'text': ""slaughtering my boys from behind I'm"", 'start': 119.34, 'duration': 5.61}, {'text': ""gonna be livid come on let's move it we"", 'start': 120.63, 'duration': 7.59}, {'text': 'got a thule our next blog they look they', 'start': 124.95, 'duration': 4.319}, {'text': 'look at Billy with a side order of', 'start': 128.22, 'duration': 8.67}, {'text': 'fellow maybe there will be done as at', 'start': 129.269, 'duration': 8.791}, {'text': 'this moment right here folks this might', 'start': 136.89, 'duration': 10.709}, {'text': 'be the final episode of over 60 for just', 'start': 138.06, 'duration': 11.25}, {'text': 'a little longer than my first external t', 'start': 147.599, 'duration': 3.871}, {'text': 'wish to keep you one minute well 20 40', 'start': 149.31, 'duration': 3.42}, {'text': ""60 if you're willing to hide receipt"", 'start': 151.47, 'duration': 15.98}, {'text': ""Alaska it wasn't ready turn hello"", 'start': 152.73, 'duration': 14.72}, {'text': ""come on laughs it's gonna be an error"", 'start': 170.08, 'duration': 15.16}, {'text': 'again thank yoy can I have a fistful', 'start': 175.13, 'duration': 23.64}, {'text': 'reads right now so much bastards for', 'start': 185.24, 'duration': 15.09}, {'text': 'anything know exactly where each to 3', 'start': 198.77, 'duration': 3.03}, {'text': '1,000,000 is armed and I know for a fact', 'start': 200.33, 'duration': 2.91}, {'text': ""I'll slaughter the front door of the"", 'start': 201.8, 'duration': 5.37}, {'text': 'vanguard without prejudice without', 'start': 203.24, 'duration': 5.13}, {'text': 'prejudice football with extreme', 'start': 207.17, 'duration': 5.22}, {'text': 'prejudice and without mercy Sharon and', 'start': 208.37, 'duration': 7.53}, {'text': 'we on r energy a gig markets are just', 'start': 212.39, 'duration': 6.8}, {'text': 'dropping everything except bombs', 'start': 215.9, 'duration': 3.29}, {'text': 'oh yeah come on toss me a frickin bone', 'start': 231.28, 'duration': 14.64}, {'text': ""you go sir it's a coin flip cheese where"", 'start': 238.24, 'duration': 11.73}, {'text': 'you suppress it enter it dragon breath', 'start': 245.92, 'duration': 15.99}, {'text': 'doc something why are they so blasted a', 'start': 249.97, 'duration': 15.02}, {'text': ""journalist um it's my question"", 'start': 261.91, 'duration': 3.08}, {'text': 'thank you', 'start': 270.04, 'duration': 3.21}, {'text': ""yeah I'll be a cheater right let's do"", 'start': 277.92, 'duration': 7.86}, {'text': ""this I don't care Phi Phi hyperspeed"", 'start': 283.26, 'duration': 23.22}, {'text': ""this last one I'm doing shining me on"", 'start': 285.78, 'duration': 23.36}, {'text': ""let's get going"", 'start': 306.48, 'duration': 2.66}, {'text': ""another feeling there aren't any aliens"", 'start': 318.54, 'duration': 10.04}, {'text': 'left at all except a mechanic', 'start': 320.07, 'duration': 8.51}, {'text': 'Oh', 'start': 342.27, 'duration': 2.0}, {'text': ""well we're here"", 'start': 348.44, 'duration': 3.3}, {'text': ""it's getting fetuses as power that's"", 'start': 364.09, 'duration': 19.16}, {'text': 'adorable like a thief got its creamy', 'start': 366.4, 'duration': 16.85}, {'text': ""you're like bashing all of a sudden yeah"", 'start': 383.58, 'duration': 11.2}, {'text': ""it's over ciao bondi my grenade I'll"", 'start': 389.139, 'duration': 16.981}, {'text': ""make you throw it's there thank you and"", 'start': 394.78, 'duration': 13.65}, {'text': 'I brushed the move of the one it burn', 'start': 406.12, 'duration': 7.07}, {'text': 'all the few ah spring Godwin wrongs me', 'start': 408.43, 'duration': 4.76}, {'text': 'expect a lot more explodey for some', 'start': 421.53, 'duration': 21.6}, {'text': 'reason electrifying and oh look', 'start': 423.91, 'duration': 19.22}, {'text': ""and that's the end of the game finally"", 'start': 477.96, 'duration': 6.519}, {'text': 'gone well then I flex my folks if you', 'start': 480.94, 'duration': 5.67}, {'text': 'want to I suppose I could meet a little', 'start': 484.479, 'duration': 3.451}, {'text': 'flirt without ending big handfuls of', 'start': 486.61, 'duration': 3.57}, {'text': 'separately or swim you p.m. / 2 comments', 'start': 487.93, 'duration': 7.34}, {'text': ""stop well i'll fill her up good night"", 'start': 490.18, 'duration': 5.09}]"
eLm3,VuSISfxBwMg,[14],
4mm3,4-9AWoz4D4o,"[0, 1, 219]",
exm3,49GsEMfTu4I,"[0, 12]",
Mym3,,[1430],
jEm3,4BwnRx0Iwz0,"[81, 108]",
w3m3,BBXq3utnF0M,"[3, 4]",
kSm3,BQMvbeSmECE,"[0, 1, 124, 287]",
Nem3,gzGMtAceipk,"[5, 16]",
1dm3,iVcF9C0nJfU,[3],
cum3,iYNS4CvM5uA,[99],
nDm3,,"[0, 1, 285, 964, 1181]",
Lim3,h8p1BJr1LAk,"[2, 7, 48]",
Ixm3,ZhiMtQuAR_Q,"[0, 1, 42, 111]","[{'text': 'you', 'start': 2.37, 'duration': 2.059}, {'text': 'babble about under a profitable one he', 'start': 13.24, 'duration': 11.35}, {'text': 'knew the lens what would happen they', 'start': 23.3, 'duration': 3.6}, {'text': 'were swapped around a tunnel now to get', 'start': 24.59, 'duration': 4.32}, {'text': 'much more confident jazz is coming', 'start': 26.9, 'duration': 4.41}, {'text': 'through taking down your ad carry and', 'start': 28.91, 'duration': 4.5}, {'text': ""your support all in one it's a"", 'start': 31.31, 'duration': 3.78}, {'text': 'two-for-one deal right now in sk-gaming', 'start': 33.41, 'duration': 4.38}, {'text': ""I'm just taking everything lady counter"", 'start': 35.09, 'duration': 4.35}, {'text': ""drugs coming on so let's go but they"", 'start': 37.79, 'duration': 3.15}, {'text': 'just learned how the damage of pending', 'start': 39.44, 'duration': 3.42}, {'text': 'which is farming qualifies rifle and', 'start': 40.94, 'duration': 5.549}, {'text': 'cradles back with carbonate damage on', 'start': 42.86, 'duration': 5.49}, {'text': 'the waters goes down the curb things a', 'start': 46.489, 'duration': 3.661}, {'text': ""lot of tower don't know it's gonna be"", 'start': 48.35, 'duration': 3.24}, {'text': 'enough Jess', 'start': 50.15, 'duration': 5.04}, {'text': ""the group's Mazarin it sorry jezus gonna"", 'start': 51.59, 'duration': 4.98}, {'text': ""come around the side he's got that ruder"", 'start': 55.19, 'duration': 3.06}, {'text': 'hurricane he turns on the waterworks', 'start': 56.57, 'duration': 3.45}, {'text': ""locking him down that's gonna be James"", 'start': 58.25, 'duration': 3.66}, {'text': ""Bank from Jessa's take that one"", 'start': 60.02, 'duration': 4.289}, {'text': 'intervention use can he go right here', 'start': 61.91, 'duration': 3.75}, {'text': 'while I do the buddy', 'start': 64.309, 'duration': 9.781}, {'text': ""it's a ventures run out using the"", 'start': 65.66, 'duration': 11.37}, {'text': 'partners out there now so Jesus with you', 'start': 74.09, 'duration': 6.15}, {'text': 'tonight just about runs out episode 4 on', 'start': 77.03, 'duration': 5.22}, {'text': 'for dents I just laugh on warts mascara', 'start': 80.24, 'duration': 3.18}, {'text': ""that you're not follow through this time"", 'start': 82.25, 'duration': 2.67}, {'text': 'they do teleports gonna have a boat', 'start': 83.42, 'duration': 3.42}, {'text': 'ready and thousands thousands going', 'start': 84.92, 'duration': 3.75}, {'text': 'straight into West Gate this strain is', 'start': 86.84, 'duration': 3.9}, {'text': 'water but intervention off ready turns', 'start': 88.67, 'duration': 3.51}, {'text': 'it back around ready with it now in John', 'start': 90.74, 'duration': 3.06}, {'text': ""the matter just kick it away doesn't"", 'start': 92.18, 'duration': 2.939}, {'text': 'matter SK coming out on top of this one', 'start': 93.8, 'duration': 3.09}, {'text': 'Becker gonna walk whipping from', 'start': 95.119, 'duration': 3.991}, {'text': ""overpower Jess's is just cleaving his"", 'start': 96.89, 'duration': 4.14}, {'text': ""way it's a victory over over file that's"", 'start': 99.11, 'duration': 5.15}, {'text': 'a double for him son of a back in', 'start': 101.03, 'duration': 5.51}, {'text': 'out of position here or nicking example', 'start': 104.26, 'duration': 3.99}, {'text': 'the shockwave that seemed an eddy goes', 'start': 106.54, 'duration': 4.41}, {'text': ""down and SK it's clean a beauty time"", 'start': 108.25, 'duration': 3.96}, {'text': ""they're gonna get the message couple of"", 'start': 110.95, 'duration': 3.21}, {'text': 'guys right the glories on down there for', 'start': 112.21, 'duration': 3.48}, {'text': 'the walls less sharply coming up', 'start': 114.16, 'duration': 3.42}, {'text': ""sportsman's good Catholic this you don't"", 'start': 115.69, 'duration': 4.11}, {'text': 'Kali committing let the Cataclysm down', 'start': 117.58, 'duration': 4.47}, {'text': 'at the source washing away from it which', 'start': 119.8, 'duration': 3.57}, {'text': 'mean you still do', 'start': 122.05, 'duration': 7.23}, {'text': ""oh Jesus he's gonna try though for"", 'start': 123.37, 'duration': 8.43}, {'text': 'limited as well store that TV slow those', 'start': 129.28, 'duration': 5.07}, {'text': 'happening and the triple kill for', 'start': 131.8, 'duration': 4.89}, {'text': 'genders on there I just like that SK', 'start': 134.35, 'duration': 4.41}, {'text': ""gaming too they go to the slide it's"", 'start': 136.69, 'duration': 4.06}, {'text': 'good you may want to go in', 'start': 138.76, 'duration': 3.43}, {'text': 'for this one charm actually going to', 'start': 140.75, 'duration': 3.45}, {'text': 'selfie will actually flash away to the', 'start': 142.19, 'duration': 3.39}, {'text': ""fireside it's going to get some damage"", 'start': 144.2, 'duration': 3.18}, {'text': ""back on source let's go tanning Bailey"", 'start': 145.58, 'duration': 3.36}, {'text': 'getting there then the Cataclysm use', 'start': 147.38, 'duration': 3.27}, {'text': ""Impaler will pick up don't know what"", 'start': 148.94, 'duration': 3.63}, {'text': ""Jenna's going aggressive it surely will"", 'start': 150.65, 'duration': 2.82}, {'text': 'be able to village', 'start': 152.57, 'duration': 3.03}, {'text': 'so satchel charge the nose it all those', 'start': 153.47, 'duration': 3.99}, {'text': 'things selfie with him as well little', 'start': 155.6, 'duration': 3.57}, {'text': 'cloudy the team fight look at the', 'start': 157.46, 'duration': 3.03}, {'text': 'teleport coming in for Freddy there they', 'start': 159.17, 'duration': 2.85}, {'text': ""go they're going on towards is let's go"", 'start': 160.49, 'duration': 3.12}, {'text': ""over that's a good shockwave three"", 'start': 162.02, 'duration': 2.88}, {'text': 'members of our lives balled in on this', 'start': 163.61, 'duration': 3.03}, {'text': ""one Freddy's blood will available wicked"", 'start': 164.9, 'duration': 3.81}, {'text': 'not gonna get away well flash there no', 'start': 166.64, 'duration': 4.14}, {'text': ""are cannibals let's go just live to stay"", 'start': 168.71, 'duration': 4.41}, {'text': 'that one and that is gonna be a kill for', 'start': 170.78, 'duration': 4.95}, {'text': 'candy panda on wicked everybody from', 'start': 173.12, 'duration': 4.35}, {'text': 'Alliance backing away what a fantastic', 'start': 175.73, 'duration': 4.38}, {'text': ""shockwave from Jesse's Ariana and Al and"", 'start': 177.47, 'duration': 4.14}, {'text': ""because he managed to repel but he's"", 'start': 180.11, 'duration': 2.849}, {'text': 'only gonna blanch tray back in there', 'start': 181.61, 'duration': 2.91}, {'text': ""it's gonna get taken down saw shackles"", 'start': 182.959, 'duration': 3.031}, {'text': 'commemorating once than out three', 'start': 184.52, 'duration': 3.6}, {'text': 'members but in rate is now very low okay', 'start': 185.99, 'duration': 3.719}, {'text': 'no balls coming in straight away jocks', 'start': 188.12, 'duration': 3.36}, {'text': ""into the free maps off I wasn't game"", 'start': 189.709, 'duration': 4.171}, {'text': 'from jezus sets up another two kills', 'start': 191.48, 'duration': 3.99}, {'text': ""maresco don't turn it around Fred"", 'start': 193.88, 'duration': 3.54}, {'text': ""started off as gay moving in so let's go"", 'start': 195.47, 'duration': 3.36}, {'text': ""and he's off and running towards this"", 'start': 197.42, 'duration': 2.94}, {'text': ""one he's going to be too late notes get"", 'start': 198.83, 'duration': 3.0}, {'text': 'into smiley staff the rest of his team', 'start': 200.36, 'duration': 3.42}, {'text': 'to try and delay this one shockwave will', 'start': 201.83, 'duration': 3.5}, {'text': 'be vital in this power', 'start': 203.78, 'duration': 3.08}, {'text': ""that's what they need to learn Tilikum"", 'start': 205.33, 'duration': 3.68}, {'text': 'it', 'start': 206.86, 'duration': 2.15}, {'text': 'secure the bun', 'start': 209.15, 'duration': 3.38}, {'text': 'keep them in the pen one two three four', 'start': 212.84, 'duration': 4.8}, {'text': 'members down just froggen remaining and', 'start': 214.97, 'duration': 4.98}, {'text': 'sk-gaming Kotaro broke the base sets or', 'start': 217.64, 'duration': 4.709}, {'text': 'it can get away there is diversity', 'start': 219.95, 'duration': 3.929}, {'text': ""this is going to be because I've been"", 'start': 222.349, 'duration': 2.481}, {'text': 'like that', 'start': 223.879, 'duration': 3.231}, {'text': 'so much to take down a gigantic turn for', 'start': 224.83, 'duration': 4.67}, {'text': 'cornetist', 'start': 227.11, 'duration': 2.39}, {'text': 'focus away take most boats hours at once', 'start': 231.68, 'duration': 5.82}, {'text': 'I think they can can you can has been', 'start': 236.0, 'duration': 3.81}, {'text': 'left out of tasted or unconscious it for', 'start': 237.5, 'duration': 4.049}, {'text': 'a while and despite the long range', 'start': 239.81, 'duration': 3.509}, {'text': 'engages all the sexual I think that', 'start': 241.549, 'duration': 4.741}, {'text': ""won't delay so much anyways good report"", 'start': 243.319, 'duration': 4.761}, {'text': 'up to this later wallet', 'start': 246.29, 'duration': 4.88}, {'text': ""boy of course our leaps in this let's go"", 'start': 248.08, 'duration': 6.2}, {'text': 'get some warmth in here', 'start': 251.17, 'duration': 3.11}, {'text': 'just leaves on how Tower', 'start': 254.59, 'duration': 3.769}, {'text': 'we got morale and all the columns are', 'start': 264.5, 'duration': 5.71}, {'text': 'different are you detective', 'start': 267.69, 'duration': 4.84}, {'text': ""it's Mario time"", 'start': 270.21, 'duration': 6.72}, {'text': ""and he's division chomping gets it"", 'start': 272.53, 'duration': 8.94}, {'text': ""this'll be real until the retest coming"", 'start': 276.93, 'duration': 6.34}, {'text': 'for centering is God not going to get', 'start': 281.47, 'duration': 2.97}, {'text': ""away from this one there's the flash"", 'start': 283.27, 'duration': 2.91}, {'text': ""let's go to the Coon hide off words"", 'start': 284.44, 'duration': 4.68}, {'text': 'Esqueda move it in or actually going to', 'start': 286.18, 'duration': 4.38}, {'text': 'or Jericho see how they got a doughnut', 'start': 289.12, 'duration': 3.42}, {'text': ""so it's good actually going over ready"", 'start': 290.56, 'duration': 3.57}, {'text': ""then we'll jump in there's a shutdown"", 'start': 292.54, 'duration': 2.52}, {'text': 'budget', 'start': 294.13, 'duration': 2.52}, {'text': 'can they get little stalking around as', 'start': 295.06, 'duration': 3.36}, {'text': ""well all that's all coming behind the"", 'start': 296.65, 'duration': 3.6}, {'text': ""rest of team teepee what's going on one"", 'start': 298.42, 'duration': 3.69}, {'text': ""side there is gesture he's going in for"", 'start': 300.25, 'duration': 4.32}, {'text': 'silver uses the ft eggs all comes down', 'start': 302.11, 'duration': 4.68}, {'text': 'Freddy grind the middle of the cell ever', 'start': 304.57, 'duration': 4.23}, {'text': 'actually flashed away and then damages', 'start': 306.79, 'duration': 4.11}, {'text': ""do it easy men don't get finished off"", 'start': 308.8, 'duration': 4.29}, {'text': 'branches so in the end and Fred will', 'start': 310.9, 'duration': 3.93}, {'text': 'also begin some woman killed by my', 'start': 313.09, 'duration': 4.11}, {'text': 'overpowered us he jumps on him County', 'start': 314.83, 'duration': 4.23}, {'text': 'part of the focus overpowering trouble', 'start': 317.2, 'duration': 3.81}, {'text': 'house lasagnas can he get out yes he', 'start': 319.06, 'duration': 3.36}, {'text': 'does the shield on in towards it but', 'start': 321.01, 'duration': 3.12}, {'text': ""that's rocket in serious trouble and"", 'start': 322.42, 'duration': 4.08}, {'text': 'over bow will just get picked off once', 'start': 324.13, 'duration': 4.92}, {'text': 'again as escape push on down the lane', 'start': 326.5, 'duration': 4.89}, {'text': 'all fans are actually getting charmed up', 'start': 329.05, 'duration': 3.69}, {'text': 'here and throw these in trouble is he', 'start': 331.39, 'duration': 3.03}, {'text': 'gonna be finished up for more in front', 'start': 332.74, 'duration': 2.46}, {'text': 'which will do it', 'start': 334.42, 'duration': 3.24}, {'text': 'ignite is down anyway then jezus will', 'start': 335.2, 'duration': 5.09}, {'text': 'get that one', 'start': 337.66, 'duration': 2.63}, {'text': 'you', 'start': 341.449, 'duration': 2.06}, {'text': 'second place in spring third this time', 'start': 349.34, 'duration': 5.31}, {'text': 'around this is when it really counted', 'start': 352.28, 'duration': 5.52}, {'text': 'bothering yesterday losing out three one', 'start': 354.65, 'duration': 4.89}, {'text': ""two all to fnatic didn't quite get to"", 'start': 357.8, 'duration': 4.679}, {'text': 'all-stars but now okay number three this', 'start': 359.54, 'duration': 5.31}, {'text': 'is a team that is grown and develops', 'start': 362.479, 'duration': 5.401}, {'text': 'throughout the season and I mean at bat', 'start': 364.85, 'duration': 5.66}, {'text': 'below bow', 'start': 367.88, 'duration': 2.63}]"
R9m3,,"[2, 44, 46, 107, 109, 138, 145, 631]",
nKm3,,"[3, 4]",
dVm3,VkeJmgDtRTM,"[0, 1, 105, 534]",
gHm3,VnyiaYt86Ow,"[3, 4, 10, 13, 54]",
LAm3,reCVvJ64Fr4,"[0, 5, 16, 1090]",
5Im3,FgXcFjMd2zc,[239],
Nbm3,J5UEgj_mWoU,"[18, 59, 238, 274, 289, 366]",
