GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
bdOy,79qloWZQwQw,[2297],"[{'text': ""hi everyone it's been about two months"", 'start': 9.5, 'duration': 6.07}, {'text': 'now since i posted my tell-all come out', 'start': 12.059, 'duration': 7.56}, {'text': 'about my my haunting and i was doing a', 'start': 15.57, 'duration': 6.5}, {'text': 'little review on my notes here about', 'start': 19.619, 'duration': 5.67}, {'text': ""what's been happening in my home and i"", 'start': 22.07, 'duration': 6.07}, {'text': 'have quite a few notes about what has', 'start': 25.289, 'duration': 6.181}, {'text': 'been going on i have about five to seven', 'start': 28.14, 'duration': 6.18}, {'text': 'things that happen within like each', 'start': 31.47, 'duration': 5.04}, {'text': ""month and i'd like to go through them"", 'start': 34.32, 'duration': 7.71}, {'text': ""and tell you what's been happening and I"", 'start': 36.51, 'duration': 7.92}, {'text': 'posted that one in May I think it was', 'start': 42.03, 'duration': 5.22}, {'text': ""like May nineteenth and I'm going to go"", 'start': 44.43, 'duration': 6.75}, {'text': 'through these real quickly on my story', 'start': 47.25, 'duration': 9.27}, {'text': ""glasses here um in June um that's when I"", 'start': 51.18, 'duration': 6.87}, {'text': 'had the pot fly out of the dish drainer', 'start': 56.52, 'duration': 6.42}, {'text': 'and also my small Boston Terrier went', 'start': 58.05, 'duration': 7.079}, {'text': 'flying out the window I have no reason', 'start': 62.94, 'duration': 4.499}, {'text': ""why that happened I'll getting to that"", 'start': 65.129, 'duration': 4.411}, {'text': ""maybe in another video I wasn't even"", 'start': 67.439, 'duration': 5.161}, {'text': 'here when that happen I saw an', 'start': 69.54, 'duration': 7.02}, {'text': 'apparition in my laundry room I had my', 'start': 72.6, 'duration': 7.35}, {'text': 'fork hit the plate when I was outside I', 'start': 76.56, 'duration': 5.129}, {'text': ""heard it that's the second time that"", 'start': 79.95, 'duration': 5.16}, {'text': 'happened I also felt fingers running', 'start': 81.689, 'duration': 6.691}, {'text': 'down my back to thirty in the morning I', 'start': 85.11, 'duration': 7.77}, {'text': 'felt something grab my legs and the fan', 'start': 88.38, 'duration': 8.19}, {'text': 'fell while my dog was crossing the', 'start': 92.88, 'duration': 6.12}, {'text': ""kitchen I think there's something after"", 'start': 96.57, 'duration': 5.25}, {'text': ""my dog maybe i'll make a video about"", 'start': 99.0, 'duration': 5.13}, {'text': ""that there's something something after"", 'start': 101.82, 'duration': 6.63}, {'text': 'my one dog here I had my USB external', 'start': 104.13, 'duration': 6.629}, {'text': 'hard drive unplugged from my laptop in', 'start': 108.45, 'duration': 4.14}, {'text': ""the kitchen there's I have a lot of"", 'start': 110.759, 'duration': 4.081}, {'text': 'activity in my kitchen also I had my', 'start': 112.59, 'duration': 5.459}, {'text': 'locked furnace door open something was', 'start': 114.84, 'duration': 5.25}, {'text': 'going on with my phone downstairs I have', 'start': 118.049, 'duration': 6.75}, {'text': 'brand new phones and it said line in', 'start': 120.09, 'duration': 6.989}, {'text': 'youths like somebody was used using it I', 'start': 124.799, 'duration': 4.981}, {'text': 'heard a loud bang in my heating system', 'start': 127.079, 'duration': 4.291}, {'text': ""downstairs I haven't used by heating"", 'start': 129.78, 'duration': 2.789}, {'text': 'system and', 'start': 131.37, 'duration': 2.819}, {'text': 'like nine years for the head electric', 'start': 132.569, 'duration': 4.92}, {'text': 'heat in there was a loud bang and my', 'start': 134.189, 'duration': 4.95}, {'text': 'disabled son heard something in the', 'start': 137.489, 'duration': 4.65}, {'text': ""kitchen he's the one who doesn't even"", 'start': 139.139, 'duration': 9.0}, {'text': 'believe in paranormal stuff he came in', 'start': 142.139, 'duration': 7.83}, {'text': 'and told me that he heard something in', 'start': 148.139, 'duration': 3.811}, {'text': 'the kitchen and that really surprised me', 'start': 149.969, 'duration': 7.231}, {'text': 'and shadows out my back door and oh', 'start': 151.95, 'duration': 7.53}, {'text': ""here's here's something that was really"", 'start': 157.2, 'duration': 5.519}, {'text': 'freaky I was in the kitchen using my', 'start': 159.48, 'duration': 6.75}, {'text': 'laptop and I was getting up and I bumped', 'start': 162.719, 'duration': 6.6}, {'text': 'into one of my cats well I thought it', 'start': 166.23, 'duration': 7.05}, {'text': 'was one of my cats and I looked and', 'start': 169.319, 'duration': 7.681}, {'text': 'there was no cat last year on which I', 'start': 173.28, 'duration': 7.819}, {'text': 'was telling in mykel all haunted video I', 'start': 177.0, 'duration': 6.689}, {'text': 'we were brushed up against a spirit cat', 'start': 181.099, 'duration': 5.17}, {'text': 'my disabled son and I and my oldest son', 'start': 183.689, 'duration': 6.211}, {'text': 'saw an apparition of a cat but just a', 'start': 186.269, 'duration': 5.64}, {'text': 'couple of weeks ago I was getting up', 'start': 189.9, 'duration': 4.08}, {'text': 'from the the kitchen table and I had my', 'start': 191.909, 'duration': 5.1}, {'text': 'shorts on and I felt the fur of the cat', 'start': 193.98, 'duration': 5.149}, {'text': 'and I thought it was one of my cats and', 'start': 197.009, 'duration': 5.31}, {'text': 'and quickly looked and there was no cat', 'start': 199.129, 'duration': 5.35}, {'text': 'at all not in the kitchen not underneath', 'start': 202.319, 'duration': 4.38}, {'text': 'the table or anything and I was just', 'start': 204.479, 'duration': 6.241}, {'text': 'awestruck I was like what the hell you', 'start': 206.699, 'duration': 6.481}, {'text': 'know I felt the fur and in the kitchen', 'start': 210.72, 'duration': 4.65}, {'text': 'if the years ago is when one of our cats', 'start': 213.18, 'duration': 4.739}, {'text': 'Garfield died you know I was with them', 'start': 215.37, 'duration': 4.019}, {'text': ""you know we couldn't get ahold of our"", 'start': 217.919, 'duration': 3.75}, {'text': 'bit or anything and laying with him on', 'start': 219.389, 'duration': 3.69}, {'text': 'the floor and it was only just a foot', 'start': 221.669, 'duration': 3.63}, {'text': 'away from where this happened I thought', 'start': 223.079, 'duration': 4.62}, {'text': 'you got to be kidding me I actually felt', 'start': 225.299, 'duration': 6.601}, {'text': 'the firm the spirit cat that that was', 'start': 227.699, 'duration': 6.9}, {'text': 'just the freakiest thing this just', 'start': 231.9, 'duration': 4.559}, {'text': 'happened a couple of weeks ago right', 'start': 234.599, 'duration': 4.441}, {'text': 'just get my glasses on my glasses were', 'start': 236.459, 'duration': 5.161}, {'text': ""broken that's why I'm holding them get"", 'start': 239.04, 'duration': 7.529}, {'text': 'my glasses fixed okay Oh boilies i', 'start': 241.62, 'duration': 6.899}, {'text': 'bought some some doilies from my end', 'start': 246.569, 'duration': 6.06}, {'text': 'tables and they were one of them was', 'start': 248.519, 'duration': 8.43}, {'text': 'pulled half way off with my my little', 'start': 252.629, 'duration': 6.33}, {'text': 'knick-knack on it and it was almost like', 'start': 256.949, 'duration': 5.1}, {'text': 'a little spirit Kid on pulling it off', 'start': 258.959, 'duration': 6.651}, {'text': 'the end table and', 'start': 262.049, 'duration': 3.561}, {'text': 'laptop cord was pulled in half a java if', 'start': 266.719, 'duration': 6.19}, {'text': 'you have a laptop you know what kind of', 'start': 271.199, 'duration': 4.051}, {'text': 'cord that comes with it comes in two', 'start': 272.909, 'duration': 6.6}, {'text': 'pieces I was uh I came into the living', 'start': 275.25, 'duration': 6.18}, {'text': 'room with my laptop and on used it for a', 'start': 279.509, 'duration': 3.571}, {'text': 'half an hour so I took it back into the', 'start': 281.43, 'duration': 3.93}, {'text': 'kitchen to plug it back into the you', 'start': 283.08, 'duration': 3.57}, {'text': 'know to charge it back in and I was', 'start': 285.36, 'duration': 2.94}, {'text': ""wondering why it wasn't being charged up"", 'start': 286.65, 'duration': 4.979}, {'text': 'and and I was wondering you know', 'start': 288.3, 'duration': 7.98}, {'text': 'wondering what was going on and why it', 'start': 291.629, 'duration': 6.271}, {'text': ""wasn't being charged and I found out"", 'start': 296.28, 'duration': 4.53}, {'text': ""that the cord wasn't you know it was a"", 'start': 297.9, 'duration': 7.35}, {'text': ""being dug it was on flood and that's the"", 'start': 300.81, 'duration': 8.009}, {'text': 'second time that happened and uh what', 'start': 305.25, 'duration': 10.439}, {'text': 'else we have here and oh sorry about the', 'start': 308.819, 'duration': 8.761}, {'text': 'editing my dog was barking there and', 'start': 315.689, 'duration': 5.1}, {'text': 'just a few days ago was by the kitchen', 'start': 317.58, 'duration': 6.48}, {'text': 'sink and I heard a loud I was doing the', 'start': 320.789, 'duration': 5.25}, {'text': ""dishes and then I heard a loud man's"", 'start': 324.06, 'duration': 5.759}, {'text': 'voice and I was like freaking wow that', 'start': 326.039, 'duration': 5.401}, {'text': 'that just like totally scared the shit', 'start': 329.819, 'duration': 4.141}, {'text': 'out of me I knew what I heard but I', 'start': 331.44, 'duration': 4.409}, {'text': ""didn't know what the words were anything"", 'start': 333.96, 'duration': 4.109}, {'text': 'but it was just like somebody was like', 'start': 335.849, 'duration': 6.091}, {'text': 'right in my ear freakin Wow I mean I', 'start': 338.069, 'duration': 5.671}, {'text': ""don't I never had that before I mean I"", 'start': 341.94, 'duration': 5.37}, {'text': 'had something scream in my ear I think', 'start': 343.74, 'duration': 6.45}, {'text': 'it was two thousand to wear something', 'start': 347.31, 'duration': 6.539}, {'text': 'screamed in my ear and both me up and I', 'start': 350.19, 'duration': 5.159}, {'text': 'should have listened to it because it', 'start': 353.849, 'duration': 6.54}, {'text': 'was almost like something was let me be', 'start': 355.349, 'duration': 6.69}, {'text': 'aware of what was going to happen', 'start': 360.389, 'duration': 5.221}, {'text': 'because 45 minutes later my smoke alarm', 'start': 362.039, 'duration': 6.09}, {'text': 'went off and I was having a malfunction', 'start': 365.61, 'duration': 6.51}, {'text': 'in my furnace room where it was like a', 'start': 368.129, 'duration': 6.391}, {'text': 'circus here I had four fire engines and', 'start': 372.12, 'duration': 4.62}, {'text': 'they were it was almost going to be a', 'start': 374.52, 'duration': 5.549}, {'text': 'fire so whatever spirit was here yelling', 'start': 376.74, 'duration': 9.179}, {'text': 'in my ear to try to wake me up yeah I', 'start': 380.069, 'duration': 7.831}, {'text': 'should have listened because I fell back', 'start': 385.919, 'duration': 3.96}, {'text': 'to sleep after this thing screamed in my', 'start': 387.9, 'duration': 4.789}, {'text': 'ear because I just outside I was like', 'start': 389.879, 'duration': 5.81}, {'text': ""naked I didn't have no clothes on you"", 'start': 392.689, 'duration': 6.03}, {'text': 'know this my house was full of it was', 'start': 395.689, 'duration': 5.58}, {'text': ""nothing but black that's how sick and"", 'start': 398.719, 'duration': 5.19}, {'text': ""that smoking my house was I don't even"", 'start': 401.269, 'duration': 4.05}, {'text': ""get my animals out they wouldn't even"", 'start': 403.909, 'duration': 4.41}, {'text': 'let me come back in to get my animals I', 'start': 405.319, 'duration': 5.13}, {'text': 'my animals prison killed it was so bad', 'start': 408.319, 'duration': 4.95}, {'text': 'but yeah I mean maybe I should listen to', 'start': 410.449, 'duration': 5.69}, {'text': 'these spirits whatever they have to say', 'start': 413.269, 'duration': 5.16}, {'text': 'but yeah if I think of anything else you', 'start': 416.139, 'duration': 3.37}, {'text': 'know what I was just looking through', 'start': 418.429, 'duration': 3.0}, {'text': ""these notes real quick and there's a lot"", 'start': 419.509, 'duration': 4.17}, {'text': 'more but this is getting pretty lengthy', 'start': 421.429, 'duration': 3.84}, {'text': ""and I know we just guys don't even like"", 'start': 423.679, 'duration': 4.74}, {'text': ""they'll listen to blinky things but ok"", 'start': 425.269, 'duration': 4.47}, {'text': ""I'm going to let you go but that's a"", 'start': 428.419, 'duration': 2.85}, {'text': ""quick update about what's been going on"", 'start': 429.739, 'duration': 4.71}, {'text': ""for the past two months and I'll make"", 'start': 431.269, 'duration': 6.21}, {'text': 'some more things and keep you update', 'start': 434.449, 'duration': 6.89}, {'text': ""about what's going on ok see you later"", 'start': 437.479, 'duration': 3.86}]"
3iOy,z2nIY0ob3z4,"[5, 49, 80, 127]",
oyOy,,"[0, 1, 489]",
YWOy,K-N0kSn0OuI,[14],
ZDOy,1a42lSlL5zo,"[6, 8]",
FEOy,bnb5Jl9oLVY,"[6, 8]",
Z4Oy,dLkZA2N42hM,"[0, 52, 70]",
FVOy,2cQ_iYf1ai8,"[6, 41]",
L1Oy,,[861],
AROy,heBPfLtrCeQ,"[730, 824]",
ymOy,mtZ9VsG0dC4,"[0, 1, 19, 258, 460, 891, 1240, 1355, 1632]",
2oOy,muJaOl878w4,"[0, 1, 438]",
thOy,n-8qe6WOPK4,[252],
jLOy,YhVN51ZbDpU,"[2, 17, 19, 30, 55, 1073]",
dYOy,YmXbA6G-5D8,"[0, 1, 36, 142]",
58Oy,ojLGE9-LTDk,"[0, 5]",
aNOy,kVfizRB6y80,"[11, 886]","[{'text': ""Jim's I changed life change the plaque"", 'start': 0.0, 'duration': 5.24}, {'text': 'hi their voices I was going to talk', 'start': 34.76, 'duration': 7.75}, {'text': 'about something totally different but', 'start': 40.5, 'duration': 4.98}, {'text': ""you just got to witness something that's"", 'start': 42.51, 'duration': 4.5}, {'text': ""far more important so I'm going to talk"", 'start': 45.48, 'duration': 4.44}, {'text': ""about that it's called permission you"", 'start': 47.01, 'duration': 6.24}, {'text': 'have permission Here I am about to film', 'start': 49.92, 'duration': 5.909}, {'text': 'something and these two girls come to', 'start': 53.25, 'duration': 3.809}, {'text': 'the top of the mountain which totally', 'start': 55.829, 'duration': 2.701}, {'text': ""surprised me because I didn't expect"", 'start': 57.059, 'duration': 4.59}, {'text': 'anybody but me to be up here today the', 'start': 58.53, 'duration': 6.15}, {'text': 'road is closed the trails are muddy and', 'start': 61.649, 'duration': 6.631}, {'text': 'snow in parts and it just totally caught', 'start': 64.68, 'duration': 5.16}, {'text': 'me by surprise but I was embarrassed', 'start': 68.28, 'duration': 5.01}, {'text': 'because I was filming I was embarrassed', 'start': 69.84, 'duration': 5.49}, {'text': 'to have a camera pointing at my face and', 'start': 73.29, 'duration': 5.82}, {'text': 'have somebody see me doing that I felt', 'start': 75.33, 'duration': 6.45}, {'text': ""like I didn't have permission this is"", 'start': 79.11, 'duration': 4.32}, {'text': 'actually really relevant to something', 'start': 81.78, 'duration': 3.479}, {'text': 'that just happened to me I was coaching', 'start': 83.43, 'duration': 4.229}, {'text': 'somebody earlier in the week and I was', 'start': 85.259, 'duration': 4.29}, {'text': 'laying out the process and the tools and', 'start': 87.659, 'duration': 4.131}, {'text': 'the steps they just kept rejecting them', 'start': 89.549, 'duration': 4.741}, {'text': 'yeah I had lay them how to get he would', 'start': 91.79, 'duration': 4.329}, {'text': 'reject them so after quite a bit of back', 'start': 94.29, 'duration': 4.05}, {'text': 'and forth I finally said what do you', 'start': 96.119, 'duration': 4.771}, {'text': 'want why do you want me as a coach you', 'start': 98.34, 'duration': 4.68}, {'text': 'keep rejecting all my advice and all the', 'start': 100.89, 'duration': 3.81}, {'text': ""steps that I'm giving you just saying no"", 'start': 103.02, 'duration': 4.8}, {'text': 'no no no and what it came down to as', 'start': 104.7, 'duration': 7.65}, {'text': 'they said I want your permission I was', 'start': 107.82, 'duration': 8.009}, {'text': ""like whoa wait a minute you don't need"", 'start': 112.35, 'duration': 6.03}, {'text': 'my permission they said yes I do I need', 'start': 115.829, 'duration': 6.031}, {'text': 'your permission they wanted me as their', 'start': 118.38, 'duration': 6.18}, {'text': 'coach to give them permission to do', 'start': 121.86, 'duration': 5.39}, {'text': 'something permission to feel something', 'start': 124.56, 'duration': 4.949}, {'text': 'permission to behave a certain way', 'start': 127.25, 'duration': 3.93}, {'text': 'permission to think a certain way', 'start': 129.509, 'duration': 3.731}, {'text': ""because they didn't believe the"", 'start': 131.18, 'duration': 4.88}, {'text': 'was okay or acceptable for them to do', 'start': 133.24, 'duration': 5.1}, {'text': 'that on their own just like a few', 'start': 136.06, 'duration': 3.87}, {'text': ""moments ago I didn't feel that it was"", 'start': 138.34, 'duration': 5.07}, {'text': 'acceptable for me to film myself while', 'start': 139.93, 'duration': 5.82}, {'text': 'two people walked by I was embarrassed', 'start': 143.41, 'duration': 4.41}, {'text': ""they didn't have permission but if"", 'start': 145.75, 'duration': 3.27}, {'text': 'someone else was here with me and they', 'start': 147.82, 'duration': 2.31}, {'text': 'were holding the camera I would have', 'start': 149.02, 'duration': 5.01}, {'text': 'been fine but alone I felt awkward and I', 'start': 150.13, 'duration': 5.94}, {'text': 'think this is one of the places that so', 'start': 154.03, 'duration': 4.29}, {'text': 'many of us get stopped in life myself', 'start': 156.07, 'duration': 4.68}, {'text': ""included we're waiting for permission to"", 'start': 158.32, 'duration': 4.29}, {'text': ""do something we're waiting for"", 'start': 160.75, 'duration': 4.14}, {'text': ""permission to be great we're waiting for"", 'start': 162.61, 'duration': 4.62}, {'text': ""permission to take the first step we're"", 'start': 164.89, 'duration': 4.74}, {'text': 'waiting for permission to tackle a goal', 'start': 167.23, 'duration': 5.07}, {'text': ""that's way bigger than us but that"", 'start': 169.63, 'duration': 5.37}, {'text': 'eventually through growth we might', 'start': 172.3, 'duration': 4.98}, {'text': ""actually accomplish but right now it's"", 'start': 175.0, 'duration': 5.31}, {'text': 'miles ahead of us more embarrassed to', 'start': 177.28, 'duration': 4.58}, {'text': ""admit that that's what we want or"", 'start': 180.31, 'duration': 3.75}, {'text': ""embarrassed to admit that's who we want"", 'start': 181.86, 'duration': 6.43}, {'text': 'to become so we look for permission from', 'start': 184.06, 'duration': 6.99}, {'text': 'a parent or from an authority figure or', 'start': 188.29, 'duration': 6.09}, {'text': ""from a coach to say yes it's okay to go"", 'start': 191.05, 'duration': 6.6}, {'text': ""for your dreams yes it's okay to be a"", 'start': 194.38, 'duration': 5.7}, {'text': ""full expression of yourself yes it's"", 'start': 197.65, 'duration': 4.26}, {'text': 'okay to take on something really big', 'start': 200.08, 'duration': 3.66}, {'text': ""it's okay to take on a goal that's"", 'start': 201.91, 'duration': 5.3}, {'text': 'totally ludicrous because you just might', 'start': 203.74, 'duration': 8.07}, {'text': 'get there someday if you take the little', 'start': 207.21, 'duration': 9.03}, {'text': 'steps over and over and over again', 'start': 211.81, 'duration': 8.04}, {'text': 'people often ask me what my job is and I', 'start': 216.24, 'duration': 4.99}, {'text': ""don't know how to answer that question I"", 'start': 219.85, 'duration': 3.15}, {'text': ""really don't especially when I'm"", 'start': 221.23, 'duration': 3.09}, {'text': 'crossing the border like what do you do', 'start': 223.0, 'duration': 2.97}, {'text': ""sir what's your occupation I'm like I"", 'start': 224.32, 'duration': 5.51}, {'text': ""don't know I'm an athlete coach I'm a"", 'start': 225.97, 'duration': 8.82}, {'text': 'health advocate I make videos I give', 'start': 229.83, 'duration': 7.45}, {'text': ""talks I don't know I I don't what is my"", 'start': 234.79, 'duration': 5.01}, {'text': 'job I often feel embarrassed about what', 'start': 237.28, 'duration': 4.92}, {'text': ""I do not because I don't think it's"", 'start': 239.8, 'duration': 3.75}, {'text': ""important and not because I don't think"", 'start': 242.2, 'duration': 3.6}, {'text': ""it has an impact but just because it's"", 'start': 243.55, 'duration': 5.22}, {'text': ""not part of the norm the standard I'm in"", 'start': 245.8, 'duration': 6.87}, {'text': ""my mid 40s now and I don't make much"", 'start': 248.77, 'duration': 6.24}, {'text': ""money at all so I often feel like I'm"", 'start': 252.67, 'duration': 4.11}, {'text': 'going to be judged for doing this like', 'start': 255.01, 'duration': 3.93}, {'text': 'part of my job today the biggest part of', 'start': 256.78, 'duration': 4.079}, {'text': 'my job today is running out Mount', 'start': 258.94, 'duration': 5.49}, {'text': ""Greylock that's my job but yet I feel"", 'start': 260.859, 'duration': 5.161}, {'text': 'like I need permission to do it i feel', 'start': 264.43, 'duration': 2.4}, {'text': ""like i'm going to be"", 'start': 266.02, 'duration': 3.06}, {'text': 'justify the people around me by my', 'start': 266.83, 'duration': 5.88}, {'text': 'family for going to this kind of work', 'start': 269.08, 'duration': 6.059}, {'text': ""even though it's really hard work this"", 'start': 272.71, 'duration': 5.329}, {'text': 'is my job I have a right to do this', 'start': 275.139, 'duration': 5.011}, {'text': 'whatever your goal is you have a right', 'start': 278.039, 'duration': 3.461}, {'text': ""to it you don't need anybody's"", 'start': 280.15, 'duration': 5.25}, {'text': 'permission you just need yours is it the', 'start': 281.5, 'duration': 7.129}, {'text': ""thing that's right for you if so do it"", 'start': 285.4, 'duration': 6.329}, {'text': ""don't wait for permission to start don't"", 'start': 288.629, 'duration': 5.141}, {'text': 'wait for permission to be everything', 'start': 291.729, 'duration': 4.74}, {'text': 'that you can be so get out there and', 'start': 293.77, 'duration': 5.79}, {'text': 'take the first step today give yourself', 'start': 296.469, 'duration': 6.891}, {'text': ""permission to do it it's your time"", 'start': 299.56, 'duration': 3.8}, {'text': 'you', 'start': 337.05, 'duration': 2.089}]"
