meJq,zQ0ojdDLIwQ,"[31, 40]",
r2G7,MVhGq6PDOPU,"[100, 356, 1223, 1906]","[{'text': ""Hey what's going on guys it's Vince"", 'start': 4.21, 'duration': 4.33}, {'text': ""domani here and I'm going to be taking"", 'start': 6.47, 'duration': 3.99}, {'text': 'you through a Power Core circuit circuit', 'start': 8.54, 'duration': 4.8}, {'text': 'today series of unique exercises you may', 'start': 10.46, 'duration': 5.79}, {'text': 'have seen I may have not but really good', 'start': 13.34, 'duration': 4.8}, {'text': ""they're going to be extremely powerful"", 'start': 16.25, 'duration': 3.54}, {'text': 'if you do them back-to-back the back you', 'start': 18.14, 'duration': 3.81}, {'text': 'can do these after your cardio workouts', 'start': 19.79, 'duration': 4.92}, {'text': 'you can do these at the end of any of', 'start': 21.95, 'duration': 4.379}, {'text': 'your weight training days no matter how', 'start': 24.71, 'duration': 3.75}, {'text': ""your program split up and there you're"", 'start': 26.329, 'duration': 3.18}, {'text': 'really going to focus on engaging the', 'start': 28.46, 'duration': 3.42}, {'text': 'core not the surface abdominals the', 'start': 29.509, 'duration': 3.691}, {'text': ""transversus the stuff that's underneath"", 'start': 31.88, 'duration': 3.6}, {'text': ""stuff that people call the core it's the"", 'start': 33.2, 'duration': 3.63}, {'text': 'stuff that really keeps your pelvis in', 'start': 35.48, 'duration': 2.58}, {'text': 'alignment helps prevent lower back', 'start': 36.83, 'duration': 3.78}, {'text': ""problems and stuff that's going to you"", 'start': 38.06, 'duration': 5.01}, {'text': ""know make you strong as a bear so let's"", 'start': 40.61, 'duration': 5.07}, {'text': 'get started if this is the first time', 'start': 43.07, 'duration': 4.08}, {'text': ""doing this don't worry too much about"", 'start': 45.68, 'duration': 3.75}, {'text': 'the number of sets you do or the number', 'start': 47.15, 'duration': 4.2}, {'text': 'of reps more focus on how these', 'start': 49.43, 'duration': 4.53}, {'text': 'exercises are supposed to feel alright', 'start': 51.35, 'duration': 5.19}, {'text': 'so I really focus on keeping your abs', 'start': 53.96, 'duration': 4.44}, {'text': 'pulled in tight really feel them', 'start': 56.54, 'duration': 3.6}, {'text': ""contract keep them make sure you're"", 'start': 58.4, 'duration': 4.14}, {'text': 'feeling them engaged make sure that you', 'start': 60.14, 'duration': 5.4}, {'text': ""feel like they're firing and you know"", 'start': 62.54, 'duration': 4.5}, {'text': 'then from there we can figure out some', 'start': 65.54, 'duration': 3.06}, {'text': ""reps and sets when this is over so let's"", 'start': 67.04, 'duration': 2.7}, {'text': 'just worry about the technique for now', 'start': 68.6, 'duration': 2.729}, {'text': ""so we're going to do some medicine ball"", 'start': 69.74, 'duration': 4.47}, {'text': 'rotations again focus more on the speed', 'start': 71.329, 'duration': 4.951}, {'text': 'full range of motion before you start', 'start': 74.21, 'duration': 4.53}, {'text': 'you know letting your ego get to you and', 'start': 76.28, 'duration': 4.049}, {'text': 'you start going heavier and heavier when', 'start': 78.74, 'duration': 3.329}, {'text': ""it's not necessary so this is a nice"", 'start': 80.329, 'duration': 4.47}, {'text': 'light eight pound ball start it up here', 'start': 82.069, 'duration': 5.04}, {'text': ""and we're going to do a woodchopper"", 'start': 84.799, 'duration': 3.99}, {'text': 'medicine ball rotation whatever you want', 'start': 87.109, 'duration': 10.5}, {'text': 'to call it really work your core like', 'start': 88.789, 'duration': 11.87}, {'text': 'through the letter X', 'start': 97.609, 'duration': 3.05}, {'text': 'should feel a nice deep tightening', 'start': 117.49, 'duration': 4.84}, {'text': 'sensation through not just the front of', 'start': 120.08, 'duration': 4.37}, {'text': 'your abdominals but through the sides', 'start': 122.33, 'duration': 3.899}, {'text': ""we're going to go through the other side"", 'start': 124.45, 'duration': 4.0}, {'text': ""always start up here we're going down"", 'start': 126.229, 'duration': 6.321}, {'text': 'with the force forces downward', 'start': 128.45, 'duration': 4.1}, {'text': 'well', 'start': 147.34, 'duration': 2.6}, {'text': 'these are known as sacs and bends nice', 'start': 152.14, 'duration': 5.96}, {'text': 'and tall', 'start': 155.65, 'duration': 2.45}, {'text': 'with those if you want to you want to', 'start': 186.61, 'duration': 5.409}, {'text': ""find your obliques because if you don't"", 'start': 189.65, 'duration': 4.05}, {'text': ""you'll find that other muscles take over"", 'start': 192.019, 'duration': 4.89}, {'text': 'like your lower back glutes so try and', 'start': 193.7, 'duration': 5.759}, {'text': 'find your obliques and ladder abdominal', 'start': 196.909, 'duration': 4.41}, {'text': 'muscles and get them engaged really', 'start': 199.459, 'duration': 6.291}, {'text': ""focus on firing them that's another one"", 'start': 201.319, 'duration': 4.431}, {'text': ""while we're on the theme for lateral"", 'start': 206.14, 'duration': 5.89}, {'text': ""flexion obliques we'll do another"", 'start': 208.76, 'duration': 8.149}, {'text': 'variation you can do these off your hand', 'start': 212.03, 'duration': 4.879}, {'text': 'and just drop your hips and come up', 'start': 220.329, 'duration': 5.011}, {'text': ""that's too advanced you can also go down"", 'start': 231.34, 'duration': 7.95}, {'text': 'here work from here look at work through', 'start': 234.319, 'duration': 9.56}, {'text': 'here if you need to take your fingers', 'start': 239.29, 'duration': 4.589}, {'text': ""I switch you out don't forget to do both"", 'start': 248.03, 'duration': 11.04}, {'text': ""sides first I'm feeling these don't"", 'start': 252.23, 'duration': 11.55}, {'text': 'worry about the number of reps just', 'start': 259.07, 'duration': 8.18}, {'text': 'focus on waking up these new muscles', 'start': 263.78, 'duration': 3.47}, {'text': 'you can even do these at the start of', 'start': 282.22, 'duration': 3.12}, {'text': ""your workout as a warm-up if you don't"", 'start': 283.96, 'duration': 2.34}, {'text': 'like doing cardio', 'start': 285.34, 'duration': 3.39}, {'text': ""you notice I'm sweating they're just a"", 'start': 286.3, 'duration': 6.27}, {'text': 'few minutes of some core exercises and', 'start': 288.73, 'duration': 7.44}, {'text': ""we're going to finish off with something"", 'start': 292.57, 'duration': 4.92}, {'text': ""that probably doesn't get labeled as a"", 'start': 296.17, 'duration': 3.96}, {'text': 'core exercise too often except for some', 'start': 297.49, 'duration': 6.48}, {'text': 'publications again these are pretty', 'start': 300.13, 'duration': 5.52}, {'text': 'light you want to go a pretty heavy', 'start': 303.97, 'duration': 2.82}, {'text': ""weight I'd probably want to go with"", 'start': 305.65, 'duration': 5.13}, {'text': ""maybe 100 pound dumbbells but we're"", 'start': 306.79, 'duration': 5.19}, {'text': ""going to do what's called a farmers walk"", 'start': 310.78, 'duration': 4.14}, {'text': ""and if you're in a room like this you're"", 'start': 311.98, 'duration': 5.07}, {'text': 'going to stay nice and tall and this is', 'start': 314.92, 'duration': 4.08}, {'text': 'really going to engage your core again', 'start': 317.05, 'duration': 3.24}, {'text': 'you can imagine if these are heavier and', 'start': 319.0, 'duration': 3.12}, {'text': ""have to walk a lot slower you're just"", 'start': 320.29, 'duration': 9.6}, {'text': 'going to walk I just focus on staying', 'start': 322.12, 'duration': 11.45}, {'text': 'nice and tall chest off', 'start': 329.89, 'duration': 3.68}, {'text': 'you know find this works your forearms', 'start': 335.9, 'duration': 4.32}, {'text': 'your traps but it really engages your', 'start': 337.76, 'duration': 5.51}, {'text': 'core if you pick the right weight', 'start': 340.22, 'duration': 3.05}, {'text': ""you're not going to feel it in your core"", 'start': 352.53, 'duration': 4.89}, {'text': ""like you're doing you know lots of"", 'start': 355.31, 'duration': 4.32}, {'text': 'crunches and your hives are burning but', 'start': 357.42, 'duration': 4.34}, {'text': ""it's really really going to work"", 'start': 359.63, 'duration': 7.6}, {'text': ""finish off just one more we're going to"", 'start': 361.76, 'duration': 9.04}, {'text': 'do planes but with one arm out one leg', 'start': 367.23, 'duration': 5.52}, {'text': 'out so just get yourself in a push-up', 'start': 370.8, 'duration': 3.96}, {'text': ""position you're going to focus on"", 'start': 372.75, 'duration': 10.56}, {'text': 'increase lifting one leg and one arm try', 'start': 374.76, 'duration': 11.58}, {'text': 'and keep your try not to rotate kind of', 'start': 383.31, 'duration': 7.53}, {'text': ""I'm kind of rotating trying to keep your"", 'start': 386.34, 'duration': 7.2}, {'text': 'whole body square as little movement as', 'start': 390.84, 'duration': 5.1}, {'text': 'possible then off to the modification on', 'start': 393.54, 'duration': 5.19}, {'text': 'those is to go like this and just to', 'start': 395.94, 'duration': 8.52}, {'text': 'lift one at a time over you know 30 to', 'start': 398.73, 'duration': 7.62}, {'text': '60 seconds of that the core is going to', 'start': 404.46, 'duration': 4.05}, {'text': 'be really engaged so now that when you', 'start': 406.35, 'duration': 4.41}, {'text': 'go out on the gym floor if you choose to', 'start': 408.51, 'duration': 3.51}, {'text': 'do these before you wait', 'start': 410.76, 'duration': 2.94}, {'text': ""you're going to be pretty warmed up your"", 'start': 412.02, 'duration': 3.39}, {'text': 'core is going to be firing getting more', 'start': 413.7, 'duration': 3.78}, {'text': 'stability in your hips and just kind of', 'start': 415.41, 'duration': 5.19}, {'text': ""safe your workouts on again that's just"", 'start': 417.48, 'duration': 5.13}, {'text': 'a little bit of the kind of stuff I', 'start': 420.6, 'duration': 3.81}, {'text': 'teach if you want a complete', 'start': 422.61, 'duration': 4.29}, {'text': 'step-by-step program for building muscle', 'start': 424.41, 'duration': 4.68}, {'text': 'or for losing fat just check out the', 'start': 426.9, 'duration': 4.65}, {'text': ""website address below and you'll be able"", 'start': 429.09, 'duration': 3.75}, {'text': ""to find exactly what you're looking for"", 'start': 431.55, 'duration': 3.81}, {'text': ""so again that's tall highlight"", 'start': 432.84, 'duration': 4.32}, {'text': 'information I teach is without drugs', 'start': 435.36, 'duration': 4.62}, {'text': 'without bogus supplements and doing it', 'start': 437.16, 'duration': 3.96}, {'text': ""in less time then you're probably used"", 'start': 439.98, 'duration': 5.21}, {'text': 'to training so have fun see you guys', 'start': 441.12, 'duration': 4.07}, {'text': 'you', 'start': 451.009, 'duration': 2.06}]"
SdG7,MaRgIW_91RI,[4],
g3G7,dSgvRg0oEjY,"[3, 6]",
OHG7,d_7PyQ3Rq2s,"[0, 1, 19, 48, 258, 1991]",
5AG7,d_hUAnPMqrs,[8],
vlG7,GbLR9Y4w2NE,"[2, 75, 296, 525, 632]",
orG7,Ghv6biDrKDo,"[68, 907, 1328, 1417]",
RpG7,ceNCnksFpRI,[66],
pGG7,MJfPmJ92UJ8,[33],
1mG7,tmefGrY1s7o,"[2, 44, 162, 186]",
KhG7,PRhoXDt2Vco,"[92, 1737]",
icG7,PSvph6eWxIs,[106],
N1G7,PS_oTjoaoUY,"[0, 1, 27]",
ULG7,PWg9gKdKkpE,[25],
mzG7,64sgNULZf5o,[8],
StG7,,[210],
HWG7,,"[0, 1, 35, 230, 1169, 1235, 1836, 1980]",
OyG7,spFIy6gx0OY,[2700],
7IG7,svHLHNXiZng,[2117],
Q5G7,57sRyHsrVbA,"[0, 1, 436, 484, 1403]",
J3G7,59-2a86dum0,"[2, 7, 171, 266, 531, 575, 1330, 2514, 3744]",
SEG7,vGNoBNvW5p0,"[3, 6]",
GJG7,g9E88f2AaOE,"[4, 9, 10, 34]",
IuG7,gA_93v0oL0k,"[2, 7, 17, 3404]",
aNG7,6nojDKM2cQ4,[353],
sSG7,6oCPF8QRe5E,"[0, 1, 42, 487, 890]","[{'text': 'receiving incoming transmission comm', 'start': 8.809, 'duration': 8.381}, {'text': ""link established hey what's up man get"", 'start': 11.61, 'duration': 7.55}, {'text': 'your refugees tucked in nice and tight', 'start': 17.19, 'duration': 4.259}, {'text': 'provide you can sidestep any more', 'start': 19.16, 'duration': 4.15}, {'text': 'surprises from our Confederate friends', 'start': 21.449, 'duration': 3.181}, {'text': 'and we can keep away from those critters', 'start': 23.31, 'duration': 4.289}, {'text': 'they should have an easy time priority', 'start': 24.63, 'duration': 5.549}, {'text': 'alert backwater station under attack by', 'start': 27.599, 'duration': 5.971}, {'text': 'unknown alien organisms distress beacon', 'start': 30.179, 'duration': 7.021}, {'text': 'activated at 0 658 alerting Confederate', 'start': 33.57, 'duration': 6.6}, {'text': 'headquarters on Tarsonis standby for', 'start': 37.2, 'duration': 5.64}, {'text': ""incoming transmission oh we've already"", 'start': 40.17, 'duration': 4.5}, {'text': 'received a distress beacon from', 'start': 42.84, 'duration': 4.98}, {'text': ""backwater and we'll take care of it you"", 'start': 44.67, 'duration': 6.03}, {'text': ""just sit tight you'll be notified if"", 'start': 47.82, 'duration': 4.469}, {'text': ""there's anything we think you need to"", 'start': 50.7, 'duration': 5.55}, {'text': 'know damn listen if we wait for', 'start': 52.289, 'duration': 6.121}, {'text': 'Confederate reinforcements that stations', 'start': 56.25, 'duration': 4.92}, {'text': ""dust I'll hit out there now do what I"", 'start': 58.41, 'duration': 5.16}, {'text': ""can you sit in some militia and we'll"", 'start': 61.17, 'duration': 6.319}, {'text': 'save those folks trust me', 'start': 63.57, 'duration': 3.919}, {'text': 'glad to see you boys Tammy kick some', 'start': 75.33, 'duration': 11.94}, {'text': 'serious butt go ahead commander this', 'start': 78.6, 'duration': 13.55}, {'text': 'should be good what the hell is that', 'start': 87.27, 'duration': 9.32}, {'text': 'looks like the ground there is alive', 'start': 92.15, 'duration': 4.44}, {'text': ""this is Jimmy fun for the rest we've"", 'start': 108.89, 'duration': 12.97}, {'text': 'been holed up and he fuckin for daytime', 'start': 120.27, 'duration': 10.47}, {'text': 'for the third this is Jimmy these things', 'start': 121.86, 'duration': 10.95}, {'text': 'have been out here a while but they', 'start': 130.74, 'duration': 4.76}, {'text': 'could be produced', 'start': 132.81, 'duration': 2.69}, {'text': 'catalyzed orders captain three 480 right', 'start': 139.299, 'duration': 12.55}, {'text': 'away here Roger a fiery oh go ahead', 'start': 146.659, 'duration': 7.521}, {'text': 'commander', 'start': 151.849, 'duration': 2.331}, {'text': 'not enough minerals', 'start': 169.989, 'duration': 3.811}, {'text': ""he's me boy"", 'start': 184.62, 'duration': 3.63}, {'text': 'your forces', 'start': 203.9, 'duration': 3.51}, {'text': 'this commander', 'start': 218.29, 'duration': 3.48}, {'text': 'what the hell do they do to that command', 'start': 228.28, 'duration': 5.28}, {'text': ""center whatever it is it ain't natural"", 'start': 231.14, 'duration': 5.629}, {'text': 'party boys', 'start': 233.56, 'duration': 3.209}, {'text': 'receiving incoming transmission Marshall', 'start': 267.43, 'duration': 6.52}, {'text': 'Rena by destroying the vinyl Confederate', 'start': 270.32, 'duration': 6.21}, {'text': 'installation you and your men have', 'start': 273.95, 'duration': 6.6}, {'text': 'violated standing colonial law as a', 'start': 276.53, 'duration': 6.23}, {'text': ""right now you're all under arrest I"", 'start': 280.55, 'duration': 5.49}, {'text': 'suggest you throw down your weapons and', 'start': 282.76, 'duration': 6.94}, {'text': 'come peaceably are you out of your mind', 'start': 286.04, 'duration': 6.27}, {'text': ""if we hadn't burned that damn factory"", 'start': 289.7, 'duration': 3.93}, {'text': 'this entire colony could have been', 'start': 292.31, 'duration': 3.42}, {'text': 'overrun maybe if you had taken your', 'start': 293.63, 'duration': 6.27}, {'text': 'sweet time and getting here now I asked', 'start': 295.73, 'duration': 7.8}, {'text': ""you last the first time boy I didn't"", 'start': 299.9, 'duration': 6.81}, {'text': 'come here to talk with you now throw', 'start': 303.53, 'duration': 6.63}, {'text': ""down their weapons guess you wouldn't be"", 'start': 306.71, 'duration': 5.04}, {'text': 'a Confederate if you want a complete', 'start': 310.16, 'duration': 4.31}, {'text': 'pain in the ass', 'start': 311.75, 'duration': 2.72}, {'text': 'you', 'start': 319.28, 'duration': 2.06}]"
AZG7,6q1v6bV2Js0,[1245],"[{'text': ""here especially in western Montana we're"", 'start': 2.379, 'duration': 5.471}, {'text': 'really isolated the rest of the world', 'start': 5.48, 'duration': 5.309}, {'text': 'seems so far away when something unique', 'start': 7.85, 'duration': 5.25}, {'text': 'is going on here that word spreads', 'start': 10.789, 'duration': 4.951}, {'text': 'quickly in a town like this my name is', 'start': 13.1, 'duration': 5.22}, {'text': 'Derrick Schultz teach social studies', 'start': 15.74, 'duration': 4.289}, {'text': 'here whitefish high school this is my', 'start': 18.32, 'duration': 4.14}, {'text': '20th year the newest class that I teach', 'start': 20.029, 'duration': 5.611}, {'text': ""is called conflict and crisis and that's"", 'start': 22.46, 'duration': 4.44}, {'text': 'the class I have that you', 'start': 25.64, 'duration': 3.66}, {'text': 'my name is Momina Dean I am from', 'start': 26.9, 'duration': 5.039}, {'text': 'Pakistan when the Dean has contributed', 'start': 29.3, 'duration': 6.599}, {'text': 'beyond imagination in my class conflict', 'start': 31.939, 'duration': 6.51}, {'text': 'in crisis is a class that investigates', 'start': 35.899, 'duration': 5.55}, {'text': 'you know any international affairs u.s.', 'start': 38.449, 'duration': 5.7}, {'text': 'foreign policy I try to get them to put', 'start': 41.449, 'duration': 5.371}, {'text': 'themselves in the shoes of others around', 'start': 44.149, 'duration': 4.91}, {'text': 'the world', 'start': 46.82, 'duration': 2.239}, {'text': 'kids here they look out of the corner of', 'start': 50.88, 'duration': 4.47}, {'text': 'their eye to see what see what Nadeem', 'start': 53.7, 'duration': 3.72}, {'text': 'think sometimes when I say something', 'start': 55.35, 'duration': 4.59}, {'text': ""he's generated an interest in that"", 'start': 57.42, 'duration': 5.34}, {'text': ""region in that religion and he's right"", 'start': 59.94, 'duration': 4.41}, {'text': 'there right in front of our face all the', 'start': 62.76, 'duration': 1.799}, {'text': 'time', 'start': 64.35, 'duration': 2.82}, {'text': 'he loves to share about his country his', 'start': 64.559, 'duration': 4.831}, {'text': 'culture his faith they asked about the', 'start': 67.17, 'duration': 5.01}, {'text': 'food they asked about the movies they', 'start': 69.39, 'duration': 5.01}, {'text': 'asked about the dances and you were like', 'start': 72.18, 'duration': 4.95}, {'text': ""a teacher so it feels like any good he's"", 'start': 74.4, 'duration': 4.8}, {'text': 'been able to share enough about his', 'start': 77.13, 'duration': 5.91}, {'text': 'faith that has been a real important', 'start': 79.2, 'duration': 7.05}, {'text': 'tool for our students to let go of', 'start': 83.04, 'duration': 6.09}, {'text': 'stereotypes we look at u.s. foreign', 'start': 86.25, 'duration': 5.19}, {'text': 'policy and the struggles with Pakistan', 'start': 89.13, 'duration': 4.98}, {'text': ""and realized that he's really just like"", 'start': 91.44, 'duration': 6.38}, {'text': 'us just comes from a different place', 'start': 94.11, 'duration': 3.71}, {'text': 'the benefit is really ours with exchange', 'start': 101.09, 'duration': 5.279}, {'text': 'students I would like to have a you know', 'start': 103.79, 'duration': 4.109}, {'text': 'a female exchange student from', 'start': 106.369, 'duration': 3.841}, {'text': ""Afghanistan you know and I'd like to"", 'start': 107.899, 'duration': 5.01}, {'text': 'have you know someone come from Iran our', 'start': 110.21, 'duration': 5.61}, {'text': 'students can see that while they may', 'start': 112.909, 'duration': 4.981}, {'text': ""have a different faith they're really"", 'start': 115.82, 'duration': 4.95}, {'text': 'just a 16 or 17 year old young person', 'start': 117.89, 'duration': 5.22}, {'text': 'that has largely the same feelings they', 'start': 120.77, 'duration': 5.07}, {'text': 'do someone like Nadine with the heart of', 'start': 123.11, 'duration': 5.61}, {'text': 'gold that he has and the experience that', 'start': 125.84, 'duration': 5.85}, {'text': 'he has I wish that we could have this', 'start': 128.72, 'duration': 6.15}, {'text': 'type of student come here every year for', 'start': 131.69, 'duration': 5.07}, {'text': ""years to come I'll still be talking"", 'start': 134.87, 'duration': 4.61}, {'text': 'about Nadine', 'start': 136.76, 'duration': 2.72}]"
